cod_local	Branco	CLAUDINEI SAMPAIO	DR. SILVIO CABRAL	MARCEL MUSCAT	Nulo	QUINZINHO PEDROSO	ROGÉRIO FRANCO	WELINGTON FORMIGA	ZÉ DO BONÉ	vencedor	v_valid	e_apto	e_comp	e_abst	CLAUDINEI SAMPAIO_%	DR. SILVIO CABRAL_%	MARCEL MUSCAT_%	QUINZINHO PEDROSO_%	ROGÉRIO FRANCO_%	WELINGTON FORMIGA_%	ZÉ DO BONÉ_%	longitude	latitude
L05226	103,00	1,00	37,00	39,00	140,00	3,00	557,00	609,00	12,00	WELINGTON FORMIGA	1258,00	1869	1501	368	0,08	2,94	3,10	0,24	44,28	48,41	0,95	-46,9271695	-23,6229474
L05227	128,00	0,00	25,00	21,00	172,00	2,00	1023,00	1296,00	18,00	WELINGTON FORMIGA	2385,00	3359	2685	674	0,00	1,05	0,88	0,08	42,89	54,34	0,75	-46,9177956	-23,5980287
L05228	21,00	0,00	8,00	5,00	22,00	0,00	125,00	142,00	5,00	WELINGTON FORMIGA	285,00	387	328	59	0,00	2,81	1,75	0,00	43,86	49,82	1,75	-46,9166704	-23,6133584
L05229	150,00	0,00	17,00	16,00	158,00	1,00	282,00	753,00	9,00	WELINGTON FORMIGA	1078,00	1680	1386	294	0,00	1,58	1,48	0,09	26,16	69,85	0,83	-46,9211169	-23,5659834
L05230	97,00	0,00	18,00	51,00	123,00	2,00	631,00	829,00	19,00	WELINGTON FORMIGA	1550,00	2173	1770	403	0,00	1,16	3,29	0,13	40,71	53,48	1,23	-46,9388266	-23,6325647
L05231	20,00	0,00	15,00	4,00	34,00	0,00	102,00	139,00	3,00	WELINGTON FORMIGA	263,00	386	317	69	0,00	5,70	1,52	0,00	38,78	52,85	1,14	-46,9005997	-23,6044121
L05232	115,00	0,00	49,00	42,00	202,00	9,00	610,00	759,00	12,00	WELINGTON FORMIGA	1481,00	2296	1798	498	0,00	3,31	2,84	0,61	41,19	51,25	0,81	-46,8978353	-23,6007606
L05233	59,00	0,00	21,00	11,00	87,00	1,00	559,00	780,00	9,00	WELINGTON FORMIGA	1381,00	1849	1527	322	0,00	1,52	0,80	0,07	40,48	56,48	0,65	-46,9131087	-23,5994088
L05234	65,00	1,00	31,00	18,00	101,00	2,00	365,00	476,00	10,00	WELINGTON FORMIGA	903,00	1330	1069	261	0,11	3,43	1,99	0,22	40,42	52,71	1,11	-46,9290833	-23,6080558
L05235	42,00	0,00	8,00	10,00	69,00	0,00	241,00	298,00	3,00	WELINGTON FORMIGA	560,00	821	671	150	0,00	1,43	1,79	0,00	43,04	53,21	0,54	-46,9270985	-23,5855921
L05236	93,00	0,00	65,00	38,00	139,00	0,00	620,00	435,00	12,00	ROGÉRIO FRANCO	1170,00	1825	1402	423	0,00	5,56	3,25	0,00	52,99	37,18	1,03	-46,8465916	-23,5953981
L05237	70,00	0,00	22,00	20,00	79,00	1,00	318,00	357,00	5,00	WELINGTON FORMIGA	723,00	1115	872	243	0,00	3,04	2,77	0,14	43,98	49,38	0,69	-46,8804329	-23,5982960
L06804	6,00	0,00	1,00	0,00	9,00	0,00	73,00	38,00	1,00	ROGÉRIO FRANCO	113,00	144	128	16	0,00	0,88	0,00	0,00	64,60	33,63	0,88	-47,0235557	-23,6761684
L06805	128,00	0,00	78,00	36,00	223,00	3,00	1068,00	1365,00	20,00	WELINGTON FORMIGA	2570,00	3582	2921	661	0,00	3,04	1,40	0,12	41,56	53,11	0,78	-46,9469244	-23,6117457
L06806	1,00	0,00	0,00	2,00	4,00	0,00	78,00	57,00	3,00	ROGÉRIO FRANCO	140,00	165	145	20	0,00	0,00	1,43	0,00	55,71	40,71	2,14	-47,0221357	-23,6692724
L06807	56,00	0,00	18,00	15,00	109,00	1,00	1041,00	557,00	8,00	ROGÉRIO FRANCO	1640,00	2162	1805	357	0,00	1,10	0,91	0,06	63,48	33,96	0,49	-47,0233190	-23,6833700
L06809	63,00	0,00	18,00	16,00	94,00	0,00	926,00	528,00	4,00	ROGÉRIO FRANCO	1492,00	2010	1649	361	0,00	1,21	1,07	0,00	62,06	35,39	0,27	-47,0205121	-23,6926132
L06814	64,00	0,00	20,00	13,00	94,00	1,00	449,00	539,00	16,00	WELINGTON FORMIGA	1038,00	1491	1196	295	0,00	1,93	1,25	0,10	43,26	51,93	1,54	-46,9586458	-23,6476279
L06815	164,00	0,00	64,00	48,00	291,00	0,00	1256,00	1291,00	29,00	WELINGTON FORMIGA	2688,00	4186	3143	1043	0,00	2,38	1,79	0,00	46,73	48,03	1,08	-46,9430703	-23,6073130
L06817	97,00	0,00	10,00	18,00	158,00	2,00	702,00	658,00	22,00	ROGÉRIO FRANCO	1412,00	2120	1667	453	0,00	0,71	1,27	0,14	49,72	46,60	1,56	-47,0768680	-23,6576211
L06819	130,00	0,00	9,00	18,00	142,00	3,00	1064,00	547,00	12,00	ROGÉRIO FRANCO	1653,00	2357	1925	432	0,00	0,54	1,09	0,18	64,37	33,09	0,73	-47,0475737	-23,6613110
L06820	181,00	2,00	25,00	19,00	251,00	4,00	2464,00	1159,00	13,00	ROGÉRIO FRANCO	3686,00	5422	4118	1304	0,05	0,68	0,52	0,11	66,85	31,44	0,35	-47,0221240	-23,6848819
L06821	42,00	3,00	7,00	9,00	70,00	0,00	844,00	347,00	1,00	ROGÉRIO FRANCO	1211,00	1538	1323	215	0,25	0,58	0,74	0,00	69,69	28,65	0,08	-47,0475829	-23,7338256
L06822	137,00	2,00	40,00	15,00	191,00	4,00	2052,00	1007,00	17,00	ROGÉRIO FRANCO	3137,00	4304	3465	839	0,06	1,28	0,48	0,13	65,41	32,10	0,54	-47,0238400	-23,6846904
L06823	176,00	0,00	57,00	42,00	224,00	0,00	1095,00	1441,00	16,00	WELINGTON FORMIGA	2651,00	3755	3051	704	0,00	2,15	1,58	0,00	41,31	54,36	0,60	-46,9386385	-23,6111606
L06827	61,00	0,00	7,00	18,00	84,00	2,00	697,00	328,00	4,00	ROGÉRIO FRANCO	1056,00	1452	1201	251	0,00	0,66	1,70	0,19	66,00	31,06	0,38	-47,0489137	-23,6619693
L06830	61,00	0,00	21,00	8,00	82,00	1,00	465,00	252,00	7,00	ROGÉRIO FRANCO	754,00	1189	897	292	0,00	2,79	1,06	0,13	61,67	33,42	0,93	-47,0096790	-23,6683117
L06831	44,00	0,00	19,00	16,00	58,00	0,00	682,00	166,00	3,00	ROGÉRIO FRANCO	886,00	1205	988	217	0,00	2,14	1,81	0,00	76,98	18,74	0,34	-47,0221168	-23,6567674
L06833	36,00	0,00	10,00	2,00	45,00	0,00	319,00	168,00	2,00	ROGÉRIO FRANCO	501,00	655	582	73	0,00	2,00	0,40	0,00	63,67	33,53	0,40	-47,0420602	-23,6983486
L06835	27,00	0,00	13,00	3,00	25,00	1,00	207,00	166,00	1,00	ROGÉRIO FRANCO	391,00	548	443	105	0,00	3,32	0,77	0,26	52,94	42,46	0,26	-46,8990758	-23,6318858
L06837	92,00	0,00	13,00	15,00	123,00	4,00	574,00	554,00	16,00	ROGÉRIO FRANCO	1176,00	1705	1391	314	0,00	1,11	1,28	0,34	48,81	47,11	1,36	-47,0742648	-23,6632352
L06839	38,00	0,00	11,00	7,00	55,00	0,00	180,00	154,00	4,00	ROGÉRIO FRANCO	356,00	551	449	102	0,00	3,09	1,97	0,00	50,56	43,26	1,12	-46,9505730	-23,6253696
L06842	79,00	1,00	12,00	17,00	126,00	1,00	1029,00	523,00	10,00	ROGÉRIO FRANCO	1593,00	2152	1798	354	0,06	0,75	1,07	0,06	64,60	32,83	0,63	-47,0196462	-23,6873827
L06844	65,00	0,00	9,00	5,00	73,00	0,00	735,00	454,00	12,00	ROGÉRIO FRANCO	1215,00	1611	1353	258	0,00	0,74	0,41	0,00	60,49	37,37	0,99	-47,0244677	-23,6677685
L06846	209,00	0,00	82,00	72,00	331,00	6,00	1497,00	1580,00	45,00	WELINGTON FORMIGA	3282,00	4849	3822	1027	0,00	2,50	2,19	0,18	45,61	48,14	1,37	-46,9468990	-23,6080830
L06847	132,00	0,00	30,00	45,00	203,00	3,00	979,00	1144,00	16,00	WELINGTON FORMIGA	2217,00	3131	2552	579	0,00	1,35	2,03	0,14	44,16	51,60	0,72	-46,9525623	-23,6179977
L06848	169,00	1,00	49,00	51,00	246,00	3,00	1113,00	1096,00	38,00	ROGÉRIO FRANCO	2351,00	3508	2766	742	0,04	2,08	2,17	0,13	47,34	46,62	1,62	-46,9524019	-23,6184155
L06849	53,00	0,00	7,00	4,00	71,00	3,00	630,00	312,00	9,00	ROGÉRIO FRANCO	965,00	1285	1089	196	0,00	0,73	0,41	0,31	65,28	32,33	0,93	-47,0259082	-23,7026104
L06850	136,00	0,00	29,00	43,00	233,00	7,00	1017,00	1122,00	20,00	WELINGTON FORMIGA	2238,00	3254	2607	647	0,00	1,30	1,92	0,31	45,44	50,13	0,89	-46,9515404	-23,6362302
