cod_local	Branco	CARLOS SACOMANI BANANA	CLOVIS VOLPI	KIKO	MARISA DA CASAS PRÓPRIAS	Nulo	PROF FELIPE MAGALHÃES	vencedor	v_valid	e_apto	e_comp	e_abst	CARLOS SACOMANI BANANA_%	CLOVIS VOLPI_%	KIKO_%	MARISA DA CASAS PRÓPRIAS_%	PROF FELIPE MAGALHÃES_%	longitude	latitude
L04205	35	4	217	210	74	73	40	CLOVIS VOLPI	545	796	653	143	0,73	39,82	38,53	13,58	7,34	-46,4021856	-23,7287372
L04206	74	31	491	324	91	135	62	CLOVIS VOLPI	999	1544	1208	336	3,10	49,15	32,43	9,11	6,21	-46,3948722	-23,6796626
L04207	48	30	502	260	71	121	87	CLOVIS VOLPI	950	1388	1119	269	3,16	52,84	27,37	7,47	9,16	-46,4045549	-23,6999970
L04208	35	13	244	170	47	54	55	CLOVIS VOLPI	529	728	618	110	2,46	46,12	32,14	8,88	10,40	-46,3872488	-23,7039363
L04209	58	18	498	262	73	102	82	CLOVIS VOLPI	933	1540	1093	447	1,93	53,38	28,08	7,82	8,79	-46,4164611	-23,7063938
L04210	43	14	448	220	78	89	98	CLOVIS VOLPI	858	1333	990	343	1,63	52,21	25,64	9,09	11,42	-46,4164611	-23,7063938
L04211	94	36	723	459	126	205	107	CLOVIS VOLPI	1451	2171	1750	421	2,48	49,83	31,63	8,68	7,37	-46,3891285	-23,7184961
L04212	15	1	70	87	10	9	12	KIKO	180	251	204	47	0,56	38,89	48,33	5,56	6,67	-46,3734056	-23,6576942
L04213	50	11	259	267	73	97	26	KIKO	636	930	783	147	1,73	40,72	41,98	11,48	4,09	-46,3960395	-23,6800620
L04214	73	13	461	271	50	108	61	CLOVIS VOLPI	856	1341	1037	304	1,52	53,86	31,66	5,84	7,13	-46,3475630	-23,6719567
L04215	98	27	776	467	117	156	144	CLOVIS VOLPI	1531	2552	1785	767	1,76	50,69	30,50	7,64	9,41	-46,4139228	-23,7040963
L04216	37	8	226	149	43	75	63	CLOVIS VOLPI	489	913	601	312	1,64	46,22	30,47	8,79	12,88	-46,4089211	-23,7079720
L09380	37	20	273	164	50	98	93	CLOVIS VOLPI	600	952	735	217	3,33	45,50	27,33	8,33	15,50	-46,4103340	-23,7198310
L09381	93	31	607	478	121	180	203	CLOVIS VOLPI	1440	2236	1713	523	2,15	42,15	33,19	8,40	14,10	-46,4248765	-23,7184978
L09386	97	33	694	512	177	199	181	CLOVIS VOLPI	1597	2810	1893	917	2,07	43,46	32,06	11,08	11,33	-46,4212925	-23,7163444
L09387	106	26	400	579	57	199	160	KIKO	1222	1935	1527	408	2,13	32,73	47,38	4,66	13,09	-46,4459091	-23,7498986
L09388	126	39	800	609	209	219	189	CLOVIS VOLPI	1846	3204	2191	1013	2,11	43,34	32,99	11,32	10,24	-46,4149600	-23,7212222
L09390	122	34	556	926	87	275	209	KIKO	1812	2753	2209	544	1,88	30,68	51,10	4,80	11,53	-46,4400229	-23,7505292
L09394	73	25	406	315	77	109	102	CLOVIS VOLPI	925	1770	1107	663	2,70	43,89	34,05	8,32	11,03	-46,4169012	-23,7135811
L09397	146	24	723	678	335	232	140	CLOVIS VOLPI	1900	2987	2278	709	1,26	38,05	35,68	17,63	7,37	-46,4225190	-23,7320150
L09404	85	27	566	467	149	151	139	CLOVIS VOLPI	1348	2604	1584	1020	2,00	41,99	34,64	11,05	10,31	-46,4168270	-23,7138590
