cod_local	Branco	DR HENRIQUE APPARICIO	DRA AMANDA HORATORIO	EDIMAR SALEM	LUIZ TEIXEIRA	MARCOS NEVES	Nulo	NÉIA COSTA	PROF RICARDO MARCUSSO	PROFESSORA SÔNIA	SERGIO RIBEIRO	VASQUINHO GAMA	WILLIAM TEIXEIRA	vencedor	v_valid	e_apto	e_comp	e_abst	DR HENRIQUE APPARICIO_%	DRA AMANDA HORATORIO_%	EDIMAR SALEM_%	LUIZ TEIXEIRA_%	MARCOS NEVES_%	NÉIA COSTA_%	PROF RICARDO MARCUSSO_%	PROFESSORA SÔNIA_%	SERGIO RIBEIRO_%	VASQUINHO GAMA_%	WILLIAM TEIXEIRA_%	longitude	latitude
L09621	39,00	0,00	12,00	3,00	2,00	462,00	64,00	14,00	8,00	78,00	27,00	11,00	0,00	MARCOS NEVES	617,00	925	720	205	0,00	1,94	0,49	0,32	74,88	2,27	1,30	12,64	4,38	1,78	0,00	-46,8417930	-23,5353410
L09622	338,00	8,00	41,00	3,00	7,00	3730,00	447,00	160,00	43,00	530,00	356,00	69,00	4,00	MARCOS NEVES	4951,00	8033	5736	2297	0,16	0,83	0,06	0,14	75,34	3,23	0,87	10,70	7,19	1,39	0,08	-46,8521181	-23,5291548
L09623	245,00	11,00	16,00	10,00	2,00	2205,00	263,00	131,00	27,00	309,00	288,00	27,00	3,00	MARCOS NEVES	3029,00	4699	3537	1162	0,36	0,53	0,33	0,07	72,80	4,32	0,89	10,20	9,51	0,89	0,10	-46,8469018	-23,5390765
L09624	177,00	14,00	105,00	1,00	0,00	1527,00	223,00	55,00	26,00	304,00	164,00	28,00	5,00	MARCOS NEVES	2229,00	3557	2629	928	0,63	4,71	0,04	0,00	68,51	2,47	1,17	13,64	7,36	1,26	0,22	-46,8338920	-23,5720029
L09625	114,00	7,00	23,00	2,00	1,00	1223,00	154,00	51,00	28,00	215,00	90,00	18,00	0,00	MARCOS NEVES	1658,00	2582	1926	656	0,42	1,39	0,12	0,06	73,76	3,08	1,69	12,97	5,43	1,09	0,00	-46,8466884	-23,5288828
L09626	248,00	3,00	58,00	2,00	3,00	2031,00	360,00	85,00	42,00	407,00	247,00	56,00	1,00	MARCOS NEVES	2935,00	4750	3543	1207	0,10	1,98	0,07	0,10	69,20	2,90	1,43	13,87	8,42	1,91	0,03	-46,8227576	-23,5478051
L09627	341,00	10,00	93,00	7,00	2,00	3499,00	432,00	174,00	40,00	471,00	299,00	50,00	13,00	MARCOS NEVES	4658,00	7947	5431	2516	0,21	2,00	0,15	0,04	75,12	3,74	0,86	10,11	6,42	1,07	0,28	-46,8336900	-23,5557566
L09628	340,00	37,00	39,00	7,00	1,00	4021,00	446,00	273,00	37,00	614,00	354,00	43,00	80,00	MARCOS NEVES	5506,00	8702	6292	2410	0,67	0,71	0,13	0,02	73,03	4,96	0,67	11,15	6,43	0,78	1,45	-46,8455957	-23,5557814
L09629	96,00	2,00	17,00	0,00	0,00	686,00	123,00	24,00	8,00	177,00	117,00	11,00	0,00	MARCOS NEVES	1042,00	1737	1261	476	0,19	1,63	0,00	0,00	65,83	2,30	0,77	16,99	11,23	1,06	0,00	-46,8362590	-23,5665390
L09630	285,00	15,00	33,00	11,00	2,00	2345,00	267,00	184,00	15,00	412,00	228,00	36,00	7,00	MARCOS NEVES	3288,00	5050	3840	1210	0,46	1,00	0,33	0,06	71,32	5,60	0,46	12,53	6,93	1,09	0,21	-46,8550639	-23,5405869
