cod_local	Branco	DR LINDOSO	EMIDIO DE SOUZA	MARCO SOUZA DATENINHA	Nulo	REINALDO MOTA	ROGÉRIO LINS	SIMONY DOS ANJOS	vencedor	v_valid	e_apto	e_comp	e_abst	DR LINDOSO_%	EMIDIO DE SOUZA_%	MARCO SOUZA DATENINHA_%	REINALDO MOTA_%	ROGÉRIO LINS_%	SIMONY DOS ANJOS_%	longitude	latitude
L07441	334,00	843,00	523,00	23,00	599,00	17,00	2380,00	137,00	ROGÉRIO LINS	3923,00	6892	4856	2036	21,49	13,33	0,59	0,43	60,67	3,49	-46,8025359	-23,5663449
L07442	202,00	496,00	374,00	8,00	322,00	21,00	1643,00	71,00	ROGÉRIO LINS	2613,00	4513	3137	1376	18,98	14,31	0,31	0,80	62,88	2,72	-46,7942690	-23,5647234
L07443	213,00	478,00	291,00	20,00	348,00	11,00	1702,00	149,00	ROGÉRIO LINS	2651,00	4449	3212	1237	18,03	10,98	0,75	0,41	64,20	5,62	-46,7940196	-23,5554093
L07444	266,00	665,00	547,00	28,00	477,00	17,00	2267,00	82,00	ROGÉRIO LINS	3606,00	6331	4349	1982	18,44	15,17	0,78	0,47	62,87	2,27	-46,8115760	-23,5569126
L07445	214,00	532,00	294,00	9,00	375,00	17,00	1601,00	72,00	ROGÉRIO LINS	2525,00	4332	3114	1218	21,07	11,64	0,36	0,67	63,41	2,85	-46,8056808	-23,5689788
L07446	327,00	757,00	493,00	22,00	513,00	30,00	2346,00	106,00	ROGÉRIO LINS	3754,00	6249	4594	1655	20,17	13,13	0,59	0,80	62,49	2,82	-46,8088929	-23,5558779
L07447	206,00	610,00	236,00	15,00	303,00	14,00	1276,00	109,00	ROGÉRIO LINS	2260,00	3657	2769	888	26,99	10,44	0,66	0,62	56,46	4,82	-46,8135551	-23,5433840
L07448	282,00	614,00	351,00	15,00	440,00	32,00	1888,00	194,00	ROGÉRIO LINS	3094,00	5082	3816	1266	19,84	11,34	0,48	1,03	61,02	6,27	-46,8095111	-23,5664779
L07449	255,00	767,00	543,00	14,00	487,00	16,00	1999,00	121,00	ROGÉRIO LINS	3460,00	5532	4202	1330	22,17	15,69	0,40	0,46	57,77	3,50	-46,8091078	-23,5742689
L07450	272,00	522,00	391,00	28,00	449,00	14,00	1917,00	117,00	ROGÉRIO LINS	2989,00	5195	3710	1485	17,46	13,08	0,94	0,47	64,14	3,91	-46,8135180	-23,5604126
L07451	131,00	441,00	232,00	17,00	286,00	8,00	1275,00	60,00	ROGÉRIO LINS	2033,00	3712	2450	1262	21,69	11,41	0,84	0,39	62,72	2,95	-46,7954755	-23,5600688
L07452	204,00	366,00	320,00	4,00	254,00	10,00	1224,00	80,00	ROGÉRIO LINS	2004,00	3154	2462	692	18,26	15,97	0,20	0,50	61,08	3,99	-46,8167708	-23,5510924
L07453	379,00	1081,00	750,00	41,00	691,00	26,00	2827,00	96,00	ROGÉRIO LINS	4821,00	7504	5891	1613	22,42	15,56	0,85	0,54	58,64	1,99	-46,8025739	-23,5795935
L07454	16,00	49,00	29,00	0,00	26,00	2,00	147,00	11,00	ROGÉRIO LINS	238,00	394	280	114	20,59	12,18	0,00	0,84	61,76	4,62	-46,8077875	-23,5510056
L07455	3,00	14,00	10,00	0,00	6,00	0,00	43,00	4,00	ROGÉRIO LINS	71,00	110	80	30	19,72	14,08	0,00	0,00	60,56	5,63	-46,7993260	-23,5732060
L07456	278,00	565,00	251,00	6,00	417,00	7,00	1591,00	82,00	ROGÉRIO LINS	2502,00	4238	3197	1041	22,58	10,03	0,24	0,28	63,59	3,28	-46,8142480	-23,5849302
L07457	155,00	529,00	246,00	13,00	264,00	14,00	1499,00	124,00	ROGÉRIO LINS	2425,00	4110	2844	1266	21,81	10,14	0,54	0,58	61,81	5,11	-46,7988490	-23,5557136
L07458	275,00	410,00	295,00	9,00	361,00	7,00	1367,00	101,00	ROGÉRIO LINS	2189,00	3731	2825	906	18,73	13,48	0,41	0,32	62,45	4,61	-46,8144108	-23,5768893
L07833	9,00	23,00	26,00	0,00	9,00	2,00	67,00	0,00	ROGÉRIO LINS	118,00	175	136	39	19,49	22,03	0,00	1,69	56,78	0,00	-46,7889447	-23,4895368
L07834	338,00	900,00	783,00	19,00	629,00	37,00	2649,00	318,00	ROGÉRIO LINS	4706,00	7468	5673	1795	19,12	16,64	0,40	0,79	56,29	6,76	-46,7878300	-23,5101801
L07835	35,00	124,00	101,00	0,00	61,00	10,00	266,00	15,00	ROGÉRIO LINS	516,00	853	612	241	24,03	19,57	0,00	1,94	51,55	2,91	-46,7999039	-23,5019036
L07836	278,00	745,00	736,00	6,00	389,00	12,00	2402,00	77,00	ROGÉRIO LINS	3978,00	6277	4645	1632	18,73	18,50	0,15	0,30	60,38	1,94	-46,7878300	-23,5101801
L07837	393,00	780,00	701,00	12,00	575,00	22,00	2360,00	103,00	ROGÉRIO LINS	3978,00	6586	4946	1640	19,61	17,62	0,30	0,55	59,33	2,59	-46,8064489	-23,5051642
L07838	341,00	881,00	719,00	49,00	630,00	15,00	2360,00	82,00	ROGÉRIO LINS	4106,00	7137	5077	2060	21,46	17,51	1,19	0,37	57,48	2,00	-46,7862870	-23,4967528
L07839	268,00	528,00	400,00	22,00	460,00	29,00	2168,00	96,00	ROGÉRIO LINS	3243,00	5945	3971	1974	16,28	12,33	0,68	0,89	66,85	2,96	-46,7921985	-23,5195042
L07840	333,00	846,00	1209,00	38,00	514,00	19,00	1953,00	85,00	ROGÉRIO LINS	4150,00	6709	4997	1712	20,39	29,13	0,92	0,46	47,06	2,05	-46,7986325	-23,4938631
L07841	298,00	956,00	741,00	9,00	572,00	34,00	2121,00	125,00	ROGÉRIO LINS	3986,00	6963	4856	2107	23,98	18,59	0,23	0,85	53,21	3,14	-46,7948640	-23,5032982
L07842	312,00	786,00	874,00	8,00	556,00	28,00	2229,00	94,00	ROGÉRIO LINS	4019,00	6856	4887	1969	19,56	21,75	0,20	0,70	55,46	2,34	-46,8047641	-23,4972846
L07843	318,00	773,00	654,00	34,00	518,00	22,00	1915,00	152,00	ROGÉRIO LINS	3550,00	6325	4386	1939	21,77	18,42	0,96	0,62	53,94	4,28	-46,7876769	-23,5006730
L07844	111,00	273,00	197,00	3,00	165,00	8,00	691,00	28,00	ROGÉRIO LINS	1200,00	2075	1476	599	22,75	16,42	0,25	0,67	57,58	2,33	-46,8001115	-23,5019602
L07845	161,00	515,00	459,00	20,00	280,00	32,00	1416,00	89,00	ROGÉRIO LINS	2531,00	4010	2972	1038	20,35	18,14	0,79	1,26	55,95	3,52	-46,7878300	-23,5101801
L07846	234,00	657,00	703,00	22,00	500,00	24,00	2163,00	205,00	ROGÉRIO LINS	3774,00	6091	4508	1583	17,41	18,63	0,58	0,64	57,31	5,43	-46,7905729	-23,5134541
L07847	154,00	379,00	496,00	11,00	228,00	6,00	924,00	32,00	ROGÉRIO LINS	1848,00	3092	2230	862	20,51	26,84	0,60	0,32	50,00	1,73	-46,7922239	-23,4929084
L07848	318,00	798,00	761,00	55,00	513,00	11,00	1719,00	99,00	ROGÉRIO LINS	3443,00	5479	4274	1205	23,18	22,10	1,60	0,32	49,93	2,88	-46,7989836	-23,4948638
L07849	148,00	454,00	451,00	23,00	261,00	18,00	1262,00	39,00	ROGÉRIO LINS	2247,00	3344	2656	688	20,20	20,07	1,02	0,80	56,16	1,74	-46,7861467	-23,5074938
