cod_local	Branco	DERLI DOURADO	ISRAEL LACERDA	JORGINHO ROMANOS	LISANDRO	Nulo	PROFESSOR RODRIGO ASSIS	RODRIGO ASHIUCHI	vencedor	v_valid	e_apto	e_comp	e_abst	DERLI DOURADO_%	ISRAEL LACERDA_%	JORGINHO ROMANOS_%	LISANDRO_%	PROFESSOR RODRIGO ASSIS_%	RODRIGO ASHIUCHI_%	longitude	latitude
L04160	141,00	59,00	96,00	193,00	68,00	236,00	7,00	1633,00	RODRIGO ASHIUCHI	2056,00	3068	2433	635	2,87	4,67	9,39	3,31	0,34	79,43	-46,2787505	-23,4978456
L04161	75,00	42,00	53,00	82,00	41,00	123,00	5,00	715,00	RODRIGO ASHIUCHI	938,00	1414	1136	278	4,48	5,65	8,74	4,37	0,53	76,23	-46,2735876	-23,4946734
L04162	34,00	13,00	41,00	23,00	53,00	62,00	3,00	534,00	RODRIGO ASHIUCHI	667,00	989	763	226	1,95	6,15	3,45	7,95	0,45	80,06	-46,3031317	-23,5440960
L04163	49,00	15,00	52,00	34,00	32,00	83,00	22,00	851,00	RODRIGO ASHIUCHI	1006,00	1463	1138	325	1,49	5,17	3,38	3,18	2,19	84,59	-46,2944994	-23,5160188
L04164	7,00	4,00	6,00	8,00	12,00	11,00	0,00	123,00	RODRIGO ASHIUCHI	153,00	201	171	30	2,61	3,92	5,23	7,84	0,00	80,39	-46,3047552	-23,6292353
L04165	56,00	22,00	35,00	88,00	34,00	75,00	8,00	562,00	RODRIGO ASHIUCHI	749,00	1079	880	199	2,94	4,67	11,75	4,54	1,07	75,03	-46,3204744	-23,6437523
L04166	46,00	14,00	30,00	71,00	47,00	61,00	17,00	554,00	RODRIGO ASHIUCHI	733,00	1011	840	171	1,91	4,09	9,69	6,41	2,32	75,58	-46,2875639	-23,5607649
L04167	15,00	3,00	6,00	11,00	4,00	18,00	0,00	165,00	RODRIGO ASHIUCHI	189,00	305	222	83	1,59	3,17	5,82	2,12	0,00	87,30	-46,2922190	-23,6228640
L04168	60,00	21,00	44,00	44,00	60,00	82,00	5,00	717,00	RODRIGO ASHIUCHI	891,00	1298	1033	265	2,36	4,94	4,94	6,73	0,56	80,47	-46,3031981	-23,5539692
L04169	17,00	13,00	16,00	5,00	14,00	22,00	6,00	225,00	RODRIGO ASHIUCHI	279,00	391	318	73	4,66	5,73	1,79	5,02	2,15	80,65	-46,2892480	-23,4961670
L04170	39,00	13,00	13,00	32,00	3,00	70,00	2,00	479,00	RODRIGO ASHIUCHI	542,00	784	651	133	2,40	2,40	5,90	0,55	0,37	88,38	-46,2981911	-23,5521847
L04171	98,00	59,00	57,00	49,00	37,00	135,00	27,00	1023,00	RODRIGO ASHIUCHI	1252,00	1894	1485	409	4,71	4,55	3,91	2,96	2,16	81,71	-46,2924510	-23,5058280
L04172	31,00	10,00	31,00	21,00	37,00	42,00	3,00	459,00	RODRIGO ASHIUCHI	561,00	788	634	154	1,78	5,53	3,74	6,60	0,53	81,82	-46,3104243	-23,5607084
L04173	92,00	34,00	98,00	84,00	90,00	122,00	15,00	1011,00	RODRIGO ASHIUCHI	1332,00	1972	1546	426	2,55	7,36	6,31	6,76	1,13	75,90	-46,2959592	-23,5518309
L04174	18,00	11,00	7,00	11,00	6,00	22,00	0,00	111,00	RODRIGO ASHIUCHI	146,00	224	186	38	7,53	4,79	7,53	4,11	0,00	76,03	-46,3166610	-23,6206680
L04175	29,00	19,00	23,00	27,00	45,00	63,00	14,00	453,00	RODRIGO ASHIUCHI	581,00	787	673	114	3,27	3,96	4,65	7,75	2,41	77,97	-46,3136639	-23,5567900
L04176	85,00	60,00	138,00	120,00	194,00	160,00	29,00	1636,00	RODRIGO ASHIUCHI	2177,00	3282	2422	860	2,76	6,34	5,51	8,91	1,33	75,15	-46,3114638	-23,5443102
L10543	183,00	161,00	169,00	78,00	157,00	226,00	13,00	1394,00	RODRIGO ASHIUCHI	1972,00	3117	2381	736	8,16	8,57	3,96	7,96	0,66	70,69	-46,3245881	-23,5290611
L10544	13,00	74,00	5,00	2,00	1,00	15,00	3,00	5,00	DERLI DOURADO	90,00	157	118	39	82,22	5,56	2,22	1,11	3,33	5,56	-46,3141865	-23,5216173
L10545	165,00	130,00	153,00	96,00	129,00	254,00	19,00	1688,00	RODRIGO ASHIUCHI	2215,00	3544	2634	910	5,87	6,91	4,33	5,82	0,86	76,21	-46,3054836	-23,5250879
L10546	175,00	93,00	193,00	166,00	301,00	302,00	38,00	2296,00	RODRIGO ASHIUCHI	3087,00	4770	3564	1206	3,01	6,25	5,38	9,75	1,23	74,38	-46,3175100	-23,5411730
L10547	150,00	62,00	91,00	235,00	62,00	207,00	12,00	1606,00	RODRIGO ASHIUCHI	2068,00	3255	2425	830	3,00	4,40	11,36	3,00	0,58	77,66	-46,3259981	-23,6499285
L10548	323,00	201,00	260,00	215,00	116,00	451,00	39,00	2979,00	RODRIGO ASHIUCHI	3810,00	5886	4584	1302	5,28	6,82	5,64	3,04	1,02	78,19	-46,3187486	-23,4956455
L10549	74,00	92,00	65,00	87,00	59,00	139,00	11,00	976,00	RODRIGO ASHIUCHI	1290,00	1938	1503	435	7,13	5,04	6,74	4,57	0,85	75,66	-46,3107670	-23,5095680
L10550	234,00	106,00	110,00	147,00	111,00	296,00	31,00	2118,00	RODRIGO ASHIUCHI	2623,00	4091	3153	938	4,04	4,19	5,60	4,23	1,18	80,75	-46,3304087	-23,6335105
L10551	178,00	88,00	192,00	185,00	265,00	307,00	39,00	2506,00	RODRIGO ASHIUCHI	3275,00	5088	3760	1328	2,69	5,86	5,65	8,09	1,19	76,52	-46,3178740	-23,5578133
L10552	285,00	134,00	250,00	181,00	210,00	380,00	19,00	2591,00	RODRIGO ASHIUCHI	3385,00	5269	4050	1219	3,96	7,39	5,35	6,20	0,56	76,54	-46,3373224	-23,5696480
L10553	210,00	106,00	172,00	174,00	239,00	344,00	35,00	2157,00	RODRIGO ASHIUCHI	2883,00	4689	3437	1252	3,68	5,97	6,04	8,29	1,21	74,82	-46,3125577	-23,5306375
L10554	278,00	60,00	182,00	171,00	153,00	357,00	28,00	2336,00	RODRIGO ASHIUCHI	2930,00	4610	3565	1045	2,05	6,21	5,84	5,22	0,96	79,73	-46,3049699	-23,5032817
L10555	66,00	37,00	52,00	28,00	34,00	107,00	4,00	581,00	RODRIGO ASHIUCHI	736,00	1179	909	270	5,03	7,07	3,80	4,62	0,54	78,94	-46,3005843	-23,4991611
L10556	134,00	59,00	109,00	103,00	212,00	186,00	4,00	1246,00	RODRIGO ASHIUCHI	1733,00	2547	2053	494	3,40	6,29	5,94	12,23	0,23	71,90	-46,3287546	-23,5427534
L10557	166,00	47,00	134,00	119,00	102,00	263,00	19,00	1754,00	RODRIGO ASHIUCHI	2175,00	3291	2604	687	2,16	6,16	5,47	4,69	0,87	80,64	-46,3046586	-23,5028176
L10558	36,00	12,00	32,00	20,00	37,00	50,00	5,00	340,00	RODRIGO ASHIUCHI	446,00	637	532	105	2,69	7,17	4,48	8,30	1,12	76,23	-46,3311689	-23,5703609
L10559	145,00	131,00	215,00	160,00	288,00	267,00	33,00	2353,00	RODRIGO ASHIUCHI	3180,00	5150	3592	1558	4,12	6,76	5,03	9,06	1,04	73,99	-46,3153510	-23,5344139
L10560	153,00	54,00	107,00	127,00	158,00	206,00	35,00	1622,00	RODRIGO ASHIUCHI	2103,00	3186	2462	724	2,57	5,09	6,04	7,51	1,66	77,13	-46,3268062	-23,5531106
L10561	117,00	63,00	81,00	83,00	99,00	156,00	6,00	942,00	RODRIGO ASHIUCHI	1274,00	2065	1547	518	4,95	6,36	6,51	7,77	0,47	73,94	-46,3235350	-23,5272529
L10562	78,00	50,00	96,00	55,00	117,00	130,00	15,00	987,00	RODRIGO ASHIUCHI	1320,00	2042	1528	514	3,79	7,27	4,17	8,86	1,14	74,77	-46,3049750	-23,5227690
L10563	107,00	47,00	61,00	66,00	48,00	137,00	11,00	795,00	RODRIGO ASHIUCHI	1028,00	1628	1272	356	4,57	5,93	6,42	4,67	1,07	77,33	-46,3142398	-23,4989458
L10564	200,00	97,00	159,00	165,00	202,00	282,00	27,00	2155,00	RODRIGO ASHIUCHI	2805,00	4364	3287	1077	3,46	5,67	5,88	7,20	0,96	76,83	-46,3355307	-23,5642295
L10565	238,00	123,00	148,00	185,00	104,00	302,00	21,00	2077,00	RODRIGO ASHIUCHI	2658,00	4113	3198	915	4,63	5,57	6,96	3,91	0,79	78,14	-46,3144790	-23,4989110
L10566	179,00	98,00	236,00	268,00	316,00	286,00	41,00	2798,00	RODRIGO ASHIUCHI	3757,00	5983	4222	1761	2,61	6,28	7,13	8,41	1,09	74,47	-46,3129335	-23,5453758
L10567	264,00	147,00	205,00	149,00	104,00	388,00	29,00	2080,00	RODRIGO ASHIUCHI	2714,00	4295	3366	929	5,42	7,55	5,49	3,83	1,07	76,64	-46,3199281	-23,5008806
L10568	64,00	48,00	67,00	29,00	61,00	132,00	11,00	686,00	RODRIGO ASHIUCHI	902,00	1407	1098	309	5,32	7,43	3,22	6,76	1,22	76,05	-46,3052385	-23,5227589
L10569	110,00	42,00	88,00	87,00	84,00	190,00	5,00	1055,00	RODRIGO ASHIUCHI	1361,00	2152	1661	491	3,09	6,47	6,39	6,17	0,37	77,52	-46,3380520	-23,5690285
L10570	129,00	68,00	87,00	66,00	49,00	194,00	8,00	1101,00	RODRIGO ASHIUCHI	1379,00	2071	1702	369	4,93	6,31	4,79	3,55	0,58	79,84	-46,3125749	-23,4982300
L10571	12,00	3,00	9,00	11,00	21,00	21,00	0,00	143,00	RODRIGO ASHIUCHI	187,00	279	220	59	1,60	4,81	5,88	11,23	0,00	76,47	-46,3078123	-23,4996750
L10572	20,00	8,00	16,00	32,00	21,00	29,00	0,00	246,00	RODRIGO ASHIUCHI	323,00	466	372	94	2,48	4,95	9,91	6,50	0,00	76,16	-46,3188776	-23,6081533
L10573	36,00	16,00	56,00	21,00	78,00	62,00	6,00	521,00	RODRIGO ASHIUCHI	698,00	995	796	199	2,29	8,02	3,01	11,17	0,86	74,64	-46,3215471	-23,5363534
L10574	35,00	25,00	54,00	55,00	69,00	65,00	10,00	680,00	RODRIGO ASHIUCHI	893,00	1324	993	331	2,80	6,05	6,16	7,73	1,12	76,15	-46,3144730	-23,5406123
L10575	57,00	56,00	62,00	20,00	43,00	71,00	2,00	467,00	RODRIGO ASHIUCHI	650,00	1033	778	255	8,62	9,54	3,08	6,62	0,31	71,85	-46,3245881	-23,5290611
L10576	68,00	21,00	60,00	69,00	36,00	107,00	6,00	667,00	RODRIGO ASHIUCHI	859,00	1340	1034	306	2,44	6,98	8,03	4,19	0,70	77,65	-46,3053889	-23,5076949
L10577	75,00	31,00	35,00	38,00	20,00	90,00	11,00	589,00	RODRIGO ASHIUCHI	724,00	1160	889	271	4,28	4,83	5,25	2,76	1,52	81,35	-46,3206365	-23,4998412
L10578	53,00	8,00	71,00	40,00	30,00	45,00	0,00	331,00	RODRIGO ASHIUCHI	480,00	707	578	129	1,67	14,79	8,33	6,25	0,00	68,96	-46,3338733	-23,5944272
