cod_local	AMANDA BISPO	ANDRÉ SAPANOS	ATILA	Branco	CAIO TÚLIO	DONISETE BRAGA	DRA ROSENI	JUIZ JOÃO	MARCELO OLIVEIRA	Nulo	POLICIAL FEDERAL MAURO ROMAN	PROFESSOR BETINHO	RONALDO PEDROSA	VANESSA DAMO	ZÉ LOURENCINI	vencedor	v_valid	e_apto	e_comp	e_abst	AMANDA BISPO_%	ANDRÉ SAPANOS_%	ATILA_%	CAIO TÚLIO_%	DONISETE BRAGA_%	DRA ROSENI_%	JUIZ JOÃO_%	MARCELO OLIVEIRA_%	POLICIAL FEDERAL MAURO ROMAN_%	PROFESSOR BETINHO_%	RONALDO PEDROSA_%	VANESSA DAMO_%	ZÉ LOURENCINI_%	longitude	latitude
L04988	41,00	12,00	254,00	59,00	0,00	25,00	2,00	183,00	160,00	117,00	22,00	7,00	12,00	9,00	82,00	ATILA	809,00	1303	985	318	5,07	1,48	31,40	0,00	3,09	0,25	22,62	19,78	2,72	0,87	1,48	1,11	10,14	-46,4644432	-23,6881220
L04989	26,00	20,00	116,00	49,00	0,00	12,00	1,00	95,00	94,00	74,00	18,00	2,00	3,00	12,00	71,00	ATILA	470,00	759	593	166	5,53	4,26	24,68	0,00	2,55	0,21	20,21	20,00	3,83	0,43	0,64	2,55	15,11	-46,4532290	-23,6902920
L04990	63,00	46,00	287,00	126,00	2,00	62,00	5,00	279,00	325,00	308,00	72,00	25,00	19,00	33,00	181,00	MARCELO OLIVEIRA	1399,00	2353	1833	520	4,50	3,29	20,51	0,14	4,43	0,36	19,94	23,23	5,15	1,79	1,36	2,36	12,94	-46,4729787	-23,6695050
L04991	55,00	22,00	335,00	74,00	0,00	25,00	3,00	274,00	191,00	173,00	48,00	6,00	29,00	20,00	119,00	ATILA	1127,00	1771	1374	397	4,88	1,95	29,72	0,00	2,22	0,27	24,31	16,95	4,26	0,53	2,57	1,77	10,56	-46,4614294	-23,6802922
L04992	30,00	28,00	338,00	95,00	0,00	62,00	2,00	197,00	194,00	164,00	49,00	12,00	33,00	11,00	141,00	ATILA	1097,00	1708	1356	352	2,73	2,55	30,81	0,00	5,65	0,18	17,96	17,68	4,47	1,09	3,01	1,00	12,85	-46,4408824	-23,6848710
L04993	19,00	3,00	103,00	28,00	0,00	26,00	1,00	53,00	66,00	50,00	16,00	4,00	2,00	7,00	44,00	ATILA	344,00	526	422	104	5,52	0,87	29,94	0,00	7,56	0,29	15,41	19,19	4,65	1,16	0,58	2,03	12,79	-46,4507263	-23,6783287
L04994	26,00	11,00	573,00	119,00	0,00	36,00	5,00	244,00	318,00	209,00	55,00	10,00	17,00	23,00	85,00	ATILA	1403,00	2314	1731	583	1,85	0,78	40,84	0,00	2,57	0,36	17,39	22,67	3,92	0,71	1,21	1,64	6,06	-46,4601248	-23,6636053
L07944	36,00	17,00	713,00	150,00	0,00	58,00	10,00	459,00	387,00	270,00	81,00	15,00	51,00	17,00	178,00	ATILA	2022,00	3110	2442	668	1,78	0,84	35,26	0,00	2,87	0,49	22,70	19,14	4,01	0,74	2,52	0,84	8,80	-46,4326657	-23,6791565
L07945	75,00	39,00	345,00	79,00	1,00	54,00	4,00	285,00	219,00	169,00	49,00	23,00	10,00	44,00	164,00	ATILA	1312,00	1994	1560	434	5,72	2,97	26,30	0,08	4,12	0,30	21,72	16,69	3,73	1,75	0,76	3,35	12,50	-46,4533845	-23,6697133
L07946	38,00	29,00	514,00	110,00	0,00	38,00	7,00	426,00	299,00	232,00	71,00	25,00	22,00	44,00	221,00	ATILA	1734,00	2689	2076	613	2,19	1,67	29,64	0,00	2,19	0,40	24,57	17,24	4,09	1,44	1,27	2,54	12,75	-46,4543130	-23,6692839
L07947	53,00	28,00	1013,00	200,00	0,00	75,00	10,00	494,00	727,00	361,00	98,00	21,00	26,00	52,00	210,00	ATILA	2807,00	4596	3368	1228	1,89	1,00	36,09	0,00	2,67	0,36	17,60	25,90	3,49	0,75	0,93	1,85	7,48	-46,4599652	-23,6619152
L07948	56,00	34,00	1126,00	182,00	0,00	54,00	17,00	446,00	706,00	361,00	102,00	28,00	26,00	47,00	202,00	ATILA	2844,00	4526	3387	1139	1,97	1,20	39,59	0,00	1,90	0,60	15,68	24,82	3,59	0,98	0,91	1,65	7,10	-46,4579869	-23,6614480
L07949	62,00	51,00	1176,00	248,00	2,00	106,00	26,00	649,00	495,00	386,00	162,00	36,00	40,00	34,00	229,00	ATILA	3068,00	4641	3702	939	2,02	1,66	38,33	0,07	3,46	0,85	21,15	16,13	5,28	1,17	1,30	1,11	7,46	-46,4337880	-23,6734459
L07950	7,00	3,00	248,00	56,00	0,00	18,00	5,00	74,00	100,00	106,00	11,00	8,00	5,00	8,00	37,00	ATILA	524,00	978	686	292	1,34	0,57	47,33	0,00	3,44	0,95	14,12	19,08	2,10	1,53	0,95	1,53	7,06	-46,4914550	-23,6542635
L07951	48,00	43,00	1248,00	231,00	1,00	78,00	9,00	625,00	536,00	471,00	83,00	19,00	53,00	28,00	267,00	ATILA	3038,00	4933	3740	1193	1,58	1,42	41,08	0,03	2,57	0,30	20,57	17,64	2,73	0,63	1,74	0,92	8,79	-46,4252907	-23,6774988
L07952	62,00	29,00	825,00	198,00	1,00	80,00	22,00	523,00	491,00	313,00	104,00	26,00	51,00	47,00	201,00	ATILA	2462,00	4004	2973	1031	2,52	1,18	33,51	0,04	3,25	0,89	21,24	19,94	4,22	1,06	2,07	1,91	8,16	-46,4352982	-23,6685238
L07953	26,00	3,00	1043,00	224,00	0,00	67,00	8,00	405,00	563,00	338,00	74,00	17,00	19,00	19,00	137,00	ATILA	2381,00	3891	2943	948	1,09	0,13	43,81	0,00	2,81	0,34	17,01	23,65	3,11	0,71	0,80	0,80	5,75	-46,4634102	-23,6563537
L07954	77,00	41,00	1127,00	221,00	0,00	95,00	7,00	576,00	591,00	545,00	129,00	70,00	67,00	121,00	324,00	ATILA	3225,00	5192	3991	1201	2,39	1,27	34,95	0,00	2,95	0,22	17,86	18,33	4,00	2,17	2,08	3,75	10,05	-46,4414359	-23,6672899
L07955	74,00	37,00	867,00	203,00	0,00	117,00	10,00	572,00	565,00	362,00	118,00	28,00	31,00	69,00	278,00	ATILA	2766,00	4261	3331	930	2,68	1,34	31,34	0,00	4,23	0,36	20,68	20,43	4,27	1,01	1,12	2,49	10,05	-46,4432080	-23,6780360
L07956	39,00	15,00	1069,00	200,00	0,00	94,00	15,00	407,00	622,00	348,00	101,00	29,00	17,00	21,00	183,00	ATILA	2612,00	4299	3160	1139	1,49	0,57	40,93	0,00	3,60	0,57	15,58	23,81	3,87	1,11	0,65	0,80	7,01	-46,4649894	-23,6565613
L07957	40,00	20,00	904,00	148,00	0,00	47,00	6,00	440,00	657,00	324,00	130,00	18,00	47,00	31,00	194,00	ATILA	2534,00	3925	3006	919	1,58	0,79	35,67	0,00	1,85	0,24	17,36	25,93	5,13	0,71	1,85	1,22	7,66	-46,4532737	-23,6581964
L07958	30,00	27,00	665,00	153,00	0,00	68,00	11,00	388,00	413,00	300,00	69,00	17,00	46,00	31,00	254,00	ATILA	2019,00	3188	2472	716	1,49	1,34	32,94	0,00	3,37	0,54	19,22	20,46	3,42	0,84	2,28	1,54	12,58	-46,4383159	-23,6849970
L07959	51,00	19,00	1084,00	227,00	0,00	74,00	6,00	537,00	967,00	459,00	153,00	24,00	65,00	20,00	347,00	ATILA	3347,00	5167	4033	1134	1,52	0,57	32,39	0,00	2,21	0,18	16,04	28,89	4,57	0,72	1,94	0,60	10,37	-46,4538761	-23,6469908
L07960	48,00	38,00	597,00	231,00	0,00	66,00	14,00	174,00	316,00	503,00	38,00	29,00	18,00	37,00	308,00	ATILA	1683,00	3614	2417	1197	2,85	2,26	35,47	0,00	3,92	0,83	10,34	18,78	2,26	1,72	1,07	2,20	18,30	-46,4827594	-23,6255567
L07961	36,00	33,00	685,00	167,00	1,00	64,00	10,00	378,00	297,00	282,00	51,00	18,00	37,00	11,00	199,00	ATILA	1820,00	2866	2269	597	1,98	1,81	37,64	0,05	3,52	0,55	20,77	16,32	2,80	0,99	2,03	0,60	10,93	-46,4351660	-23,6823810
L07962	92,00	38,00	722,00	238,00	0,00	69,00	13,00	197,00	398,00	540,00	54,00	23,00	15,00	37,00	338,00	ATILA	1996,00	3822	2774	1048	4,61	1,90	36,17	0,00	3,46	0,65	9,87	19,94	2,71	1,15	0,75	1,85	16,93	-46,4778274	-23,6326659
L07963	99,00	47,00	1521,00	327,00	1,00	105,00	24,00	718,00	700,00	601,00	160,00	45,00	100,00	79,00	444,00	ATILA	4043,00	6823	4971	1852	2,45	1,16	37,62	0,02	2,60	0,59	17,76	17,31	3,96	1,11	2,47	1,95	10,98	-46,4385544	-23,6768498
L07964	49,00	18,00	1331,00	265,00	0,00	81,00	15,00	510,00	777,00	452,00	99,00	33,00	32,00	39,00	190,00	ATILA	3174,00	5277	3891	1386	1,54	0,57	41,93	0,00	2,55	0,47	16,07	24,48	3,12	1,04	1,01	1,23	5,99	-46,4697191	-23,6605170
L07965	52,00	31,00	969,00	210,00	0,00	50,00	3,00	318,00	418,00	288,00	86,00	22,00	28,00	31,00	132,00	ATILA	2140,00	3516	2638	878	2,43	1,45	45,28	0,00	2,34	0,14	14,86	19,53	4,02	1,03	1,31	1,45	6,17	-46,4572269	-23,6621240
L07966	54,00	41,00	1053,00	189,00	0,00	84,00	13,00	721,00	582,00	433,00	186,00	43,00	50,00	86,00	422,00	ATILA	3335,00	5442	3957	1485	1,62	1,23	31,57	0,00	2,52	0,39	21,62	17,45	5,58	1,29	1,50	2,58	12,65	-46,4496405	-23,6701576
L07967	44,00	16,00	275,00	51,00	0,00	19,00	3,00	180,00	138,00	141,00	41,00	15,00	17,00	40,00	99,00	ATILA	887,00	1323	1079	244	4,96	1,80	31,00	0,00	2,14	0,34	20,29	15,56	4,62	1,69	1,92	4,51	11,16	-46,4422652	-23,6677092
L07968	49,00	22,00	873,00	202,00	0,00	43,00	3,00	370,00	616,00	359,00	116,00	10,00	33,00	12,00	228,00	ATILA	2375,00	3765	2936	829	2,06	0,93	36,76	0,00	1,81	0,13	15,58	25,94	4,88	0,42	1,39	0,51	9,60	-46,4535810	-23,6509657
L08739	51,00	43,00	853,00	136,00	1,00	35,00	5,00	417,00	543,00	295,00	83,00	26,00	44,00	31,00	184,00	ATILA	2316,00	3636	2747	889	2,20	1,86	36,83	0,04	1,51	0,22	18,01	23,45	3,58	1,12	1,90	1,34	7,94	-46,4487777	-23,6615716
L08740	55,00	13,00	1179,00	156,00	0,00	36,00	2,00	424,00	289,00	357,00	80,00	11,00	68,00	21,00	234,00	ATILA	2412,00	3615	2925	690	2,28	0,54	48,88	0,00	1,49	0,08	17,58	11,98	3,32	0,46	2,82	0,87	9,70	-46,4105952	-23,6690312
L08741	66,00	17,00	1396,00	234,00	0,00	83,00	10,00	505,00	447,00	408,00	97,00	54,00	178,00	35,00	209,00	ATILA	3097,00	4825	3739	1086	2,13	0,55	45,08	0,00	2,68	0,32	16,31	14,43	3,13	1,74	5,75	1,13	6,75	-46,4243413	-23,6577928
L08742	53,00	27,00	1496,00	297,00	0,00	79,00	16,00	674,00	532,00	455,00	128,00	67,00	161,00	28,00	213,00	ATILA	3474,00	5609	4226	1383	1,53	0,78	43,06	0,00	2,27	0,46	19,40	15,31	3,68	1,93	4,63	0,81	6,13	-46,4293810	-23,6585478
L08743	47,00	25,00	1453,00	247,00	0,00	92,00	11,00	529,00	512,00	414,00	110,00	53,00	172,00	28,00	211,00	ATILA	3243,00	5089	3904	1185	1,45	0,77	44,80	0,00	2,84	0,34	16,31	15,79	3,39	1,63	5,30	0,86	6,51	-46,4243428	-23,6578794
L08744	24,00	21,00	484,00	102,00	0,00	42,00	6,00	316,00	299,00	221,00	43,00	6,00	37,00	25,00	117,00	ATILA	1420,00	2157	1743	414	1,69	1,48	34,08	0,00	2,96	0,42	22,25	21,06	3,03	0,42	2,61	1,76	8,24	-46,4127000	-23,6820830
L08745	52,00	47,00	1029,00	178,00	1,00	32,00	6,00	617,00	803,00	388,00	99,00	45,00	43,00	23,00	265,00	ATILA	3062,00	4906	3628	1278	1,70	1,53	33,61	0,03	1,05	0,20	20,15	26,22	3,23	1,47	1,40	0,75	8,65	-46,4464627	-23,6570993
L08746	23,00	16,00	754,00	95,00	0,00	30,00	9,00	368,00	445,00	244,00	56,00	15,00	34,00	11,00	103,00	ATILA	1864,00	2953	2203	750	1,23	0,86	40,45	0,00	1,61	0,48	19,74	23,87	3,00	0,80	1,82	0,59	5,53	-46,4419931	-23,6513988
L08747	74,00	19,00	1467,00	209,00	0,00	39,00	9,00	567,00	680,00	386,00	103,00	17,00	55,00	22,00	156,00	ATILA	3208,00	4917	3803	1114	2,31	0,59	45,73	0,00	1,22	0,28	17,67	21,20	3,21	0,53	1,71	0,69	4,86	-46,4383301	-23,6513658
L08748	34,00	13,00	1354,00	250,00	0,00	29,00	8,00	934,00	936,00	400,00	91,00	15,00	85,00	22,00	148,00	ATILA	3669,00	5442	4319	1123	0,93	0,35	36,90	0,00	0,79	0,22	25,46	25,51	2,48	0,41	2,32	0,60	4,03	-46,4427864	-23,6495818
L08749	67,00	43,00	1310,00	247,00	2,00	99,00	10,00	819,00	590,00	500,00	168,00	54,00	127,00	44,00	233,00	ATILA	3566,00	5699	4313	1386	1,88	1,21	36,74	0,06	2,78	0,28	22,97	16,55	4,71	1,51	3,56	1,23	6,53	-46,4315241	-23,6634682
L08750	62,00	29,00	1363,00	218,00	0,00	60,00	15,00	666,00	502,00	442,00	91,00	17,00	94,00	34,00	331,00	ATILA	3264,00	5046	3924	1122	1,90	0,89	41,76	0,00	1,84	0,46	20,40	15,38	2,79	0,52	2,88	1,04	10,14	-46,4150183	-23,6757834
L08751	49,00	38,00	1232,00	242,00	0,00	87,00	13,00	817,00	528,00	490,00	124,00	41,00	90,00	35,00	196,00	ATILA	3250,00	4976	3982	994	1,51	1,17	37,91	0,00	2,68	0,40	25,14	16,25	3,82	1,26	2,77	1,08	6,03	-46,4238909	-23,6647312
L08752	24,00	26,00	966,00	139,00	0,00	27,00	8,00	460,00	291,00	229,00	51,00	11,00	48,00	11,00	163,00	ATILA	2086,00	3120	2454	666	1,15	1,25	46,31	0,00	1,29	0,38	22,05	13,95	2,44	0,53	2,30	0,53	7,81	-46,4216183	-23,6705553
L08753	42,00	27,00	1426,00	219,00	0,00	47,00	14,00	602,00	909,00	393,00	91,00	17,00	57,00	33,00	186,00	ATILA	3451,00	5309	4063	1246	1,22	0,78	41,32	0,00	1,36	0,41	17,44	26,34	2,64	0,49	1,65	0,96	5,39	-46,4388584	-23,6504592
L08754	69,00	47,00	1085,00	192,00	9,00	55,00	3,00	679,00	791,00	379,00	141,00	52,00	55,00	12,00	229,00	ATILA	3227,00	4910	3798	1112	2,14	1,46	33,62	0,28	1,70	0,09	21,04	24,51	4,37	1,61	1,70	0,37	7,10	-46,4400344	-23,6584764
L08755	46,00	13,00	669,00	125,00	1,00	27,00	5,00	405,00	400,00	250,00	74,00	26,00	54,00	11,00	102,00	ATILA	1833,00	2767	2208	559	2,51	0,71	36,50	0,05	1,47	0,27	22,09	21,82	4,04	1,42	2,95	0,60	5,56	-46,4342040	-23,6567620
L08756	58,00	28,00	996,00	192,00	0,00	19,00	2,00	446,00	590,00	394,00	107,00	19,00	55,00	20,00	115,00	ATILA	2455,00	3775	3041	734	2,36	1,14	40,57	0,00	0,77	0,08	18,17	24,03	4,36	0,77	2,24	0,81	4,68	-46,4494430	-23,6494280
L08757	67,00	53,00	1565,00	247,00	3,00	97,00	14,00	909,00	783,00	476,00	134,00	49,00	89,00	63,00	313,00	ATILA	4139,00	6485	4862	1623	1,62	1,28	37,81	0,07	2,34	0,34	21,96	18,92	3,24	1,18	2,15	1,52	7,56	-46,4236609	-23,6705830
L08758	43,00	21,00	1352,00	189,00	2,00	51,00	11,00	569,00	451,00	390,00	91,00	17,00	75,00	21,00	255,00	ATILA	2959,00	4480	3538	942	1,45	0,71	45,69	0,07	1,72	0,37	19,23	15,24	3,08	0,57	2,53	0,71	8,62	-46,4226828	-23,6720132
L08759	41,00	24,00	1759,00	268,00	1,00	42,00	22,00	612,00	1088,00	509,00	119,00	35,00	72,00	43,00	190,00	ATILA	4048,00	6145	4825	1320	1,01	0,59	43,45	0,02	1,04	0,54	15,12	26,88	2,94	0,86	1,78	1,06	4,69	-46,4326520	-23,6478318
L08760	81,00	48,00	1292,00	235,00	2,00	67,00	9,00	672,00	595,00	489,00	133,00	20,00	83,00	41,00	255,00	ATILA	3298,00	5097	4022	1075	2,46	1,46	39,18	0,06	2,03	0,27	20,38	18,04	4,03	0,61	2,52	1,24	7,73	-46,4280158	-23,6753764
L08761	35,00	8,00	347,00	70,00	0,00	32,00	0,00	223,00	192,00	186,00	43,00	4,00	26,00	10,00	96,00	ATILA	1016,00	1563	1272	291	3,44	0,79	34,15	0,00	3,15	0,00	21,95	18,90	4,23	0,39	2,56	0,98	9,45	-46,4118947	-23,6823737
L08762	22,00	11,00	1338,00	176,00	0,00	29,00	25,00	407,00	687,00	327,00	89,00	17,00	29,00	19,00	115,00	ATILA	2788,00	4043	3291	752	0,79	0,39	47,99	0,00	1,04	0,90	14,60	24,64	3,19	0,61	1,04	0,68	4,12	-46,4341396	-23,6468528
L08763	13,00	8,00	114,00	19,00	0,00	2,00	0,00	55,00	54,00	49,00	12,00	5,00	4,00	1,00	22,00	ATILA	290,00	445	358	87	4,48	2,76	39,31	0,00	0,69	0,00	18,97	18,62	4,14	1,72	1,38	0,34	7,59	-46,4452120	-23,6595600
L08764	19,00	13,00	462,00	56,00	0,00	14,00	6,00	187,00	258,00	126,00	34,00	5,00	18,00	12,00	56,00	ATILA	1084,00	1574	1266	308	1,75	1,20	42,62	0,00	1,29	0,55	17,25	23,80	3,14	0,46	1,66	1,11	5,17	-46,4383782	-23,6530148
L08765	20,00	13,00	525,00	97,00	0,00	35,00	10,00	229,00	179,00	176,00	48,00	20,00	63,00	11,00	75,00	ATILA	1228,00	1871	1501	370	1,63	1,06	42,75	0,00	2,85	0,81	18,65	14,58	3,91	1,63	5,13	0,90	6,11	-46,4253633	-23,6581240
L08766	24,00	16,00	602,00	96,00	0,00	20,00	6,00	229,00	337,00	166,00	43,00	16,00	16,00	10,00	72,00	ATILA	1391,00	2148	1653	495	1,73	1,15	43,28	0,00	1,44	0,43	16,46	24,23	3,09	1,15	1,15	0,72	5,18	-46,4412049	-23,6515609
L08767	46,00	12,00	772,00	76,00	1,00	31,00	1,00	155,00	118,00	141,00	36,00	11,00	53,00	12,00	52,00	ATILA	1300,00	1853	1517	336	3,54	0,92	59,38	0,08	2,38	0,08	11,92	9,08	2,77	0,85	4,08	0,92	4,00	-46,4190132	-23,6496273
L08768	35,00	9,00	619,00	81,00	0,00	20,00	0,00	198,00	127,00	158,00	19,00	7,00	18,00	3,00	98,00	ATILA	1153,00	1675	1392	283	3,04	0,78	53,69	0,00	1,73	0,00	17,17	11,01	1,65	0,61	1,56	0,26	8,50	-46,4149832	-23,6657142
L08769	17,00	5,00	580,00	91,00	0,00	18,00	2,00	365,00	316,00	177,00	38,00	7,00	54,00	8,00	60,00	ATILA	1470,00	2172	1738	434	1,16	0,34	39,46	0,00	1,22	0,14	24,83	21,50	2,59	0,48	3,67	0,54	4,08	-46,4448738	-23,6503312
L08770	11,00	17,00	399,00	68,00	0,00	29,00	7,00	204,00	167,00	139,00	34,00	13,00	38,00	8,00	52,00	ATILA	979,00	1519	1186	333	1,12	1,74	40,76	0,00	2,96	0,72	20,84	17,06	3,47	1,33	3,88	0,82	5,31	-46,4323840	-23,6590010
