cod_local	Branco	CAIO CUNHA	FELIPE LINTZ	FRED COSTA	MARCUS MELO	MICHAEL DELLA TORRE	MIGUEL BOMBEIRO	Nulo	RODRIGO VALVERDE	vencedor	v_valid	e_apto	e_comp	e_abst	CAIO CUNHA_%	FELIPE LINTZ_%	FRED COSTA_%	MARCUS MELO_%	MICHAEL DELLA TORRE_%	MIGUEL BOMBEIRO_%	RODRIGO VALVERDE_%	longitude	latitude
L06888	6,00	36,00	10,00	1,00	26,00	4,00	0,00	16,00	17,00	CAIO CUNHA	94,00	139	116	23	38,30	10,64	1,06	27,66	4,26	0,00	18,09	-46,2086807	-23,5523170
L06889	98,00	137,00	78,00	3,00	547,00	4,00	6,00	65,00	82,00	MARCUS MELO	857,00	1374	1020	354	15,99	9,10	0,35	63,83	0,47	0,70	9,57	-46,1211850	-23,6385560
L06890	159,00	510,00	167,00	23,00	557,00	14,00	31,00	198,00	282,00	MARCUS MELO	1584,00	2603	1941	662	32,20	10,54	1,45	35,16	0,88	1,96	17,80	-46,2111657	-23,5541249
L06891	50,00	320,00	63,00	5,00	303,00	5,00	11,00	96,00	177,00	CAIO CUNHA	884,00	1425	1030	395	36,20	7,13	0,57	34,28	0,57	1,24	20,02	-46,2038548	-23,5235974
L06892	99,00	489,00	131,00	4,00	596,00	17,00	30,00	173,00	261,00	MARCUS MELO	1528,00	2272	1800	472	32,00	8,57	0,26	39,01	1,11	1,96	17,08	-46,1661447	-23,5417243
L06893	61,00	293,00	51,00	3,00	258,00	19,00	1,00	115,00	124,00	CAIO CUNHA	749,00	1196	925	271	39,12	6,81	0,40	34,45	2,54	0,13	16,56	-46,1821326	-23,5624801
L06894	157,00	362,00	153,00	6,00	887,00	16,00	12,00	209,00	269,00	MARCUS MELO	1705,00	2672	2071	601	21,23	8,97	0,35	52,02	0,94	0,70	15,78	-46,2601304	-23,5491810
L06896	10,00	10,00	8,00	3,00	30,00	2,00	2,00	31,00	35,00	RODRIGO VALVERDE	90,00	177	131	46	11,11	8,89	3,33	33,33	2,22	2,22	38,89	-46,2348378	-23,6122492
L06897	83,00	95,00	57,00	4,00	365,00	7,00	4,00	87,00	97,00	MARCUS MELO	629,00	1105	799	306	15,10	9,06	0,64	58,03	1,11	0,64	15,42	-46,1825290	-23,6808903
L06898	185,00	673,00	235,00	27,00	701,00	22,00	35,00	264,00	424,00	MARCUS MELO	2117,00	3519	2566	953	31,79	11,10	1,28	33,11	1,04	1,65	20,03	-46,2032729	-23,5544319
L06899	243,00	686,00	269,00	20,00	988,00	30,00	27,00	302,00	369,00	MARCUS MELO	2389,00	3864	2934	930	28,71	11,26	0,84	41,36	1,26	1,13	15,45	-46,2335765	-23,5424164
L06900	131,00	249,00	114,00	14,00	498,00	14,00	19,00	162,00	265,00	MARCUS MELO	1173,00	1959	1466	493	21,23	9,72	1,19	42,46	1,19	1,62	22,59	-46,2338260	-23,5406466
L06901	12,00	40,00	15,00	2,00	53,00	1,00	1,00	17,00	24,00	MARCUS MELO	136,00	227	165	62	29,41	11,03	1,47	38,97	0,74	0,74	17,65	-46,2010457	-23,5574233
L06902	64,00	238,00	77,00	7,00	305,00	5,00	10,00	101,00	123,00	MARCUS MELO	765,00	1189	930	259	31,11	10,07	0,92	39,87	0,65	1,31	16,08	-46,2169516	-23,5397601
L06903	130,00	263,00	167,00	14,00	454,00	9,00	25,00	137,00	176,00	MARCUS MELO	1108,00	1828	1375	453	23,74	15,07	1,26	40,97	0,81	2,26	15,88	-46,2529135	-23,6120258
L06904	48,00	178,00	48,00	5,00	212,00	2,00	9,00	86,00	111,00	MARCUS MELO	565,00	992	699	293	31,50	8,50	0,88	37,52	0,35	1,59	19,65	-46,2175191	-23,5400034
L06905	67,00	354,00	59,00	2,00	490,00	10,00	7,00	78,00	134,00	MARCUS MELO	1056,00	1582	1201	381	33,52	5,59	0,19	46,40	0,95	0,66	12,69	-46,1873394	-23,5143147
L07516	8,00	15,00	2,00	1,00	34,00	0,00	0,00	18,00	26,00	MARCUS MELO	78,00	141	104	37	19,23	2,56	1,28	43,59	0,00	0,00	33,33	-46,2797430	-23,4651790
L07517	164,00	539,00	209,00	22,00	757,00	20,00	37,00	342,00	342,00	MARCUS MELO	1926,00	3198	2432	766	27,99	10,85	1,14	39,30	1,04	1,92	17,76	-46,1367810	-23,4840010
L07518	6,00	3,00	1,00	3,00	20,00	0,00	0,00	13,00	46,00	RODRIGO VALVERDE	73,00	128	92	36	4,11	1,37	4,11	27,40	0,00	0,00	63,01	-46,2439280	-23,4273905
L07519	103,00	377,00	111,00	8,00	549,00	13,00	29,00	159,00	211,00	MARCUS MELO	1298,00	2347	1560	787	29,04	8,55	0,62	42,30	1,00	2,23	16,26	-46,1448614	-23,5117891
L07520	190,00	710,00	164,00	14,00	1194,00	19,00	6,00	262,00	168,00	MARCUS MELO	2275,00	3797	2727	1070	31,21	7,21	0,62	52,48	0,84	0,26	7,38	-46,2561073	-23,4660008
L07522	71,00	212,00	106,00	7,00	256,00	8,00	11,00	125,00	165,00	MARCUS MELO	765,00	1271	961	310	27,71	13,86	0,92	33,46	1,05	1,44	21,57	-46,2140414	-23,5041734
L07525	219,00	605,00	181,00	26,00	795,00	14,00	26,00	265,00	418,00	MARCUS MELO	2065,00	3507	2549	958	29,30	8,77	1,26	38,50	0,68	1,26	20,24	-46,1452290	-23,5063779
L07527	172,00	273,00	113,00	7,00	1144,00	5,00	31,00	136,00	115,00	MARCUS MELO	1688,00	2833	1996	837	16,17	6,69	0,41	67,77	0,30	1,84	6,81	-46,1487089	-23,5523510
L07529	90,00	118,00	14,00	5,00	162,00	0,00	1,00	66,00	210,00	RODRIGO VALVERDE	510,00	892	666	226	23,14	2,75	0,98	31,76	0,00	0,20	41,18	-46,2859475	-23,4844904
L07531	106,00	728,00	126,00	11,00	539,00	29,00	9,00	160,00	174,00	CAIO CUNHA	1616,00	2464	1882	582	45,05	7,80	0,68	33,35	1,79	0,56	10,77	-46,0842351	-23,4805631
L07532	173,00	721,00	231,00	18,00	831,00	16,00	24,00	240,00	278,00	MARCUS MELO	2119,00	3423	2532	891	34,03	10,90	0,85	39,22	0,76	1,13	13,12	-46,1520972	-23,5008683
L07533	282,00	828,00	299,00	22,00	1052,00	53,00	25,00	395,00	391,00	MARCUS MELO	2670,00	4600	3347	1253	31,01	11,20	0,82	39,40	1,99	0,94	14,64	-46,1315515	-23,4747163
L07534	101,00	114,00	48,00	2,00	451,00	3,00	3,00	60,00	61,00	MARCUS MELO	682,00	1175	843	332	16,72	7,04	0,29	66,13	0,44	0,44	8,94	-46,1777964	-23,3817270
L07536	173,00	749,00	253,00	22,00	1037,00	31,00	29,00	296,00	404,00	MARCUS MELO	2525,00	4158	2994	1164	29,66	10,02	0,87	41,07	1,23	1,15	16,00	-46,1569397	-23,5037712
L07537	202,00	695,00	258,00	22,00	891,00	41,00	57,00	275,00	436,00	MARCUS MELO	2400,00	3935	2877	1058	28,96	10,75	0,92	37,12	1,71	2,38	18,17	-46,1432076	-23,5153889
L07538	94,00	386,00	120,00	20,00	497,00	24,00	13,00	144,00	232,00	MARCUS MELO	1292,00	2106	1530	576	29,88	9,29	1,55	38,47	1,86	1,01	17,96	-46,2005239	-23,5092060
L07539	232,00	920,00	271,00	20,00	1023,00	39,00	26,00	291,00	398,00	MARCUS MELO	2697,00	4300	3220	1080	34,11	10,05	0,74	37,93	1,45	0,96	14,76	-46,1814329	-23,4993047
L07540	31,00	45,00	43,00	3,00	123,00	2,00	7,00	44,00	44,00	MARCUS MELO	267,00	445	342	103	16,85	16,10	1,12	46,07	0,75	2,62	16,48	-46,2284399	-23,4655307
L07541	109,00	399,00	109,00	8,00	420,00	11,00	23,00	131,00	199,00	MARCUS MELO	1169,00	1779	1409	370	34,13	9,32	0,68	35,93	0,94	1,97	17,02	-46,1455968	-23,5213127
L07543	39,00	161,00	33,00	3,00	184,00	0,00	3,00	44,00	89,00	MARCUS MELO	473,00	724	556	168	34,04	6,98	0,63	38,90	0,00	0,63	18,82	-46,1803124	-23,4984165
L07544	14,00	20,00	10,00	0,00	46,00	1,00	2,00	13,00	59,00	RODRIGO VALVERDE	138,00	203	165	38	14,49	7,25	0,00	33,33	0,72	1,45	42,75	-46,1209099	-23,5190591
L07548	175,00	576,00	206,00	23,00	861,00	36,00	29,00	248,00	318,00	MARCUS MELO	2049,00	3451	2472	979	28,11	10,05	1,12	42,02	1,76	1,42	15,52	-46,2077795	-23,5122450
L07550	76,00	70,00	47,00	3,00	429,00	0,00	3,00	58,00	149,00	MARCUS MELO	701,00	1061	835	226	9,99	6,70	0,43	61,20	0,00	0,43	21,26	-46,1603460	-23,3560460
L07551	213,00	138,00	104,00	9,00	779,00	4,00	5,00	229,00	306,00	MARCUS MELO	1345,00	2559	1787	772	10,26	7,73	0,67	57,92	0,30	0,37	22,75	-46,2801260	-23,4647610
L07553	101,00	159,00	39,00	2,00	310,00	3,00	3,00	108,00	121,00	MARCUS MELO	637,00	1165	846	319	24,96	6,12	0,31	48,67	0,47	0,47	19,00	-46,2810834	-23,4795117
L07554	139,00	741,00	163,00	15,00	842,00	28,00	18,00	243,00	301,00	MARCUS MELO	2108,00	3370	2490	880	35,15	7,73	0,71	39,94	1,33	0,85	14,28	-46,1830720	-23,4967629
L07555	97,00	634,00	140,00	24,00	625,00	10,00	21,00	190,00	208,00	CAIO CUNHA	1662,00	2543	1949	594	38,15	8,42	1,44	37,61	0,60	1,26	12,52	-46,1545058	-23,5015478
L07556	112,00	516,00	116,00	24,00	634,00	15,00	15,00	164,00	258,00	MARCUS MELO	1578,00	2570	1854	716	32,70	7,35	1,52	40,18	0,95	0,95	16,35	-46,1563280	-23,5037399
L07557	151,00	643,00	169,00	17,00	756,00	20,00	40,00	236,00	353,00	MARCUS MELO	1998,00	3160	2385	775	32,18	8,46	0,85	37,84	1,00	2,00	17,67	-46,1454960	-23,5129990
L07558	146,00	247,00	36,00	7,00	351,00	2,00	6,00	176,00	466,00	RODRIGO VALVERDE	1115,00	1824	1437	387	22,15	3,23	0,63	31,48	0,18	0,54	41,79	-46,2860500	-23,4850010
L07559	114,00	93,00	78,00	1,00	445,00	0,00	8,00	87,00	75,00	MARCUS MELO	700,00	1362	901	461	13,29	11,14	0,14	63,57	0,00	1,14	10,71	-46,2073980	-23,4144040
L07569	22,00	60,00	26,00	2,00	92,00	0,00	2,00	27,00	20,00	MARCUS MELO	202,00	355	251	104	29,70	12,87	0,99	45,54	0,00	0,99	9,90	-46,1648780	-23,4382300
