cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L09829	107,00	294,00	507,00	1300,00	549,00	841,00	14,00	558,00	2,00	29,00	247,00	17,00	18,00	ELÓI PIETÁ	3631,00	5380	4483	897	2,95	13,96	35,80	15,12	23,16	0,39	0,06	0,80	6,80	0,47	0,50	-46,4437028	-23,3783486
L09830	37,00	168,00	5,00	838,00	177,00	654,00	10,00	358,00	4,00	19,00	52,00	15,00	21,00	ELÓI PIETÁ	1832,00	2870	2358	512	2,02	0,27	45,74	9,66	35,70	0,55	0,22	1,04	2,84	0,82	1,15	-46,4024310	-23,3865450
L09831	80,00	306,00	15,00	1194,00	455,00	1377,00	12,00	526,00	6,00	33,00	161,00	40,00	32,00	GUTI	3405,00	5341	4237	1104	2,35	0,44	35,07	13,36	40,44	0,35	0,18	0,97	4,73	1,17	0,94	-46,4660087	-23,4006544
L09832	61,00	179,00	16,00	729,00	217,00	851,00	5,00	373,00	1,00	24,00	71,00	24,00	15,00	GUTI	2014,00	3201	2566	635	3,03	0,79	36,20	10,77	42,25	0,25	0,05	1,19	3,53	1,19	0,74	-46,4514827	-23,4142506
L09833	19,00	74,00	1,00	520,00	123,00	376,00	2,00	132,00	1,00	3,00	19,00	7,00	20,00	ELÓI PIETÁ	1091,00	1705	1297	408	1,74	0,09	47,66	11,27	34,46	0,18	0,09	0,27	1,74	0,64	1,83	-46,4201768	-23,4087523
L09834	48,00	202,00	4,00	858,00	281,00	965,00	7,00	399,00	9,00	18,00	93,00	25,00	35,00	GUTI	2343,00	3555	2944	611	2,05	0,17	36,62	11,99	41,19	0,30	0,38	0,77	3,97	1,07	1,49	-46,3974480	-23,4069388
L09835	82,00	240,00	21,00	1264,00	321,00	1344,00	17,00	433,00	11,00	34,00	125,00	15,00	34,00	GUTI	3268,00	4593	3941	652	2,51	0,64	38,68	9,82	41,13	0,52	0,34	1,04	3,82	0,46	1,04	-46,4532657	-23,4044830
L09836	84,00	301,00	8,00	1281,00	460,00	1299,00	7,00	506,00	27,00	36,00	94,00	23,00	66,00	GUTI	3385,00	5143	4192	951	2,48	0,24	37,84	13,59	38,38	0,21	0,80	1,06	2,78	0,68	1,95	-46,3915434	-23,4071587
L09837	77,00	268,00	30,00	1115,00	336,00	1360,00	16,00	541,00	7,00	35,00	118,00	31,00	27,00	GUTI	3152,00	4944	3961	983	2,44	0,95	35,37	10,66	43,15	0,51	0,22	1,11	3,74	0,98	0,86	-46,4580997	-23,4097075
L09838	66,00	288,00	8,00	2349,00	377,00	1442,00	6,00	610,00	10,00	17,00	89,00	17,00	92,00	ELÓI PIETÁ	4473,00	6569	5371	1198	1,48	0,18	52,52	8,43	32,24	0,13	0,22	0,38	1,99	0,38	2,06	-46,4171536	-23,4044185
L09839	117,00	369,00	12,00	1536,00	468,00	1747,00	17,00	626,00	4,00	33,00	166,00	32,00	24,00	GUTI	4156,00	6276	5151	1125	2,82	0,29	36,96	11,26	42,04	0,41	0,10	0,79	3,99	0,77	0,58	-46,4666479	-23,4031200
L09840	67,00	364,00	12,00	2306,00	427,00	1481,00	6,00	611,00	9,00	27,00	91,00	37,00	76,00	ELÓI PIETÁ	4539,00	6925	5514	1411	1,48	0,26	50,80	9,41	32,63	0,13	0,20	0,59	2,00	0,82	1,67	-46,4166354	-23,4057458
L09841	102,00	344,00	20,00	2039,00	449,00	1708,00	13,00	632,00	6,00	43,00	84,00	60,00	35,00	ELÓI PIETÁ	4559,00	6620	5535	1085	2,24	0,44	44,72	9,85	37,46	0,29	0,13	0,94	1,84	1,32	0,77	-46,4332401	-23,4018027
L09842	15,00	48,00	2,00	357,00	69,00	260,00	2,00	106,00	1,00	9,00	17,00	10,00	11,00	ELÓI PIETÁ	753,00	1143	907	236	1,99	0,27	47,41	9,16	34,53	0,27	0,13	1,20	2,26	1,33	1,46	-46,4337453	-23,4021408
L09843	94,00	304,00	30,00	1170,00	366,00	1614,00	18,00	550,00	10,00	48,00	123,00	33,00	40,00	GUTI	3546,00	5358	4400	958	2,65	0,85	32,99	10,32	45,52	0,51	0,28	1,35	3,47	0,93	1,13	-46,4584206	-23,4091730
L09844	60,00	347,00	5,00	1381,00	445,00	1284,00	17,00	555,00	49,00	50,00	88,00	36,00	46,00	ELÓI PIETÁ	3461,00	5306	4363	943	1,73	0,14	39,90	12,86	37,10	0,49	1,42	1,44	2,54	1,04	1,33	-46,3942002	-23,3987737
L09845	63,00	294,00	7,00	1373,00	458,00	1337,00	13,00	629,00	47,00	55,00	99,00	37,00	46,00	ELÓI PIETÁ	3535,00	5424	4458	966	1,78	0,20	38,84	12,96	37,82	0,37	1,33	1,56	2,80	1,05	1,30	-46,3955820	-23,3987536
L09846	108,00	219,00	20,00	956,00	280,00	1335,00	17,00	438,00	9,00	28,00	119,00	20,00	33,00	GUTI	2925,00	4264	3582	682	3,69	0,68	32,68	9,57	45,64	0,58	0,31	0,96	4,07	0,68	1,13	-46,4570810	-23,4125500
L09847	5,00	32,00	2,00	97,00	31,00	142,00	3,00	57,00	1,00	2,00	16,00	6,00	2,00	GUTI	307,00	492	396	96	1,63	0,65	31,60	10,10	46,25	0,98	0,33	0,65	5,21	1,95	0,65	-46,4019218	-23,4113425
L09848	73,00	240,00	14,00	1137,00	353,00	1255,00	18,00	488,00	2,00	19,00	133,00	27,00	23,00	GUTI	3054,00	4579	3782	797	2,39	0,46	37,23	11,56	41,09	0,59	0,07	0,62	4,35	0,88	0,75	-46,4697267	-23,4083693
L09849	21,00	88,00	4,00	396,00	118,00	481,00	4,00	150,00	0,00	15,00	53,00	10,00	10,00	GUTI	1112,00	1679	1350	329	1,89	0,36	35,61	10,61	43,26	0,36	0,00	1,35	4,77	0,90	0,90	-46,4588105	-23,4093334
L09850	109,00	237,00	374,00	989,00	460,00	771,00	12,00	493,00	1,00	31,00	155,00	10,00	15,00	ELÓI PIETÁ	2927,00	4421	3657	764	3,72	12,78	33,79	15,72	26,34	0,41	0,03	1,06	5,30	0,34	0,51	-46,4488353	-23,3750146
L09851	2,00	10,00	0,00	74,00	25,00	74,00	0,00	20,00	5,00	3,00	3,00	0,00	3,00	ELÓI PIETÁ	189,00	260	219	41	1,06	0,00	39,15	13,23	39,15	0,00	2,65	1,59	1,59	0,00	1,59	-46,4548917	-23,3997082
L09852	40,00	155,00	9,00	745,00	240,00	712,00	3,00	272,00	14,00	33,00	61,00	12,00	20,00	ELÓI PIETÁ	1889,00	2816	2316	500	2,12	0,48	39,44	12,71	37,69	0,16	0,74	1,75	3,23	0,64	1,06	-46,3935128	-23,3969846
L09853	7,00	27,00	0,00	94,00	48,00	72,00	0,00	34,00	0,00	2,00	6,00	1,00	6,00	ELÓI PIETÁ	236,00	356	297	59	2,97	0,00	39,83	20,34	30,51	0,00	0,00	0,85	2,54	0,42	2,54	-46,4013265	-23,4220461
L09854	86,00	205,00	12,00	1262,00	241,00	1095,00	12,00	422,00	4,00	36,00	71,00	62,00	25,00	ELÓI PIETÁ	2906,00	4213	3533	680	2,96	0,41	43,43	8,29	37,68	0,41	0,14	1,24	2,44	2,13	0,86	-46,4426341	-23,4006395
L09855	36,00	130,00	17,00	646,00	143,00	668,00	5,00	256,00	4,00	13,00	53,00	12,00	19,00	GUTI	1616,00	2396	2002	394	2,23	1,05	39,98	8,85	41,34	0,31	0,25	0,80	3,28	0,74	1,18	-46,4541521	-23,4053186
L09856	0,00	6,00	0,00	71,00	4,00	0,00	0,00	5,00	0,00	0,00	0,00	0,00	0,00	ELÓI PIETÁ	75,00	107	86	21	0,00	0,00	94,67	5,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	-46,4884650	-23,4631798
L09857	37,00	137,00	6,00	333,00	230,00	759,00	4,00	223,00	1,00	14,00	75,00	25,00	10,00	GUTI	1494,00	2389	1854	535	2,48	0,40	22,29	15,39	50,80	0,27	0,07	0,94	5,02	1,67	0,67	-46,4623279	-23,4372050
L09858	38,00	124,00	0,00	372,00	213,00	743,00	9,00	284,00	3,00	17,00	164,00	25,00	8,00	GUTI	1592,00	2339	2000	339	2,39	0,00	23,37	13,38	46,67	0,57	0,19	1,07	10,30	1,57	0,50	-46,4627520	-23,4438668
L09859	83,00	348,00	4,00	1049,00	429,00	1607,00	7,00	599,00	4,00	25,00	204,00	42,00	25,00	GUTI	3479,00	5627	4426	1201	2,39	0,11	30,15	12,33	46,19	0,20	0,11	0,72	5,86	1,21	0,72	-46,4663092	-23,4465384
L09860	99,00	263,00	2,00	902,00	301,00	1338,00	9,00	425,00	5,00	24,00	150,00	35,00	23,00	GUTI	2888,00	4799	3576	1223	3,43	0,07	31,23	10,42	46,33	0,31	0,17	0,83	5,19	1,21	0,80	-46,4742651	-23,4493456
L09861	90,00	317,00	6,00	1803,00	363,00	1546,00	10,00	711,00	35,00	32,00	144,00	48,00	92,00	ELÓI PIETÁ	4169,00	6361	5197	1164	2,16	0,14	43,25	8,71	37,08	0,24	0,84	0,77	3,45	1,15	2,21	-46,4284199	-23,4439420
L09862	52,00	193,00	8,00	624,00	178,00	1027,00	4,00	380,00	7,00	27,00	128,00	36,00	27,00	GUTI	2118,00	3359	2691	668	2,46	0,38	29,46	8,40	48,49	0,19	0,33	1,27	6,04	1,70	1,27	-46,4178706	-23,4230444
L09863	77,00	249,00	7,00	700,00	282,00	856,00	4,00	390,00	6,00	46,00	131,00	42,00	19,00	GUTI	2170,00	3738	2809	929	3,55	0,32	32,26	13,00	39,45	0,18	0,28	2,12	6,04	1,94	0,88	-46,4279296	-23,4310787
L09864	58,00	308,00	5,00	1458,00	334,00	1420,00	5,00	416,00	2,00	24,00	92,00	15,00	14,00	ELÓI PIETÁ	3427,00	5205	4151	1054	1,69	0,15	42,54	9,75	41,44	0,15	0,06	0,70	2,68	0,44	0,41	-46,4654827	-23,4594060
L09865	31,00	144,00	0,00	887,00	152,00	781,00	6,00	252,00	0,00	11,00	47,00	8,00	11,00	ELÓI PIETÁ	1934,00	2947	2330	617	1,60	0,00	45,86	7,86	40,38	0,31	0,00	0,57	2,43	0,41	0,57	-46,4668005	-23,4627026
L09866	39,00	142,00	6,00	849,00	186,00	760,00	8,00	315,00	17,00	13,00	71,00	18,00	26,00	ELÓI PIETÁ	1993,00	2932	2450	482	1,96	0,30	42,60	9,33	38,13	0,40	0,85	0,65	3,56	0,90	1,30	-46,4278732	-23,4383691
L09867	126,00	369,00	3,00	1245,00	490,00	1690,00	17,00	677,00	7,00	60,00	238,00	69,00	44,00	GUTI	3989,00	6556	5035	1521	3,16	0,08	31,21	12,28	42,37	0,43	0,18	1,50	5,97	1,73	1,10	-46,4363562	-23,4335696
L09868	101,00	309,00	6,00	1591,00	187,00	1622,00	7,00	546,00	8,00	33,00	122,00	34,00	20,00	GUTI	3731,00	5529	4586	943	2,71	0,16	42,64	5,01	43,47	0,19	0,21	0,88	3,27	0,91	0,54	-46,4576614	-23,4558165
L09869	88,00	398,00	3,00	1631,00	304,00	1644,00	4,00	491,00	9,00	21,00	104,00	23,00	9,00	GUTI	3840,00	5819	4729	1090	2,29	0,08	42,47	7,92	42,81	0,10	0,23	0,55	2,71	0,60	0,23	-46,4651071	-23,4594986
L09870	71,00	266,00	4,00	1473,00	358,00	1627,00	3,00	667,00	17,00	33,00	128,00	51,00	35,00	GUTI	3800,00	5764	4733	1031	1,87	0,11	38,76	9,42	42,82	0,08	0,45	0,87	3,37	1,34	0,92	-46,4386061	-23,4454914
L09871	81,00	343,00	4,00	1637,00	360,00	1790,00	6,00	679,00	9,00	33,00	144,00	47,00	46,00	GUTI	4157,00	6232	5179	1053	1,95	0,10	39,38	8,66	43,06	0,14	0,22	0,79	3,46	1,13	1,11	-46,4406541	-23,4507951
L09872	23,00	110,00	9,00	409,00	179,00	405,00	5,00	212,00	0,00	8,00	117,00	13,00	6,00	ELÓI PIETÁ	1174,00	1812	1496	316	1,96	0,77	34,84	15,25	34,50	0,43	0,00	0,68	9,97	1,11	0,51	-46,4579623	-23,4466592
L09873	59,00	192,00	7,00	854,00	138,00	1263,00	10,00	317,00	10,00	26,00	90,00	28,00	12,00	GUTI	2497,00	3620	3006	614	2,36	0,28	34,20	5,53	50,58	0,40	0,40	1,04	3,60	1,12	0,48	-46,4515097	-23,4506187
L09874	65,00	218,00	7,00	911,00	321,00	967,00	14,00	391,00	9,00	36,00	146,00	28,00	39,00	GUTI	2543,00	3842	3152	690	2,56	0,28	35,82	12,62	38,03	0,55	0,35	1,42	5,74	1,10	1,53	-46,4275906	-23,4246425
L09875	170,00	487,00	18,00	2065,00	673,00	2412,00	29,00	994,00	17,00	107,00	375,00	59,00	65,00	GUTI	5990,00	9025	7471	1554	2,84	0,30	34,47	11,24	40,27	0,48	0,28	1,79	6,26	0,98	1,09	-46,4340671	-23,4266463
L09876	79,00	265,00	4,00	852,00	384,00	1549,00	7,00	489,00	3,00	39,00	233,00	49,00	20,00	GUTI	3219,00	5107	3973	1134	2,45	0,12	26,47	11,93	48,12	0,22	0,09	1,21	7,24	1,52	0,62	-46,4660357	-23,4471833
L09877	68,00	128,00	4,00	606,00	156,00	735,00	3,00	340,00	5,00	26,00	98,00	37,00	14,00	GUTI	1752,00	2742	2220	522	3,88	0,23	34,59	8,90	41,95	0,17	0,29	1,48	5,59	2,11	0,80	-46,4275886	-23,4316448
L09878	31,00	103,00	2,00	275,00	119,00	384,00	0,00	135,00	2,00	5,00	35,00	9,00	7,00	GUTI	869,00	1504	1107	397	3,57	0,23	31,65	13,69	44,19	0,00	0,23	0,58	4,03	1,04	0,81	-46,4758617	-23,4524532
L09879	39,00	115,00	3,00	516,00	76,00	542,00	6,00	158,00	3,00	18,00	38,00	17,00	5,00	GUTI	1263,00	1890	1536	354	3,09	0,24	40,86	6,02	42,91	0,48	0,24	1,43	3,01	1,35	0,40	-46,4587327	-23,4565094
L09880	51,00	188,00	10,00	1000,00	260,00	793,00	6,00	400,00	18,00	11,00	108,00	22,00	42,00	ELÓI PIETÁ	2321,00	3560	2909	651	2,20	0,43	43,08	11,20	34,17	0,26	0,78	0,47	4,65	0,95	1,81	-46,4237055	-23,4448627
L09881	42,00	150,00	1,00	477,00	220,00	820,00	3,00	298,00	0,00	13,00	87,00	31,00	12,00	GUTI	1706,00	2794	2154	640	2,46	0,06	27,96	12,90	48,07	0,18	0,00	0,76	5,10	1,82	0,70	-46,4623323	-23,4433165
L09882	30,00	112,00	3,00	410,00	155,00	638,00	6,00	187,00	0,00	19,00	72,00	17,00	13,00	GUTI	1363,00	2080	1662	418	2,20	0,22	30,08	11,37	46,81	0,44	0,00	1,39	5,28	1,25	0,95	-46,4593607	-23,4375830
L09883	50,00	161,00	3,00	782,00	210,00	549,00	4,00	301,00	7,00	19,00	122,00	21,00	27,00	ELÓI PIETÁ	1794,00	2861	2256	605	2,79	0,17	43,59	11,71	30,60	0,22	0,39	1,06	6,80	1,17	1,51	-46,4272290	-23,4171690
L09884	3,00	16,00	0,00	105,00	36,00	92,00	2,00	46,00	1,00	1,00	12,00	2,00	4,00	ELÓI PIETÁ	258,00	411	320	91	1,16	0,00	40,70	13,95	35,66	0,78	0,39	0,39	4,65	0,78	1,55	-46,4415794	-23,4192819
L09885	56,00	265,00	7,00	968,00	292,00	861,00	11,00	403,00	10,00	52,00	130,00	34,00	51,00	ELÓI PIETÁ	2472,00	3836	3140	696	2,27	0,28	39,16	11,81	34,83	0,44	0,40	2,10	5,26	1,38	2,06	-46,4422840	-23,4184680
L09886	25,00	128,00	3,00	580,00	140,00	608,00	3,00	233,00	6,00	10,00	45,00	21,00	16,00	GUTI	1457,00	2302	1818	484	1,72	0,21	39,81	9,61	41,73	0,21	0,41	0,69	3,09	1,44	1,10	-46,4394973	-23,4515105
L09887	4,00	24,00	1,00	187,00	32,00	100,00	1,00	50,00	4,00	5,00	24,00	1,00	4,00	ELÓI PIETÁ	363,00	553	437	116	1,10	0,28	51,52	8,82	27,55	0,28	1,10	1,38	6,61	0,28	1,10	-46,4276220	-23,4157410
