cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L04040	97,00	199,00	9,00	770,00	371,00	1881,00	14,00	418,00	4,00	26,00	170,00	45,00	65,00	GUTI	3452,00	4916	4069	847	2,81	0,26	22,31	10,75	54,49	0,41	0,12	0,75	4,92	1,30	1,88	-46,5310324	-23,4403067
L04041	73,00	206,00	9,00	534,00	337,00	1179,00	6,00	350,00	3,00	39,00	141,00	63,00	25,00	GUTI	2409,00	3908	2965	943	3,03	0,37	22,17	13,99	48,94	0,25	0,12	1,62	5,85	2,62	1,04	-46,5198792	-23,4405254
L04042	81,00	169,00	9,00	609,00	287,00	2024,00	21,00	434,00	1,00	60,00	166,00	101,00	35,00	GUTI	3394,00	5052	3997	1055	2,39	0,27	17,94	8,46	59,63	0,62	0,03	1,77	4,89	2,98	1,03	-46,5148130	-23,4615577
L04043	75,00	149,00	17,00	521,00	204,00	1740,00	14,00	391,00	11,00	35,00	150,00	143,00	10,00	GUTI	2920,00	4361	3460	901	2,57	0,58	17,84	6,99	59,59	0,48	0,38	1,20	5,14	4,90	0,34	-46,4988962	-23,4535454
L04044	14,00	62,00	0,00	172,00	89,00	515,00	8,00	121,00	0,00	24,00	38,00	21,00	3,00	GUTI	884,00	1389	1067	322	1,58	0,00	19,46	10,07	58,26	0,90	0,00	2,71	4,30	2,38	0,34	-46,5252840	-23,4499460
L04045	41,00	110,00	8,00	367,00	180,00	1017,00	10,00	250,00	2,00	19,00	79,00	50,00	16,00	GUTI	1789,00	2690	2149	541	2,29	0,45	20,51	10,06	56,85	0,56	0,11	1,06	4,42	2,79	0,89	-46,5182845	-23,4505855
L04047	131,00	269,00	12,00	898,00	466,00	1816,00	8,00	539,00	5,00	44,00	150,00	71,00	48,00	GUTI	3649,00	5711	4457	1254	3,59	0,33	24,61	12,77	49,77	0,22	0,14	1,21	4,11	1,95	1,32	-46,5212409	-23,4239096
L04048	18,00	39,00	6,00	149,00	64,00	475,00	12,00	97,00	0,00	14,00	47,00	13,00	7,00	GUTI	805,00	1103	941	162	2,24	0,75	18,51	7,95	59,01	1,49	0,00	1,74	5,84	1,61	0,87	-46,5242122	-23,4573150
L04049	49,00	81,00	5,00	321,00	169,00	1203,00	16,00	205,00	0,00	29,00	86,00	70,00	10,00	GUTI	1958,00	2790	2244	546	2,50	0,26	16,39	8,63	61,44	0,82	0,00	1,48	4,39	3,58	0,51	-46,5279042	-23,4569302
L04050	26,00	46,00	1,00	222,00	128,00	646,00	6,00	112,00	0,00	16,00	59,00	29,00	12,00	GUTI	1145,00	1695	1303	392	2,27	0,09	19,39	11,18	56,42	0,52	0,00	1,40	5,15	2,53	1,05	-46,5284889	-23,4721650
L04051	34,00	121,00	2,00	344,00	129,00	824,00	2,00	211,00	3,00	27,00	47,00	42,00	16,00	GUTI	1470,00	2253	1802	451	2,31	0,14	23,40	8,78	56,05	0,14	0,20	1,84	3,20	2,86	1,09	-46,5374154	-23,4392016
L04052	1,00	1,00	0,00	16,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	ELÓI PIETÁ	18,00	31	19	12	5,56	0,00	88,89	0,00	0,00	0,00	0,00	0,00	5,56	0,00	0,00	-46,4923166	-23,4639376
L04053	0,00	27,00	0,00	43,00	19,00	38,00	0,00	31,00	0,00	0,00	0,00	3,00	0,00	ELÓI PIETÁ	103,00	196	161	35	0,00	0,00	41,75	18,45	36,89	0,00	0,00	0,00	0,00	2,91	0,00	-46,4949238	-23,4697085
L04054	67,00	171,00	6,00	606,00	320,00	1155,00	13,00	317,00	3,00	17,00	111,00	38,00	12,00	GUTI	2348,00	3441	2836	605	2,85	0,26	25,81	13,63	49,19	0,55	0,13	0,72	4,73	1,62	0,51	-46,5247111	-23,4230992
L04055	71,00	146,00	8,00	517,00	273,00	1853,00	11,00	273,00	2,00	38,00	172,00	109,00	27,00	GUTI	3081,00	4827	3500	1327	2,30	0,26	16,78	8,86	60,14	0,36	0,06	1,23	5,58	3,54	0,88	-46,5326860	-23,4703600
L04227	81,00	243,00	7,00	1510,00	339,00	962,00	1,00	370,00	16,00	19,00	103,00	18,00	96,00	ELÓI PIETÁ	3152,00	4547	3765	782	2,57	0,22	47,91	10,76	30,52	0,03	0,51	0,60	3,27	0,57	3,05	-46,4014214	-23,4418594
L04228	130,00	291,00	1,00	1664,00	392,00	841,00	3,00	458,00	16,00	34,00	99,00	17,00	67,00	ELÓI PIETÁ	3264,00	4990	4013	977	3,98	0,03	50,98	12,01	25,77	0,09	0,49	1,04	3,03	0,52	2,05	-46,4043279	-23,4619232
L04229	51,00	264,00	3,00	993,00	250,00	725,00	5,00	368,00	11,00	16,00	146,00	26,00	99,00	ELÓI PIETÁ	2325,00	3655	2957	698	2,19	0,13	42,71	10,75	31,18	0,22	0,47	0,69	6,28	1,12	4,26	-46,4252641	-23,4654680
L04230	78,00	226,00	0,00	1266,00	308,00	736,00	4,00	386,00	24,00	29,00	73,00	23,00	46,00	ELÓI PIETÁ	2587,00	4031	3199	832	3,02	0,00	48,94	11,91	28,45	0,15	0,93	1,12	2,82	0,89	1,78	-46,4036715	-23,4635450
L04231	70,00	250,00	6,00	1460,00	285,00	934,00	7,00	465,00	217,00	15,00	79,00	21,00	34,00	ELÓI PIETÁ	3128,00	4744	3843	901	2,24	0,19	46,68	9,11	29,86	0,22	6,94	0,48	2,53	0,67	1,09	-46,4014312	-23,4267677
L04232	77,00	265,00	15,00	1196,00	335,00	790,00	9,00	471,00	21,00	25,00	159,00	39,00	43,00	ELÓI PIETÁ	2709,00	4235	3445	790	2,84	0,55	44,15	12,37	29,16	0,33	0,78	0,92	5,87	1,44	1,59	-46,4217922	-23,4688827
L04233	70,00	260,00	1,00	1362,00	169,00	763,00	10,00	338,00	3,00	13,00	42,00	15,00	17,00	ELÓI PIETÁ	2465,00	3680	3063	617	2,84	0,04	55,25	6,86	30,95	0,41	0,12	0,53	1,70	0,61	0,69	-46,3922099	-23,4750902
L04234	33,00	153,00	3,00	383,00	72,00	629,00	2,00	178,00	3,00	11,00	47,00	8,00	18,00	GUTI	1209,00	1986	1540	446	2,73	0,25	31,68	5,96	52,03	0,17	0,25	0,91	3,89	0,66	1,49	-46,3699481	-23,4230098
L04235	88,00	304,00	5,00	1552,00	392,00	1197,00	3,00	501,00	27,00	24,00	149,00	28,00	60,00	ELÓI PIETÁ	3525,00	5464	4330	1134	2,50	0,14	44,03	11,12	33,96	0,09	0,77	0,68	4,23	0,79	1,70	-46,4124283	-23,4446100
L04236	89,00	282,00	2,00	1916,00	309,00	876,00	12,00	592,00	50,00	25,00	195,00	38,00	106,00	ELÓI PIETÁ	3618,00	5435	4492	943	2,46	0,06	52,96	8,54	24,21	0,33	1,38	0,69	5,39	1,05	2,93	-46,4240116	-23,4575466
L04237	112,00	352,00	3,00	1783,00	468,00	1039,00	1,00	544,00	33,00	34,00	122,00	23,00	88,00	ELÓI PIETÁ	3706,00	5772	4602	1170	3,02	0,08	48,11	12,63	28,04	0,03	0,89	0,92	3,29	0,62	2,37	-46,4010537	-23,4628858
