cod_local	Branco	CRISTIANE AMORIM	DRA BETE	GERALDO CRUZ	NEY SANTOS	Nulo	REY MARTINS	ROSÂNGELA SANTOS	SARGENTO RUAS O SHERIFF	vencedor	v_valid	e_apto	e_comp	e_abst	CRISTIANE AMORIM_%	DRA BETE_%	GERALDO CRUZ_%	NEY SANTOS_%	REY MARTINS_%	ROSÂNGELA SANTOS_%	SARGENTO RUAS O SHERIFF_%	longitude	latitude
L09729	78,00	1,00	171,00	134,00	606,00	165,00	3,00	442,00	30,00	NEY SANTOS	1387,00	2052	1630	422	0,07	12,33	9,66	43,69	0,22	31,87	2,16	-46,8075218	-23,6596193
L09730	256,00	1,00	626,00	486,00	1401,00	357,00	1,00	931,00	90,00	NEY SANTOS	3536,00	5232	4149	1083	0,03	17,70	13,74	39,62	0,03	26,33	2,55	-46,7966100	-23,6603422
L09731	188,00	0,00	1324,00	335,00	1422,00	372,00	3,00	499,00	62,00	NEY SANTOS	3645,00	5344	4205	1139	0,00	36,32	9,19	39,01	0,08	13,69	1,70	-46,8076525	-23,6733218
L09732	239,00	0,00	228,00	674,00	1482,00	438,00	4,00	1389,00	206,00	NEY SANTOS	3983,00	5773	4660	1113	0,00	5,72	16,92	37,21	0,10	34,87	5,17	-46,7976920	-23,6531800
L09733	160,00	2,00	171,00	554,00	872,00	252,00	4,00	796,00	81,00	NEY SANTOS	2480,00	3813	2892	921	0,08	6,90	22,34	35,16	0,16	32,10	3,27	-46,7954975	-23,6532021
L09734	195,00	0,00	1260,00	317,00	1199,00	398,00	2,00	480,00	75,00	DRA BETE	3333,00	4966	3926	1040	0,00	37,80	9,51	35,97	0,06	14,40	2,25	-46,8005910	-23,6694550
L09735	89,00	0,00	489,00	105,00	446,00	122,00	1,00	188,00	30,00	DRA BETE	1259,00	1902	1470	432	0,00	38,84	8,34	35,42	0,08	14,93	2,38	-46,8008130	-23,6705320
L09736	209,00	0,00	154,00	294,00	1623,00	331,00	6,00	1054,00	157,00	NEY SANTOS	3288,00	4730	3828	902	0,00	4,68	8,94	49,36	0,18	32,06	4,77	-46,7997252	-23,6503650
L09737	202,00	2,00	239,00	310,00	1566,00	295,00	1,00	592,00	47,00	NEY SANTOS	2757,00	4223	3254	969	0,07	8,67	11,24	56,80	0,04	21,47	1,70	-46,8162229	-23,6600075
L09738	72,00	1,00	86,00	136,00	470,00	124,00	1,00	323,00	29,00	NEY SANTOS	1046,00	1487	1242	245	0,10	8,22	13,00	44,93	0,10	30,88	2,77	-46,8034000	-23,6518660
L09739	166,00	0,00	282,00	309,00	1075,00	255,00	1,00	794,00	47,00	NEY SANTOS	2508,00	3639	2929	710	0,00	11,24	12,32	42,86	0,04	31,66	1,87	-46,8087236	-23,6590916
L09740	216,00	4,00	405,00	501,00	1374,00	389,00	2,00	1256,00	77,00	NEY SANTOS	3619,00	5492	4224	1268	0,11	11,19	13,84	37,97	0,06	34,71	2,13	-46,8041479	-23,6575080
L09741	46,00	2,00	61,00	127,00	283,00	73,00	2,00	245,00	19,00	NEY SANTOS	739,00	1086	858	228	0,27	8,25	17,19	38,29	0,27	33,15	2,57	-46,7948859	-23,6548973
L09742	101,00	0,00	670,00	167,00	534,00	166,00	0,00	226,00	27,00	DRA BETE	1624,00	2384	1891	493	0,00	41,26	10,28	32,88	0,00	13,92	1,66	-46,8037080	-23,6692959
L09743	154,00	0,00	514,00	286,00	794,00	278,00	2,00	639,00	49,00	NEY SANTOS	2284,00	3417	2716	701	0,00	22,50	12,52	34,76	0,09	27,98	2,15	-46,7998450	-23,6642769
L09744	167,00	0,00	232,00	418,00	1640,00	284,00	2,00	1097,00	79,00	NEY SANTOS	3468,00	4765	3919	846	0,00	6,69	12,05	47,29	0,06	31,63	2,28	-46,8082652	-23,6568515
L09745	128,00	3,00	710,00	287,00	813,00	237,00	0,00	280,00	28,00	NEY SANTOS	2121,00	3051	2486	565	0,14	33,47	13,53	38,33	0,00	13,20	1,32	-46,7990273	-23,6715894
L09746	200,00	0,00	245,00	414,00	1904,00	349,00	1,00	789,00	43,00	NEY SANTOS	3396,00	4850	3945	905	0,00	7,21	12,19	56,07	0,03	23,23	1,27	-46,8187290	-23,6600240
L09747	187,00	0,00	641,00	364,00	1078,00	254,00	1,00	891,00	72,00	NEY SANTOS	3047,00	4332	3488	844	0,00	21,04	11,95	35,38	0,03	29,24	2,36	-46,8001800	-23,6601018
L09748	109,00	1,00	858,00	294,00	776,00	221,00	2,00	300,00	54,00	DRA BETE	2285,00	3133	2615	518	0,04	37,55	12,87	33,96	0,09	13,13	2,36	-46,8060867	-23,6656011
L09749	162,00	0,00	232,00	467,00	1450,00	272,00	3,00	465,00	49,00	NEY SANTOS	2666,00	3877	3100	777	0,00	8,70	17,52	54,39	0,11	17,44	1,84	-46,8144630	-23,6512836
L09750	120,00	0,00	356,00	102,00	733,00	183,00	1,00	152,00	22,00	NEY SANTOS	1366,00	2011	1669	342	0,00	26,06	7,47	53,66	0,07	11,13	1,61	-46,8069030	-23,6835880
