cod_local	Branco	CLAUDIO DONIZETE	DR LEANDRO ALTRÃO	LOURDES DA CHAPA COLETIVA	LUIZ MARINHO	Nulo	ORLANDO MORANDO	RAFAEL DEMARCHI	vencedor	v_valid	e_apto	e_comp	e_abst	CLAUDIO DONIZETE_%	DR LEANDRO ALTRÃO_%	LOURDES DA CHAPA COLETIVA_%	LUIZ MARINHO_%	ORLANDO MORANDO_%	RAFAEL DEMARCHI_%	longitude	latitude
L03967	66,00	5,00	20,00	2,00	453,00	148,00	714,00	49,00	ORLANDO MORANDO	1243,00	1805	1457	348	0,40	1,61	0,16	36,44	57,44	3,94	-46,5362210	-23,7382845
L03968	195,00	9,00	58,00	80,00	729,00	353,00	2369,00	155,00	ORLANDO MORANDO	3400,00	5325	3948	1377	0,26	1,71	2,35	21,44	69,68	4,56	-46,5306700	-23,7278770
L03969	90,00	9,00	43,00	44,00	343,00	209,00	1769,00	130,00	ORLANDO MORANDO	2338,00	3843	2637	1206	0,38	1,84	1,88	14,67	75,66	5,56	-46,5401449	-23,7130179
L03970	72,00	3,00	43,00	19,00	192,00	160,00	1175,00	89,00	ORLANDO MORANDO	1521,00	2468	1753	715	0,20	2,83	1,25	12,62	77,25	5,85	-46,5591090	-23,7130393
L03971	77,00	2,00	21,00	11,00	566,00	155,00	897,00	56,00	ORLANDO MORANDO	1553,00	2398	1785	613	0,13	1,35	0,71	36,45	57,76	3,61	-46,5376257	-23,7371831
L03972	213,00	2,00	27,00	24,00	1223,00	340,00	1666,00	103,00	ORLANDO MORANDO	3045,00	4773	3598	1175	0,07	0,89	0,79	40,16	54,71	3,38	-46,5384635	-23,7367389
L03973	175,00	2,00	37,00	29,00	976,00	334,00	1223,00	115,00	ORLANDO MORANDO	2382,00	3630	2891	739	0,08	1,55	1,22	40,97	51,34	4,83	-46,5302901	-23,7552072
L03974	92,00	4,00	17,00	17,00	411,00	136,00	957,00	63,00	ORLANDO MORANDO	1469,00	2130	1697	433	0,27	1,16	1,16	27,98	65,15	4,29	-46,5439337	-23,7269223
L03975	195,00	9,00	51,00	37,00	962,00	424,00	2130,00	125,00	ORLANDO MORANDO	3314,00	4976	3933	1043	0,27	1,54	1,12	29,03	64,27	3,77	-46,5280659	-23,7398567
L03976	3,00	0,00	1,00	2,00	3,00	3,00	32,00	2,00	ORLANDO MORANDO	40,00	60	46	14	0,00	2,50	5,00	7,50	80,00	5,00	-46,5487753	-23,7073646
L03977	108,00	6,00	16,00	14,00	556,00	188,00	1081,00	85,00	ORLANDO MORANDO	1758,00	2574	2054	520	0,34	0,91	0,80	31,63	61,49	4,84	-46,5361406	-23,7345754
L03978	76,00	6,00	19,00	13,00	356,00	155,00	893,00	69,00	ORLANDO MORANDO	1356,00	2077	1587	490	0,44	1,40	0,96	26,25	65,86	5,09	-46,5388049	-23,7229366
L03979	242,00	5,00	39,00	26,00	1281,00	438,00	2777,00	107,00	ORLANDO MORANDO	4235,00	6708	4915	1793	0,12	0,92	0,61	30,25	65,57	2,53	-46,5264294	-23,7170860
L03980	152,00	6,00	50,00	31,00	685,00	295,00	1458,00	101,00	ORLANDO MORANDO	2331,00	3546	2778	768	0,26	2,15	1,33	29,39	62,55	4,33	-46,5273141	-23,7298404
L03981	4,00	0,00	0,00	0,00	25,00	6,00	21,00	2,00	LUIZ MARINHO	48,00	79	58	21	0,00	0,00	0,00	52,08	43,75	4,17	-46,5661526	-23,7217113
L03982	46,00	3,00	14,00	14,00	226,00	85,00	546,00	55,00	ORLANDO MORANDO	858,00	1363	989	374	0,35	1,63	1,63	26,34	63,64	6,41	-46,5433437	-23,7247021
L03983	87,00	4,00	16,00	15,00	457,00	139,00	759,00	63,00	ORLANDO MORANDO	1314,00	2005	1540	465	0,30	1,22	1,14	34,78	57,76	4,79	-46,5413193	-23,7305837
L03984	76,00	6,00	55,00	37,00	300,00	162,00	1557,00	131,00	ORLANDO MORANDO	2086,00	3298	2324	974	0,29	2,64	1,77	14,38	74,64	6,28	-46,5424192	-23,7186662
L03985	94,00	5,00	34,00	25,00	421,00	161,00	1226,00	78,00	ORLANDO MORANDO	1789,00	2614	2044	570	0,28	1,90	1,40	23,53	68,53	4,36	-46,5345083	-23,7238608
L03986	118,00	2,00	16,00	15,00	588,00	205,00	1015,00	67,00	ORLANDO MORANDO	1703,00	2583	2026	557	0,12	0,94	0,88	34,53	59,60	3,93	-46,5377560	-23,7343024
L03987	164,00	32,00	34,00	14,00	961,00	298,00	1659,00	106,00	ORLANDO MORANDO	2806,00	4176	3268	908	1,14	1,21	0,50	34,25	59,12	3,78	-46,5378519	-23,7282051
L03988	84,00	2,00	22,00	13,00	709,00	178,00	958,00	67,00	ORLANDO MORANDO	1771,00	2732	2033	699	0,11	1,24	0,73	40,03	54,09	3,78	-46,5384489	-23,7370328
L03989	137,00	5,00	43,00	48,00	826,00	374,00	2226,00	103,00	ORLANDO MORANDO	3251,00	4680	3762	918	0,15	1,32	1,48	25,41	68,47	3,17	-46,5339255	-23,7156101
L03990	189,00	4,00	35,00	26,00	883,00	319,00	2049,00	78,00	ORLANDO MORANDO	3075,00	4842	3583	1259	0,13	1,14	0,85	28,72	66,63	2,54	-46,5272283	-23,7179138
L03991	11,00	2,00	7,00	5,00	43,00	23,00	172,00	9,00	ORLANDO MORANDO	238,00	363	272	91	0,84	2,94	2,10	18,07	72,27	3,78	-46,5300750	-23,7251281
L03992	62,00	8,00	37,00	37,00	147,00	128,00	996,00	80,00	ORLANDO MORANDO	1305,00	1888	1495	393	0,61	2,84	2,84	11,26	76,32	6,13	-46,5569610	-23,7083270
L03993	108,00	8,00	77,00	89,00	452,00	260,00	2223,00	177,00	ORLANDO MORANDO	3026,00	4673	3394	1279	0,26	2,54	2,94	14,94	73,46	5,85	-46,5479549	-23,7130220
L06770	124,00	11,00	111,00	83,00	287,00	261,00	2106,00	221,00	ORLANDO MORANDO	2819,00	4186	3204	982	0,39	3,94	2,94	10,18	74,71	7,84	-46,5525212	-23,6901319
L06771	221,00	7,00	99,00	55,00	654,00	455,00	2871,00	180,00	ORLANDO MORANDO	3866,00	6496	4542	1954	0,18	2,56	1,42	16,92	74,26	4,66	-46,5674510	-23,6934030
L06772	176,00	6,00	90,00	126,00	317,00	389,00	2050,00	250,00	ORLANDO MORANDO	2839,00	4554	3404	1150	0,21	3,17	4,44	11,17	72,21	8,81	-46,5618680	-23,6746313
L06773	188,00	6,00	72,00	59,00	458,00	359,00	2740,00	169,00	ORLANDO MORANDO	3504,00	5996	4051	1945	0,17	2,05	1,68	13,07	78,20	4,82	-46,5748460	-23,6838690
L06774	121,00	2,00	70,00	68,00	437,00	286,00	1675,00	101,00	ORLANDO MORANDO	2353,00	3931	2760	1171	0,08	2,97	2,89	18,57	71,19	4,29	-46,5832730	-23,7016620
L06775	265,00	2,00	118,00	49,00	742,00	570,00	2897,00	148,00	ORLANDO MORANDO	3956,00	6654	4791	1863	0,05	2,98	1,24	18,76	73,23	3,74	-46,5780242	-23,7026208
L06776	145,00	5,00	54,00	31,00	478,00	391,00	1614,00	74,00	ORLANDO MORANDO	2256,00	3776	2792	984	0,22	2,39	1,37	21,19	71,54	3,28	-46,5705760	-23,7003330
L06777	139,00	6,00	61,00	71,00	282,00	271,00	2140,00	214,00	ORLANDO MORANDO	2774,00	4871	3184	1687	0,22	2,20	2,56	10,17	77,14	7,71	-46,5578080	-23,6812590
L06778	89,00	5,00	52,00	38,00	200,00	244,00	1900,00	250,00	ORLANDO MORANDO	2445,00	4375	2778	1597	0,20	2,13	1,55	8,18	77,71	10,22	-46,5560028	-23,6894088
L06779	94,00	3,00	35,00	34,00	212,00	197,00	1135,00	66,00	ORLANDO MORANDO	1485,00	2231	1776	455	0,20	2,36	2,29	14,28	76,43	4,44	-46,5811459	-23,6991489
L06780	103,00	2,00	60,00	34,00	371,00	208,00	1595,00	93,00	ORLANDO MORANDO	2155,00	3391	2466	925	0,09	2,78	1,58	17,22	74,01	4,32	-46,5852412	-23,6994162
L06781	135,00	5,00	49,00	46,00	347,00	308,00	1758,00	101,00	ORLANDO MORANDO	2306,00	4248	2749	1499	0,22	2,12	1,99	15,05	76,24	4,38	-46,5702617	-23,6948544
L06782	90,00	5,00	56,00	66,00	192,00	215,00	1957,00	217,00	ORLANDO MORANDO	2493,00	4176	2798	1378	0,20	2,25	2,65	7,70	78,50	8,70	-46,5625426	-23,6854896
L06783	142,00	8,00	36,00	70,00	317,00	322,00	1750,00	121,00	ORLANDO MORANDO	2302,00	3711	2766	945	0,35	1,56	3,04	13,77	76,02	5,26	-46,5712670	-23,6858200
L06784	108,00	5,00	65,00	39,00	311,00	296,00	1775,00	139,00	ORLANDO MORANDO	2334,00	3782	2738	1044	0,21	2,78	1,67	13,32	76,05	5,96	-46,5801575	-23,6989963
L06785	106,00	5,00	35,00	34,00	293,00	240,00	1677,00	109,00	ORLANDO MORANDO	2153,00	3489	2499	990	0,23	1,63	1,58	13,61	77,89	5,06	-46,5772394	-23,6793819
L06786	174,00	9,00	85,00	109,00	416,00	377,00	2982,00	189,00	ORLANDO MORANDO	3790,00	5768	4341	1427	0,24	2,24	2,88	10,98	78,68	4,99	-46,5711486	-23,7069243
L06787	246,00	11,00	62,00	73,00	634,00	630,00	2903,00	281,00	ORLANDO MORANDO	3964,00	7098	4840	2258	0,28	1,56	1,84	15,99	73,23	7,09	-46,5857821	-23,6687471
L06788	127,00	3,00	33,00	47,00	171,00	272,00	1084,00	87,00	ORLANDO MORANDO	1425,00	2362	1824	538	0,21	2,32	3,30	12,00	76,07	6,11	-46,5966010	-23,6599440
L06789	133,00	4,00	66,00	61,00	363,00	317,00	1967,00	284,00	ORLANDO MORANDO	2745,00	4876	3195	1681	0,15	2,40	2,22	13,22	71,66	10,35	-46,5687518	-23,6525327
L06790	219,00	7,00	46,00	51,00	479,00	469,00	2058,00	169,00	ORLANDO MORANDO	2810,00	5256	3498	1758	0,25	1,64	1,81	17,05	73,24	6,01	-46,5800360	-23,6669640
L06791	257,00	14,00	96,00	108,00	652,00	539,00	2752,00	356,00	ORLANDO MORANDO	3978,00	6778	4774	2004	0,35	2,41	2,71	16,39	69,18	8,95	-46,5618751	-23,6641932
L06792	348,00	12,00	99,00	88,00	583,00	691,00	3803,00	281,00	ORLANDO MORANDO	4866,00	8857	5905	2952	0,25	2,03	1,81	11,98	78,15	5,77	-46,6048300	-23,6606410
L06793	239,00	5,00	113,00	108,00	524,00	504,00	2909,00	356,00	ORLANDO MORANDO	4015,00	7632	4758	2874	0,12	2,81	2,69	13,05	72,45	8,87	-46,5725179	-23,6552713
L06794	240,00	11,00	77,00	96,00	448,00	512,00	2460,00	237,00	ORLANDO MORANDO	3329,00	5420	4081	1339	0,33	2,31	2,88	13,46	73,90	7,12	-46,5925299	-23,6659899
L06795	42,00	0,00	12,00	15,00	54,00	83,00	363,00	23,00	ORLANDO MORANDO	467,00	793	592	201	0,00	2,57	3,21	11,56	77,73	4,93	-46,6097420	-23,6617586
L06796	99,00	1,00	37,00	44,00	251,00	239,00	875,00	77,00	ORLANDO MORANDO	1285,00	2156	1623	533	0,08	2,88	3,42	19,53	68,09	5,99	-46,5960661	-23,6699573
L06797	186,00	16,00	55,00	67,00	309,00	370,00	1962,00	162,00	ORLANDO MORANDO	2571,00	4078	3127	951	0,62	2,14	2,61	12,02	76,31	6,30	-46,5983816	-23,6565152
L06798	71,00	5,00	47,00	58,00	187,00	218,00	1079,00	163,00	ORLANDO MORANDO	1539,00	2554	1828	726	0,32	3,05	3,77	12,15	70,11	10,59	-46,5727839	-23,6615519
L06799	140,00	10,00	77,00	71,00	392,00	296,00	2102,00	278,00	ORLANDO MORANDO	2930,00	4988	3366	1622	0,34	2,63	2,42	13,38	71,74	9,49	-46,5709372	-23,6527605
L06800	239,00	7,00	56,00	43,00	363,00	526,00	2431,00	211,00	ORLANDO MORANDO	3111,00	5224	3876	1348	0,23	1,80	1,38	11,67	78,14	6,78	-46,6082220	-23,6667266
L06801	140,00	8,00	57,00	49,00	431,00	402,00	2049,00	259,00	ORLANDO MORANDO	2853,00	5176	3395	1781	0,28	2,00	1,72	15,11	71,82	9,08	-46,5644658	-23,6605513
L06802	121,00	6,00	81,00	69,00	242,00	284,00	1678,00	194,00	ORLANDO MORANDO	2270,00	3481	2675	806	0,26	3,57	3,04	10,66	73,92	8,55	-46,5678450	-23,6664150
L06803	104,00	5,00	56,00	84,00	231,00	208,00	1192,00	120,00	ORLANDO MORANDO	1688,00	2689	2000	689	0,30	3,32	4,98	13,68	70,62	7,11	-46,5720030	-23,6577680
L07082	177,00	9,00	119,00	118,00	591,00	441,00	2863,00	204,00	ORLANDO MORANDO	3904,00	5863	4522	1341	0,23	3,05	3,02	15,14	73,34	5,23	-46,5686640	-23,7226012
L07083	168,00	9,00	108,00	53,00	821,00	395,00	2545,00	180,00	ORLANDO MORANDO	3716,00	6107	4279	1828	0,24	2,91	1,43	22,09	68,49	4,84	-46,5671770	-23,7246305
L07084	186,00	4,00	68,00	18,00	1499,00	447,00	2385,00	131,00	ORLANDO MORANDO	4105,00	6239	4738	1501	0,10	1,66	0,44	36,52	58,10	3,19	-46,5728440	-23,7385800
L07085	174,00	6,00	55,00	24,00	1334,00	408,00	2106,00	129,00	ORLANDO MORANDO	3654,00	5378	4236	1142	0,16	1,51	0,66	36,51	57,64	3,53	-46,5763830	-23,7413500
L07086	162,00	7,00	152,00	28,00	990,00	304,00	1644,00	91,00	ORLANDO MORANDO	2912,00	4724	3378	1346	0,24	5,22	0,96	34,00	56,46	3,12	-46,5847430	-23,7228060
L07087	134,00	4,00	97,00	66,00	414,00	330,00	2015,00	152,00	ORLANDO MORANDO	2748,00	4216	3212	1004	0,15	3,53	2,40	15,07	73,33	5,53	-46,5731743	-23,7229215
L07088	170,00	4,00	71,00	24,00	1371,00	331,00	2052,00	113,00	ORLANDO MORANDO	3635,00	5522	4136	1386	0,11	1,95	0,66	37,72	56,45	3,11	-46,5719400	-23,7418360
L07089	200,00	2,00	69,00	42,00	1086,00	399,00	2009,00	122,00	ORLANDO MORANDO	3330,00	5267	3929	1338	0,06	2,07	1,26	32,61	60,33	3,66	-46,5942676	-23,7150856
L07090	117,00	5,00	94,00	80,00	369,00	350,00	2235,00	120,00	ORLANDO MORANDO	2903,00	4468	3370	1098	0,17	3,24	2,76	12,71	76,99	4,13	-46,5837930	-23,7111350
L07091	200,00	3,00	437,00	23,00	1246,00	403,00	1618,00	75,00	ORLANDO MORANDO	3402,00	5333	4005	1328	0,09	12,85	0,68	36,63	47,56	2,20	-46,5887880	-23,7158080
L07092	152,00	6,00	121,00	61,00	564,00	393,00	2177,00	172,00	ORLANDO MORANDO	3101,00	4678	3646	1032	0,19	3,90	1,97	18,19	70,20	5,55	-46,5714550	-23,7164980
L07093	143,00	1,00	62,00	38,00	836,00	348,00	1814,00	141,00	ORLANDO MORANDO	2892,00	4389	3383	1006	0,03	2,14	1,31	28,91	62,72	4,88	-46,5714110	-23,7317630
L07094	161,00	9,00	106,00	36,00	814,00	379,00	1999,00	97,00	ORLANDO MORANDO	3061,00	4908	3601	1307	0,29	3,46	1,18	26,59	65,31	3,17	-46,5773288	-23,7251947
L07095	148,00	2,00	137,00	46,00	608,00	448,00	2695,00	209,00	ORLANDO MORANDO	3697,00	6253	4293	1960	0,05	3,71	1,24	16,45	72,90	5,65	-46,5681980	-23,7215630
L07096	101,00	1,00	61,00	30,00	473,00	252,00	1518,00	121,00	ORLANDO MORANDO	2204,00	3603	2557	1046	0,05	2,77	1,36	21,46	68,87	5,49	-46,5611610	-23,7212380
L07097	37,00	1,00	5,00	2,00	178,00	53,00	366,00	22,00	ORLANDO MORANDO	574,00	895	664	231	0,17	0,87	0,35	31,01	63,76	3,83	-46,5762215	-23,7400399
L07098	130,00	1,00	235,00	11,00	661,00	190,00	733,00	38,00	ORLANDO MORANDO	1679,00	2567	1999	568	0,06	14,00	0,66	39,37	43,66	2,26	-46,5883300	-23,7165890
L07099	116,00	2,00	45,00	20,00	320,00	156,00	1224,00	82,00	ORLANDO MORANDO	1693,00	2856	1965	891	0,12	2,66	1,18	18,90	72,30	4,84	-46,5857789	-23,7063229
L07100	197,00	5,00	60,00	42,00	1192,00	406,00	2200,00	142,00	ORLANDO MORANDO	3641,00	5557	4244	1313	0,14	1,65	1,15	32,74	60,42	3,90	-46,5757068	-23,7415408
L07101	67,00	0,00	34,00	38,00	299,00	145,00	850,00	63,00	ORLANDO MORANDO	1284,00	1938	1496	442	0,00	2,65	2,96	23,29	66,20	4,91	-46,5653120	-23,7243480
L07102	100,00	1,00	68,00	17,00	479,00	168,00	800,00	55,00	ORLANDO MORANDO	1420,00	2151	1688	463	0,07	4,79	1,20	33,73	56,34	3,87	-46,5823690	-23,7207720
L07103	42,00	1,00	11,00	7,00	217,00	85,00	338,00	26,00	ORLANDO MORANDO	600,00	953	727	226	0,17	1,83	1,17	36,17	56,33	4,33	-46,5948529	-23,7182953
L07104	28,00	0,00	6,00	2,00	114,00	30,00	210,00	6,00	ORLANDO MORANDO	338,00	507	396	111	0,00	1,78	0,59	33,73	62,13	1,78	-46,5764950	-23,7301489
L07105	77,00	3,00	82,00	24,00	285,00	142,00	728,00	63,00	ORLANDO MORANDO	1185,00	1779	1404	375	0,25	6,92	2,03	24,05	61,43	5,32	-46,5815984	-23,7168713
L07106	88,00	1,00	123,00	26,00	348,00	247,00	1627,00	92,00	ORLANDO MORANDO	2217,00	3695	2552	1143	0,05	5,55	1,17	15,70	73,39	4,15	-46,5763029	-23,7195979
L07107	155,00	3,00	60,00	23,00	897,00	274,00	1356,00	98,00	ORLANDO MORANDO	2437,00	3729	2866	863	0,12	2,46	0,94	36,81	55,64	4,02	-46,5951889	-23,7196223
L07108	12,00	0,00	6,00	4,00	39,00	15,00	126,00	13,00	ORLANDO MORANDO	188,00	297	215	82	0,00	3,19	2,13	20,74	67,02	6,91	-46,5826280	-23,7210370
L10343	225,00	7,00	118,00	25,00	952,00	429,00	1964,00	311,00	ORLANDO MORANDO	3377,00	5636	4031	1605	0,21	3,49	0,74	28,19	58,16	9,21	-46,5304577	-23,7819645
L10344	135,00	9,00	53,00	41,00	553,00	320,00	1900,00	174,00	ORLANDO MORANDO	2730,00	4043	3185	858	0,33	1,94	1,50	20,26	69,60	6,37	-46,5492480	-23,7482930
L10345	124,00	2,00	81,00	14,00	766,00	285,00	1541,00	79,00	ORLANDO MORANDO	2483,00	3723	2892	831	0,08	3,26	0,56	30,85	62,06	3,18	-46,5854170	-23,7343969
L10346	136,00	9,00	90,00	68,00	433,00	367,00	2390,00	204,00	ORLANDO MORANDO	3194,00	5146	3697	1449	0,28	2,82	2,13	13,56	74,83	6,39	-46,5543780	-23,7293500
L10347	198,00	1,00	97,00	16,00	651,00	360,00	2008,00	118,00	ORLANDO MORANDO	2891,00	4561	3449	1112	0,03	3,36	0,55	22,52	69,46	4,08	-46,5970620	-23,7702100
L10348	114,00	1,00	49,00	12,00	681,00	274,00	1790,00	102,00	ORLANDO MORANDO	2635,00	3794	3023	771	0,04	1,86	0,46	25,84	67,93	3,87	-46,5766199	-23,7553818
L10349	144,00	3,00	83,00	26,00	930,00	331,00	2356,00	91,00	ORLANDO MORANDO	3489,00	5191	3964	1227	0,09	2,38	0,75	26,66	67,53	2,61	-46,5993840	-23,7504530
L10350	145,00	0,00	54,00	30,00	683,00	323,00	2067,00	87,00	ORLANDO MORANDO	2921,00	4526	3389	1137	0,00	1,85	1,03	23,38	70,76	2,98	-46,6055310	-23,7555600
L10351	137,00	2,00	47,00	9,00	1511,00	231,00	420,00	138,00	LUIZ MARINHO	2127,00	3580	2495	1085	0,09	2,21	0,42	71,04	19,75	6,49	-46,5603201	-23,8287735
L10352	231,00	6,00	227,00	10,00	1540,00	533,00	2907,00	110,00	ORLANDO MORANDO	4800,00	7276	5564	1712	0,12	4,73	0,21	32,08	60,56	2,29	-46,6073310	-23,7448240
L10353	96,00	6,00	24,00	12,00	439,00	194,00	1262,00	92,00	ORLANDO MORANDO	1835,00	2860	2125	735	0,33	1,31	0,65	23,92	68,77	5,01	-46,5661672	-23,7428574
L10354	141,00	4,00	94,00	13,00	863,00	263,00	1637,00	79,00	ORLANDO MORANDO	2690,00	4187	3094	1093	0,15	3,49	0,48	32,08	60,86	2,94	-46,5958220	-23,7411250
L10355	190,00	1,00	54,00	29,00	714,00	377,00	1704,00	346,00	ORLANDO MORANDO	2848,00	4525	3415	1110	0,04	1,90	1,02	25,07	59,83	12,15	-46,5390864	-23,7936901
L10356	137,00	1,00	46,00	67,00	655,00	231,00	975,00	76,00	ORLANDO MORANDO	1820,00	2958	2188	770	0,05	2,53	3,68	35,99	53,57	4,18	-46,5366180	-23,7626750
L10357	88,00	1,00	81,00	13,00	631,00	291,00	1553,00	68,00	ORLANDO MORANDO	2347,00	3475	2726	749	0,04	3,45	0,55	26,89	66,17	2,90	-46,5900996	-23,7353646
L10358	94,00	5,00	34,00	37,00	294,00	203,00	1546,00	142,00	ORLANDO MORANDO	2058,00	3401	2355	1046	0,24	1,65	1,80	14,29	75,12	6,90	-46,5571470	-23,7345289
L10359	128,00	3,00	50,00	45,00	443,00	275,00	2063,00	217,00	ORLANDO MORANDO	2821,00	4567	3224	1343	0,11	1,77	1,60	15,70	73,13	7,69	-46,5557359	-23,7401940
L10360	375,00	8,00	247,00	30,00	2291,00	829,00	3990,00	160,00	ORLANDO MORANDO	6726,00	10591	7930	2661	0,12	3,67	0,45	34,06	59,32	2,38	-46,6120933	-23,7447783
L10361	135,00	1,00	52,00	29,00	665,00	302,00	1776,00	65,00	ORLANDO MORANDO	2588,00	3935	3025	910	0,04	2,01	1,12	25,70	68,62	2,51	-46,6036593	-23,7549526
L10362	48,00	2,00	19,00	19,00	128,00	125,00	770,00	72,00	ORLANDO MORANDO	1010,00	1566	1183	383	0,20	1,88	1,88	12,67	76,24	7,13	-46,5559354	-23,7398712
L10363	60,00	3,00	12,00	9,00	193,00	103,00	457,00	112,00	ORLANDO MORANDO	786,00	1250	949	301	0,38	1,53	1,15	24,55	58,14	14,25	-46,5407753	-23,7859834
L10364	188,00	1,00	45,00	19,00	910,00	365,00	2124,00	125,00	ORLANDO MORANDO	3224,00	4933	3777	1156	0,03	1,40	0,59	28,23	65,88	3,88	-46,5776197	-23,7559880
L10365	52,00	0,00	14,00	22,00	219,00	133,00	919,00	67,00	ORLANDO MORANDO	1241,00	1760	1426	334	0,00	1,13	1,77	17,65	74,05	5,40	-46,5992172	-23,7602662
L10366	114,00	0,00	29,00	5,00	1654,00	206,00	218,00	64,00	LUIZ MARINHO	1970,00	3175	2290	885	0,00	1,47	0,25	83,96	11,07	3,25	-46,5987662	-23,8439439
L10367	65,00	4,00	47,00	6,00	361,00	129,00	707,00	29,00	ORLANDO MORANDO	1154,00	1701	1348	353	0,35	4,07	0,52	31,28	61,27	2,51	-46,5961019	-23,7447479
L10368	244,00	4,00	139,00	53,00	1771,00	648,00	2833,00	128,00	ORLANDO MORANDO	4928,00	7686	5820	1866	0,08	2,82	1,08	35,94	57,49	2,60	-46,5788159	-23,7338980
L10369	116,00	8,00	55,00	48,00	381,00	233,00	1545,00	161,00	ORLANDO MORANDO	2198,00	3255	2547	708	0,36	2,50	2,18	17,33	70,29	7,32	-46,5492121	-23,7487340
L10370	113,00	1,00	44,00	16,00	390,00	234,00	1167,00	74,00	ORLANDO MORANDO	1692,00	2563	2039	524	0,06	2,60	0,95	23,05	68,97	4,37	-46,6108760	-23,7710540
L10371	95,00	1,00	22,00	17,00	245,00	163,00	648,00	195,00	ORLANDO MORANDO	1128,00	1702	1386	316	0,09	1,95	1,51	21,72	57,45	17,29	-46,5473716	-23,7962030
