cod_local	BALTASAR ROSA	Branco	CAPITÃO ATALIBA	JULIO LEAL	MARI TAVELLI	Nulo	PROFESSOR BALDE	REINALDO MONTEIRO	RUBENS FURLAN	vencedor	v_valid	e_apto	e_comp	e_abst	BALTASAR ROSA_%	CAPITÃO ATALIBA_%	JULIO LEAL_%	MARI TAVELLI_%	PROFESSOR BALDE_%	REINALDO MONTEIRO_%	RUBENS FURLAN_%	longitude	latitude
L04587	35	93	41	40	154	152	30	61	1360	RUBENS FURLAN	1721	2568	1966	602	2,03	2,38	2,32	8,95	1,74	3,54	79,02	-46,8651689	-23,5107650
L04588	50	92	21	22	84	132	27	17	1259	RUBENS FURLAN	1480	2191	1704	487	3,38	1,42	1,49	5,68	1,82	1,15	85,07	-46,8897810	-23,5123429
L04589	46	84	12	70	73	124	12	30	1263	RUBENS FURLAN	1506	2146	1714	432	3,05	0,80	4,65	4,85	0,80	1,99	83,86	-46,8994533	-23,5087516
L09508	37	321	202	64	223	378	53	22	1661	RUBENS FURLAN	2262	4898	2961	1937	1,64	8,93	2,83	9,86	2,34	0,97	73,43	-46,8322088	-23,4876695
L09534	126	263	35	61	172	487	47	51	4566	RUBENS FURLAN	5058	7554	5808	1746	2,49	0,69	1,21	3,40	0,93	1,01	90,27	-46,8138019	-23,4882616
L09536	120	290	82	128	376	391	48	103	3077	RUBENS FURLAN	3934	6571	4615	1956	3,05	2,08	3,25	9,56	1,22	2,62	78,22	-46,8702240	-23,5025885
L09538	74	198	46	60	294	364	37	55	3490	RUBENS FURLAN	4056	6144	4618	1526	1,82	1,13	1,48	7,25	0,91	1,36	86,05	-46,8896753	-23,4912970
L09539	51	194	55	50	285	306	37	35	2866	RUBENS FURLAN	3379	5190	3879	1311	1,51	1,63	1,48	8,43	1,09	1,04	84,82	-46,8894912	-23,4885119
L09540	43	146	24	35	123	195	28	44	2268	RUBENS FURLAN	2565	3883	2906	977	1,68	0,94	1,36	4,80	1,09	1,72	88,42	-46,8893294	-23,4984267
L09541	30	70	13	19	74	79	9	18	849	RUBENS FURLAN	1012	1421	1161	260	2,96	1,28	1,88	7,31	0,89	1,78	83,89	-46,8841570	-23,4826182
L09543	113	256	31	42	250	411	56	26	4275	RUBENS FURLAN	4793	7254	5460	1794	2,36	0,65	0,88	5,22	1,17	0,54	89,19	-46,8118620	-23,5051680
L09544	64	174	47	69	237	282	36	73	2514	RUBENS FURLAN	3040	4589	3496	1093	2,11	1,55	2,27	7,80	1,18	2,40	82,70	-46,8837665	-23,4929036
L09545	60	135	22	22	112	175	38	9	1892	RUBENS FURLAN	2155	3268	2465	803	2,78	1,02	1,02	5,20	1,76	0,42	87,80	-46,8137317	-23,4977040
L09546	46	167	33	50	169	244	27	75	2806	RUBENS FURLAN	3206	4586	3617	969	1,43	1,03	1,56	5,27	0,84	2,34	87,52	-46,8901204	-23,4958624
L09547	28	89	20	24	138	133	30	20	1270	RUBENS FURLAN	1530	2270	1752	518	1,83	1,31	1,57	9,02	1,96	1,31	83,01	-46,8841683	-23,4961515
L09548	81	220	60	49	311	307	32	66	3170	RUBENS FURLAN	3769	5539	4296	1243	2,15	1,59	1,30	8,25	0,85	1,75	84,11	-46,8867939	-23,4863900
L09549	57	149	18	30	111	239	19	21	2231	RUBENS FURLAN	2487	3839	2875	964	2,29	0,72	1,21	4,46	0,76	0,84	89,71	-46,8090471	-23,5088727
L09550	70	169	24	38	132	317	43	37	3046	RUBENS FURLAN	3390	5261	3876	1385	2,06	0,71	1,12	3,89	1,27	1,09	89,85	-46,8101209	-23,4904230
L09551	77	130	41	68	210	212	34	62	1948	RUBENS FURLAN	2440	3984	2782	1202	3,16	1,68	2,79	8,61	1,39	2,54	79,84	-46,8738367	-23,5040091
L09552	144	366	40	54	192	561	83	47	5205	RUBENS FURLAN	5765	8715	6692	2023	2,50	0,69	0,94	3,33	1,44	0,82	90,29	-46,8051400	-23,4870205
L09553	55	98	34	39	125	148	11	26	1477	RUBENS FURLAN	1767	2631	2013	618	3,11	1,92	2,21	7,07	0,62	1,47	83,59	-46,8871729	-23,4899472
L09555	41	142	23	49	133	205	16	31	2096	RUBENS FURLAN	2389	3704	2736	968	1,72	0,96	2,05	5,57	0,67	1,30	87,74	-46,8803990	-23,4813360
L09556	14	64	8	27	80	84	13	21	877	RUBENS FURLAN	1040	1575	1188	387	1,35	0,77	2,60	7,69	1,25	2,02	84,33	-46,8793106	-23,4992419
L09557	6	27	6	11	26	30	9	9	436	RUBENS FURLAN	503	703	560	143	1,19	1,19	2,19	5,17	1,79	1,79	86,68	-46,8873569	-23,4998429
L09558	9	32	3	3	30	39	4	10	533	RUBENS FURLAN	592	832	663	169	1,52	0,51	0,51	5,07	0,68	1,69	90,03	-46,8991876	-23,5033102
L09559	80	180	50	59	339	287	68	73	2665	RUBENS FURLAN	3334	5080	3801	1279	2,40	1,50	1,77	10,17	2,04	2,19	79,93	-46,8726197	-23,4995962
L09560	48	147	39	59	212	233	21	54	2417	RUBENS FURLAN	2850	4499	3230	1269	1,68	1,37	2,07	7,44	0,74	1,89	84,81	-46,8717028	-23,4932853
L09562	42	134	36	40	157	192	43	22	1882	RUBENS FURLAN	2222	3433	2548	885	1,89	1,62	1,80	7,07	1,94	0,99	84,70	-46,8766390	-23,4929052
L09563	11	36	13	20	64	77	7	11	614	RUBENS FURLAN	740	1150	853	297	1,49	1,76	2,70	8,65	0,95	1,49	82,97	-46,8673404	-23,5012777
L09564	11	148	79	25	188	179	35	6	996	RUBENS FURLAN	1340	2414	1667	747	0,82	5,90	1,87	14,03	2,61	0,45	74,33	-46,9553553	-23,5037845
L09567	60	513	250	91	471	702	125	25	3092	RUBENS FURLAN	4114	8283	5329	2954	1,46	6,08	2,21	11,45	3,04	0,61	75,16	-46,8606512	-23,4859635
L09568	18	63	16	14	107	64	13	11	790	RUBENS FURLAN	969	1502	1096	406	1,86	1,65	1,44	11,04	1,34	1,14	81,53	-46,8884026	-23,4878828
