cod_local	Branco	DJALMA ALMEIDA	DOUTOR NAKANO	JONES DONIZETTE	JORGE COSTA	KÁTIA TRINDADE	Nulo	PROF ERLON CHAVES	PROF PAULINHO	PROFESSOR ELIAS	PROFESSOR JONAS FEIJÓ	vencedor	v_valid	e_apto	e_comp	e_abst	DJALMA ALMEIDA_%	DOUTOR NAKANO_%	JONES DONIZETTE_%	JORGE COSTA_%	KÁTIA TRINDADE_%	PROF ERLON CHAVES_%	PROF PAULINHO_%	PROFESSOR ELIAS_%	PROFESSOR JONAS FEIJÓ_%	longitude	latitude
L04655	27,00	2,00	72,00	29,00	86,00	3,00	33,00	2,00	18,00	5,00	5,00	JORGE COSTA	222,00	341	282	59	0,90	32,43	13,06	38,74	1,35	0,90	8,11	2,25	2,25	-46,9116570	-23,7852598
L04656	77,00	2,00	638,00	156,00	444,00	13,00	111,00	18,00	49,00	12,00	33,00	DOUTOR NAKANO	1365,00	2044	1553	491	0,15	46,74	11,43	32,53	0,95	1,32	3,59	0,88	2,42	-46,7983579	-23,7194099
L04657	63,00	3,00	696,00	81,00	488,00	11,00	124,00	14,00	31,00	22,00	12,00	DOUTOR NAKANO	1358,00	1931	1545	386	0,22	51,25	5,96	35,94	0,81	1,03	2,28	1,62	0,88	-46,8056156	-23,7065810
L04658	81,00	6,00	779,00	77,00	172,00	16,00	124,00	3,00	141,00	44,00	8,00	DOUTOR NAKANO	1246,00	1863	1451	412	0,48	62,52	6,18	13,80	1,28	0,24	11,32	3,53	0,64	-46,8010443	-23,7472418
L04663	46,00	2,00	333,00	60,00	234,00	29,00	67,00	6,00	15,00	18,00	4,00	DOUTOR NAKANO	701,00	1030	814	216	0,29	47,50	8,56	33,38	4,14	0,86	2,14	2,57	0,57	-46,8156841	-23,6895390
L04664	165,00	14,00	567,00	389,00	553,00	11,00	178,00	23,00	160,00	19,00	16,00	DOUTOR NAKANO	1752,00	2864	2095	769	0,80	32,36	22,20	31,56	0,63	1,31	9,13	1,08	0,91	-46,9023861	-23,7481482
L04665	188,00	4,00	900,00	102,00	603,00	26,00	247,00	7,00	69,00	54,00	182,00	DOUTOR NAKANO	1947,00	3104	2382	722	0,21	46,22	5,24	30,97	1,34	0,36	3,54	2,77	9,35	-46,7933290	-23,7566620
L04667	55,00	12,00	467,00	152,00	220,00	37,00	92,00	28,00	21,00	75,00	27,00	DOUTOR NAKANO	1039,00	1501	1186	315	1,15	44,95	14,63	21,17	3,56	2,69	2,02	7,22	2,60	-46,8549062	-23,7169139
L04675	67,00	4,00	648,00	162,00	291,00	7,00	84,00	15,00	31,00	24,00	22,00	DOUTOR NAKANO	1204,00	1770	1355	415	0,33	53,82	13,46	24,17	0,58	1,25	2,57	1,99	1,83	-46,8215204	-23,7194938
L04676	129,00	16,00	1045,00	319,00	556,00	52,00	241,00	20,00	57,00	57,00	24,00	DOUTOR NAKANO	2146,00	3665	2516	1149	0,75	48,70	14,86	25,91	2,42	0,93	2,66	2,66	1,12	-46,8405838	-23,7160957
L04678	89,00	9,00	317,00	307,00	193,00	7,00	94,00	13,00	54,00	19,00	6,00	DOUTOR NAKANO	925,00	1458	1108	350	0,97	34,27	33,19	20,86	0,76	1,41	5,84	2,05	0,65	-46,8973564	-23,7201815
L04679	196,00	5,00	1136,00	189,00	864,00	29,00	302,00	33,00	22,00	95,00	10,00	DOUTOR NAKANO	2383,00	3974	2881	1093	0,21	47,67	7,93	36,26	1,22	1,38	0,92	3,99	0,42	-46,8014960	-23,6905480
L04680	113,00	11,00	1013,00	63,00	291,00	23,00	170,00	1,00	134,00	58,00	12,00	DOUTOR NAKANO	1606,00	2517	1889	628	0,68	63,08	3,92	18,12	1,43	0,06	8,34	3,61	0,75	-46,7983561	-23,7470452
L04682	208,00	18,00	1397,00	598,00	600,00	69,00	301,00	61,00	186,00	200,00	32,00	DOUTOR NAKANO	3161,00	4878	3670	1208	0,57	44,19	18,92	18,98	2,18	1,93	5,88	6,33	1,01	-46,8601763	-23,7043763
L04685	73,00	11,00	580,00	240,00	228,00	34,00	101,00	27,00	95,00	54,00	19,00	DOUTOR NAKANO	1288,00	1870	1462	408	0,85	45,03	18,63	17,70	2,64	2,10	7,38	4,19	1,48	-46,8566591	-23,7088301
