cod_local	ARQUITETO DAVID	Branco	DENISE VENTRICI	DR AIRTON	DR RICARDO YOSHIO	FILIPPI	GESIEL DUARTE	JHONNY RICH	MARCOS MICHELS	Nulo	PROFESSOR IVANCI	RAFAELA BOANI	REVELINO ALMEIDA - PRETINHO	RONALDO LACERDA	TAKA YAMAUCHI	vencedor	v_valid	e_apto	e_comp	e_abst	ARQUITETO DAVID_%	DENISE VENTRICI_%	DR AIRTON_%	DR RICARDO YOSHIO_%	FILIPPI_%	GESIEL DUARTE_%	JHONNY RICH_%	MARCOS MICHELS_%	PROFESSOR IVANCI_%	RAFAELA BOANI_%	REVELINO ALMEIDA - PRETINHO_%	RONALDO LACERDA_%	TAKA YAMAUCHI_%	longitude	latitude
L05118	21,00	300,00	29,00	11,00	455,00	974,00	109,00	40,00	84,00	416,00	6,00	73,00	408,00	70,00	556,00	FILIPPI	2836,00	5174	3552	1622	0,74	1,02	0,39	16,04	34,34	3,84	1,41	2,96	0,21	2,57	14,39	2,47	19,61	-46,6320310	-23,6859560
L05119	23,00	205,00	48,00	11,00	422,00	908,00	90,00	31,00	84,00	353,00	9,00	55,00	208,00	38,00	652,00	FILIPPI	2579,00	4497	3137	1360	0,89	1,86	0,43	16,36	35,21	3,49	1,20	3,26	0,35	2,13	8,07	1,47	25,28	-46,6272972	-23,6928317
L05120	18,00	187,00	24,00	6,00	144,00	752,00	70,00	20,00	36,00	233,00	4,00	10,00	155,00	29,00	218,00	FILIPPI	1486,00	2649	1906	743	1,21	1,62	0,40	9,69	50,61	4,71	1,35	2,42	0,27	0,67	10,43	1,95	14,67	-46,6356000	-23,6901862
L05121	14,00	270,00	63,00	5,00	538,00	1046,00	117,00	39,00	100,00	385,00	12,00	60,00	298,00	62,00	786,00	FILIPPI	3140,00	5504	3795	1709	0,45	2,01	0,16	17,13	33,31	3,73	1,24	3,18	0,38	1,91	9,49	1,97	25,03	-46,6250990	-23,6839920
L05122	5,00	126,00	32,00	1,00	300,00	858,00	37,00	15,00	51,00	208,00	5,00	13,00	161,00	123,00	472,00	FILIPPI	2073,00	3396	2407	989	0,24	1,54	0,05	14,47	41,39	1,78	0,72	2,46	0,24	0,63	7,77	5,93	22,77	-46,6126040	-23,6876440
L05123	14,00	264,00	40,00	6,00	433,00	1103,00	109,00	40,00	75,00	405,00	6,00	39,00	364,00	51,00	666,00	FILIPPI	2946,00	4938	3615	1323	0,48	1,36	0,20	14,70	37,44	3,70	1,36	2,55	0,20	1,32	12,36	1,73	22,61	-46,6304585	-23,6900317
L05124	37,00	238,00	40,00	16,00	454,00	1463,00	76,00	16,00	91,00	401,00	4,00	38,00	323,00	106,00	427,00	FILIPPI	3091,00	4848	3730	1118	1,20	1,29	0,52	14,69	47,33	2,46	0,52	2,94	0,13	1,23	10,45	3,43	13,81	-46,6190433	-23,7018118
L05125	9,00	47,00	9,00	3,00	103,00	243,00	23,00	11,00	24,00	98,00	4,00	15,00	52,00	16,00	187,00	FILIPPI	699,00	1065	844	221	1,29	1,29	0,43	14,74	34,76	3,29	1,57	3,43	0,57	2,15	7,44	2,29	26,75	-46,6158395	-23,6871793
L05126	4,00	27,00	8,00	2,00	41,00	163,00	12,00	0,00	13,00	59,00	1,00	11,00	43,00	9,00	76,00	FILIPPI	383,00	634	469	165	1,04	2,09	0,52	10,70	42,56	3,13	0,00	3,39	0,26	2,87	11,23	2,35	19,84	-46,6259919	-23,6964780
L05127	6,00	29,00	2,00	0,00	35,00	147,00	24,00	3,00	10,00	59,00	2,00	9,00	30,00	8,00	91,00	FILIPPI	367,00	613	455	158	1,63	0,54	0,00	9,54	40,05	6,54	0,82	2,72	0,54	2,45	8,17	2,18	24,80	-46,6314248	-23,6890123
L05128	17,00	186,00	58,00	6,00	289,00	821,00	76,00	8,00	79,00	286,00	3,00	40,00	209,00	47,00	590,00	FILIPPI	2243,00	3820	2715	1105	0,76	2,59	0,27	12,88	36,60	3,39	0,36	3,52	0,13	1,78	9,32	2,10	26,30	-46,6256268	-23,6929582
L05130	1,00	31,00	6,00	0,00	54,00	174,00	24,00	2,00	16,00	54,00	1,00	12,00	51,00	25,00	89,00	FILIPPI	455,00	747	540	207	0,22	1,32	0,00	11,87	38,24	5,27	0,44	3,52	0,22	2,64	11,21	5,49	19,56	-46,6214198	-23,6791120
L05131	8,00	166,00	30,00	1,00	309,00	884,00	67,00	22,00	100,00	270,00	5,00	38,00	190,00	46,00	593,00	FILIPPI	2293,00	3850	2729	1121	0,35	1,31	0,04	13,48	38,55	2,92	0,96	4,36	0,22	1,66	8,29	2,01	25,86	-46,6203340	-23,6858882
L07775	6,00	161,00	25,00	6,00	237,00	871,00	71,00	23,00	35,00	266,00	7,00	30,00	162,00	95,00	313,00	FILIPPI	1881,00	3093	2308	785	0,32	1,33	0,32	12,60	46,31	3,77	1,22	1,86	0,37	1,59	8,61	5,05	16,64	-46,6125440	-23,6717759
L07776	5,00	72,00	6,00	3,00	110,00	360,00	26,00	12,00	28,00	92,00	0,00	5,00	83,00	38,00	156,00	FILIPPI	832,00	1490	996	494	0,60	0,72	0,36	13,22	43,27	3,12	1,44	3,37	0,00	0,60	9,98	4,57	18,75	-46,6200986	-23,6703512
L07777	3,00	50,00	5,00	2,00	49,00	215,00	9,00	3,00	14,00	41,00	2,00	7,00	53,00	35,00	59,00	FILIPPI	456,00	814	547	267	0,66	1,10	0,44	10,75	47,15	1,97	0,66	3,07	0,44	1,54	11,62	7,68	12,94	-46,5962418	-23,6976962
L07778	9,00	266,00	27,00	8,00	469,00	1407,00	78,00	20,00	100,00	395,00	5,00	24,00	267,00	176,00	532,00	FILIPPI	3122,00	5078	3783	1295	0,29	0,86	0,26	15,02	45,07	2,50	0,64	3,20	0,16	0,77	8,55	5,64	17,04	-46,6244353	-23,6727136
L07779	33,00	142,00	8,00	2,00	365,00	998,00	32,00	11,00	60,00	248,00	2,00	14,00	270,00	165,00	267,00	FILIPPI	2227,00	3619	2617	1002	1,48	0,36	0,09	16,39	44,81	1,44	0,49	2,69	0,09	0,63	12,12	7,41	11,99	-46,5905133	-23,6995041
L07780	4,00	153,00	15,00	4,00	235,00	829,00	57,00	14,00	29,00	255,00	3,00	6,00	170,00	93,00	299,00	FILIPPI	1758,00	2827	2166	661	0,23	0,85	0,23	13,37	47,16	3,24	0,80	1,65	0,17	0,34	9,67	5,29	17,01	-46,6221334	-23,6685547
L07781	3,00	119,00	12,00	0,00	139,00	1007,00	54,00	16,00	95,00	198,00	4,00	9,00	119,00	67,00	293,00	FILIPPI	1818,00	2838	2135	703	0,17	0,66	0,00	7,65	55,39	2,97	0,88	5,23	0,22	0,50	6,55	3,69	16,12	-46,6007849	-23,6773329
L07782	43,00	187,00	8,00	1,00	239,00	993,00	32,00	7,00	50,00	238,00	3,00	17,00	203,00	139,00	279,00	FILIPPI	2014,00	3223	2439	784	2,14	0,40	0,05	11,87	49,30	1,59	0,35	2,48	0,15	0,84	10,08	6,90	13,85	-46,5944736	-23,6966143
L07783	12,00	233,00	17,00	2,00	296,00	1575,00	71,00	26,00	67,00	351,00	5,00	29,00	273,00	293,00	531,00	FILIPPI	3197,00	5017	3781	1236	0,38	0,53	0,06	9,26	49,26	2,22	0,81	2,10	0,16	0,91	8,54	9,16	16,61	-46,5976405	-23,6955433
L07784	5,00	179,00	24,00	2,00	164,00	1472,00	54,00	33,00	139,00	244,00	3,00	12,00	214,00	122,00	482,00	FILIPPI	2726,00	4285	3149	1136	0,18	0,88	0,07	6,02	54,00	1,98	1,21	5,10	0,11	0,44	7,85	4,48	17,68	-46,6031939	-23,6766739
L07785	9,00	133,00	8,00	4,00	207,00	1132,00	67,00	6,00	44,00	228,00	7,00	9,00	170,00	232,00	273,00	FILIPPI	2168,00	3276	2529	747	0,42	0,37	0,18	9,55	52,21	3,09	0,28	2,03	0,32	0,42	7,84	10,70	12,59	-46,6014650	-23,6900150
L07786	12,00	135,00	14,00	3,00	242,00	1207,00	65,00	11,00	45,00	243,00	6,00	9,00	161,00	213,00	408,00	FILIPPI	2396,00	3720	2774	946	0,50	0,58	0,13	10,10	50,38	2,71	0,46	1,88	0,25	0,38	6,72	8,89	17,03	-46,5994872	-23,6951193
L07787	16,00	259,00	38,00	4,00	351,00	1155,00	91,00	20,00	73,00	363,00	5,00	25,00	229,00	85,00	352,00	FILIPPI	2444,00	4206	3066	1140	0,65	1,55	0,16	14,36	47,26	3,72	0,82	2,99	0,20	1,02	9,37	3,48	14,40	-46,6117380	-23,6688580
L07788	10,00	176,00	25,00	9,00	300,00	1159,00	39,00	13,00	55,00	275,00	4,00	18,00	215,00	181,00	362,00	FILIPPI	2390,00	3955	2841	1114	0,42	1,05	0,38	12,55	48,49	1,63	0,54	2,30	0,17	0,75	9,00	7,57	15,15	-46,5930181	-23,6868456
L07789	13,00	228,00	14,00	2,00	314,00	1425,00	58,00	14,00	86,00	296,00	6,00	24,00	320,00	165,00	338,00	FILIPPI	2779,00	4309	3303	1006	0,47	0,50	0,07	11,30	51,28	2,09	0,50	3,09	0,22	0,86	11,51	5,94	12,16	-46,5911538	-23,6923926
L07790	10,00	298,00	31,00	11,00	408,00	1539,00	48,00	25,00	82,00	445,00	9,00	33,00	334,00	306,00	465,00	FILIPPI	3301,00	5664	4044	1620	0,30	0,94	0,33	12,36	46,62	1,45	0,76	2,48	0,27	1,00	10,12	9,27	14,09	-46,5873500	-23,6866405
L07791	12,00	79,00	22,00	2,00	146,00	574,00	25,00	4,00	30,00	166,00	2,00	14,00	124,00	41,00	187,00	FILIPPI	1183,00	1916	1428	488	1,01	1,86	0,17	12,34	48,52	2,11	0,34	2,54	0,17	1,18	10,48	3,47	15,81	-46,6128260	-23,6748169
L07792	4,00	97,00	3,00	2,00	180,00	550,00	29,00	8,00	30,00	138,00	0,00	2,00	96,00	335,00	129,00	FILIPPI	1368,00	2043	1603	440	0,29	0,22	0,15	13,16	40,20	2,12	0,58	2,19	0,00	0,15	7,02	24,49	9,43	-46,5968220	-23,7088310
L07793	8,00	110,00	40,00	7,00	163,00	782,00	49,00	11,00	45,00	216,00	2,00	18,00	213,00	63,00	240,00	FILIPPI	1641,00	2698	1967	731	0,49	2,44	0,43	9,93	47,65	2,99	0,67	2,74	0,12	1,10	12,98	3,84	14,63	-46,6124405	-23,6750681
L07794	11,00	251,00	18,00	2,00	187,00	1641,00	73,00	31,00	82,00	431,00	6,00	16,00	411,00	105,00	279,00	FILIPPI	2862,00	4914	3544	1370	0,38	0,63	0,07	6,53	57,34	2,55	1,08	2,87	0,21	0,56	14,36	3,67	9,75	-46,5827451	-23,6746461
L07795	15,00	273,00	30,00	4,00	238,00	1197,00	53,00	23,00	83,00	401,00	7,00	19,00	213,00	150,00	430,00	FILIPPI	2462,00	4177	3136	1041	0,61	1,22	0,16	9,67	48,62	2,15	0,93	3,37	0,28	0,77	8,65	6,09	17,47	-46,5995750	-23,6634218
L07796	15,00	266,00	23,00	5,00	362,00	1946,00	82,00	41,00	88,00	420,00	19,00	29,00	302,00	265,00	605,00	FILIPPI	3782,00	6069	4468	1601	0,40	0,61	0,13	9,57	51,45	2,17	1,08	2,33	0,50	0,77	7,99	7,01	16,00	-46,5954587	-23,6849994
L07797	18,00	264,00	22,00	6,00	458,00	1357,00	57,00	18,00	68,00	322,00	1,00	9,00	276,00	699,00	322,00	FILIPPI	3311,00	5148	3897	1251	0,54	0,66	0,18	13,83	40,98	1,72	0,54	2,05	0,03	0,27	8,34	21,11	9,73	-46,5972178	-23,7092774
L07798	4,00	240,00	26,00	3,00	390,00	1493,00	87,00	19,00	59,00	371,00	3,00	19,00	309,00	202,00	422,00	FILIPPI	3036,00	4989	3647	1342	0,13	0,86	0,10	12,85	49,18	2,87	0,63	1,94	0,10	0,63	10,18	6,65	13,90	-46,6268120	-23,6686194
L07799	17,00	349,00	17,00	1,00	376,00	1544,00	176,00	21,00	85,00	560,00	2,00	37,00	404,00	89,00	679,00	FILIPPI	3448,00	5908	4357	1551	0,49	0,49	0,03	10,90	44,78	5,10	0,61	2,47	0,06	1,07	11,72	2,58	19,69	-46,6169090	-23,6642448
L07800	10,00	317,00	21,00	5,00	500,00	1866,00	178,00	14,00	81,00	571,00	7,00	38,00	387,00	120,00	615,00	FILIPPI	3842,00	6569	4730	1839	0,26	0,55	0,13	13,01	48,57	4,63	0,36	2,11	0,18	0,99	10,07	3,12	16,01	-46,6194463	-23,6651992
L07801	4,00	183,00	18,00	0,00	251,00	1139,00	94,00	9,00	28,00	343,00	2,00	9,00	297,00	67,00	308,00	FILIPPI	2226,00	3688	2752	936	0,18	0,81	0,00	11,28	51,17	4,22	0,40	1,26	0,09	0,40	13,34	3,01	13,84	-46,6249868	-23,6632550
L07802	24,00	280,00	54,00	9,00	292,00	1845,00	89,00	33,00	154,00	466,00	5,00	19,00	253,00	167,00	600,00	FILIPPI	3544,00	5522	4290	1232	0,68	1,52	0,25	8,24	52,06	2,51	0,93	4,35	0,14	0,54	7,14	4,71	16,93	-46,6045956	-23,6705036
L07803	10,00	210,00	29,00	2,00	292,00	1177,00	79,00	24,00	101,00	376,00	3,00	15,00	212,00	119,00	344,00	FILIPPI	2407,00	4283	2993	1290	0,42	1,20	0,08	12,13	48,90	3,28	1,00	4,20	0,12	0,62	8,81	4,94	14,29	-46,6022129	-23,6657034
L07804	13,00	184,00	21,00	4,00	290,00	1602,00	77,00	11,00	55,00	328,00	12,00	16,00	249,00	308,00	419,00	FILIPPI	3077,00	4712	3589	1123	0,42	0,68	0,13	9,42	52,06	2,50	0,36	1,79	0,39	0,52	8,09	10,01	13,62	-46,5993673	-23,6928915
L07805	23,00	150,00	23,00	0,00	105,00	886,00	44,00	21,00	77,00	217,00	0,00	3,00	105,00	138,00	220,00	FILIPPI	1645,00	2607	2012	595	1,40	1,40	0,00	6,38	53,86	2,67	1,28	4,68	0,00	0,18	6,38	8,39	13,37	-46,6016164	-23,6693542
L07806	14,00	125,00	7,00	1,00	195,00	934,00	45,00	11,00	37,00	181,00	4,00	10,00	156,00	161,00	320,00	FILIPPI	1895,00	2904	2201	703	0,74	0,37	0,05	10,29	49,29	2,37	0,58	1,95	0,21	0,53	8,23	8,50	16,89	-46,6005920	-23,6963157
L07807	12,00	155,00	10,00	7,00	143,00	1053,00	55,00	18,00	29,00	236,00	11,00	15,00	191,00	142,00	296,00	FILIPPI	1982,00	3053	2373	680	0,61	0,50	0,35	7,21	53,13	2,77	0,91	1,46	0,55	0,76	9,64	7,16	14,93	-46,5981564	-23,6861161
L07808	11,00	129,00	6,00	1,00	161,00	793,00	28,00	6,00	36,00	149,00	3,00	6,00	167,00	120,00	190,00	FILIPPI	1528,00	2402	1806	596	0,72	0,39	0,07	10,54	51,90	1,83	0,39	2,36	0,20	0,39	10,93	7,85	12,43	-46,5911685	-23,6929942
L07809	6,00	86,00	8,00	3,00	101,00	374,00	21,00	4,00	22,00	120,00	1,00	15,00	84,00	132,00	128,00	FILIPPI	899,00	1417	1105	312	0,67	0,89	0,33	11,23	41,60	2,34	0,44	2,45	0,11	1,67	9,34	14,68	14,24	-46,5871327	-23,6892697
L07810	5,00	84,00	5,00	6,00	122,00	321,00	17,00	5,00	17,00	113,00	0,00	9,00	64,00	171,00	81,00	FILIPPI	823,00	1303	1020	283	0,61	0,61	0,73	14,82	39,00	2,07	0,61	2,07	0,00	1,09	7,78	20,78	9,84	-46,6027995	-23,7096244
L07811	6,00	178,00	14,00	1,00	188,00	934,00	89,00	9,00	35,00	290,00	3,00	22,00	162,00	57,00	324,00	FILIPPI	1844,00	3002	2312	690	0,33	0,76	0,05	10,20	50,65	4,83	0,49	1,90	0,16	1,19	8,79	3,09	17,57	-46,6179104	-23,6641643
L07812	20,00	147,00	13,00	6,00	269,00	1433,00	65,00	16,00	64,00	293,00	11,00	8,00	215,00	182,00	383,00	FILIPPI	2685,00	4286	3125	1161	0,74	0,48	0,22	10,02	53,37	2,42	0,60	2,38	0,41	0,30	8,01	6,78	14,26	-46,5962871	-23,6971055
L07813	12,00	196,00	13,00	2,00	153,00	1743,00	69,00	23,00	123,00	338,00	6,00	14,00	218,00	138,00	453,00	FILIPPI	2967,00	4514	3501	1013	0,40	0,44	0,07	5,16	58,75	2,33	0,78	4,15	0,20	0,47	7,35	4,65	15,27	-46,6003147	-23,6764343
L07814	8,00	153,00	23,00	4,00	191,00	970,00	42,00	16,00	35,00	259,00	5,00	20,00	144,00	217,00	228,00	FILIPPI	1903,00	2983	2315	668	0,42	1,21	0,21	10,04	50,97	2,21	0,84	1,84	0,26	1,05	7,57	11,40	11,98	-46,5887985	-23,6901980
L07815	0,00	140,00	6,00	2,00	110,00	891,00	43,00	24,00	42,00	209,00	1,00	11,00	231,00	47,00	155,00	FILIPPI	1563,00	2606	1912	694	0,00	0,38	0,13	7,04	57,01	2,75	1,54	2,69	0,06	0,70	14,78	3,01	9,92	-46,5867600	-23,6772439
L07816	7,00	176,00	48,00	9,00	152,00	1211,00	61,00	16,00	64,00	276,00	1,00	18,00	252,00	87,00	371,00	FILIPPI	2297,00	3581	2749	832	0,30	2,09	0,39	6,62	52,72	2,66	0,70	2,79	0,04	0,78	10,97	3,79	16,15	-46,6078930	-23,6736400
L07817	1,00	28,00	2,00	0,00	48,00	142,00	11,00	7,00	6,00	35,00	1,00	5,00	38,00	5,00	55,00	FILIPPI	321,00	531	384	147	0,31	0,62	0,00	14,95	44,24	3,43	2,18	1,87	0,31	1,56	11,84	1,56	17,13	-46,6227867	-23,6658129
L07818	4,00	31,00	3,00	1,00	42,00	245,00	14,00	4,00	17,00	55,00	1,00	3,00	49,00	19,00	69,00	FILIPPI	471,00	701	557	144	0,85	0,64	0,21	8,92	52,02	2,97	0,85	3,61	0,21	0,64	10,40	4,03	14,65	-46,5984231	-23,6984581
L07819	13,00	275,00	31,00	0,00	214,00	1254,00	50,00	21,00	84,00	418,00	6,00	31,00	243,00	115,00	485,00	FILIPPI	2547,00	4272	3240	1032	0,51	1,22	0,00	8,40	49,23	1,96	0,82	3,30	0,24	1,22	9,54	4,52	19,04	-46,6104762	-23,6792416
L10856	24,00	246,00	22,00	17,00	499,00	1765,00	59,00	31,00	56,00	374,00	3,00	18,00	306,00	432,00	406,00	FILIPPI	3638,00	5532	4258	1274	0,66	0,60	0,47	13,72	48,52	1,62	0,85	1,54	0,08	0,49	8,41	11,87	11,16	-46,6053600	-23,7004300
L10857	25,00	256,00	16,00	8,00	902,00	1777,00	51,00	27,00	109,00	389,00	2,00	22,00	386,00	122,00	370,00	FILIPPI	3817,00	5925	4462	1463	0,65	0,42	0,21	23,63	46,55	1,34	0,71	2,86	0,05	0,58	10,11	3,20	9,69	-46,6174318	-23,7221899
L10858	19,00	225,00	9,00	9,00	744,00	1151,00	45,00	26,00	47,00	309,00	6,00	16,00	293,00	169,00	249,00	FILIPPI	2783,00	4331	3317	1014	0,68	0,32	0,32	26,73	41,36	1,62	0,93	1,69	0,22	0,57	10,53	6,07	8,95	-46,6050162	-23,7090902
L10859	26,00	172,00	14,00	14,00	464,00	1051,00	36,00	15,00	72,00	289,00	4,00	17,00	211,00	77,00	332,00	FILIPPI	2333,00	3858	2794	1064	1,11	0,60	0,60	19,89	45,05	1,54	0,64	3,09	0,17	0,73	9,04	3,30	14,23	-46,6168838	-23,7054765
L10860	31,00	225,00	7,00	11,00	824,00	1076,00	26,00	13,00	74,00	372,00	1,00	26,00	480,00	95,00	233,00	FILIPPI	2897,00	4614	3494	1120	1,07	0,24	0,38	28,44	37,14	0,90	0,45	2,55	0,03	0,90	16,57	3,28	8,04	-46,6196920	-23,7300896
L10861	23,00	247,00	8,00	12,00	790,00	1768,00	53,00	35,00	97,00	411,00	5,00	21,00	579,00	195,00	379,00	FILIPPI	3965,00	6348	4623	1725	0,58	0,20	0,30	19,92	44,59	1,34	0,88	2,45	0,13	0,53	14,60	4,92	9,56	-46,6245734	-23,7231476
L10862	19,00	253,00	26,00	10,00	920,00	1674,00	71,00	30,00	105,00	410,00	6,00	27,00	612,00	101,00	330,00	FILIPPI	3931,00	6162	4594	1568	0,48	0,66	0,25	23,40	42,58	1,81	0,76	2,67	0,15	0,69	15,57	2,57	8,39	-46,6175645	-23,7156430
L10863	26,00	201,00	11,00	18,00	520,00	1318,00	53,00	28,00	78,00	268,00	2,00	18,00	255,00	120,00	394,00	FILIPPI	2841,00	4353	3310	1043	0,92	0,39	0,63	18,30	46,39	1,87	0,99	2,75	0,07	0,63	8,98	4,22	13,87	-46,6126313	-23,7043687
L10864	23,00	173,00	13,00	11,00	537,00	954,00	48,00	25,00	65,00	262,00	0,00	11,00	231,00	96,00	264,00	FILIPPI	2278,00	3557	2713	844	1,01	0,57	0,48	23,57	41,88	2,11	1,10	2,85	0,00	0,48	10,14	4,21	11,59	-46,6106475	-23,7096734
L10865	18,00	237,00	5,00	6,00	530,00	994,00	28,00	15,00	60,00	258,00	6,00	13,00	330,00	59,00	217,00	FILIPPI	2281,00	3687	2776	911	0,79	0,22	0,26	23,24	43,58	1,23	0,66	2,63	0,26	0,57	14,47	2,59	9,51	-46,6162589	-23,7191890
L10866	26,00	182,00	13,00	10,00	700,00	1322,00	35,00	13,00	88,00	268,00	2,00	12,00	288,00	84,00	203,00	FILIPPI	2796,00	4364	3246	1118	0,93	0,46	0,36	25,04	47,28	1,25	0,46	3,15	0,07	0,43	10,30	3,00	7,26	-46,6128110	-23,7203920
L10867	13,00	239,00	11,00	6,00	798,00	1276,00	36,00	24,00	95,00	389,00	3,00	24,00	388,00	131,00	446,00	FILIPPI	3251,00	5344	3879	1465	0,40	0,34	0,18	24,55	39,25	1,11	0,74	2,92	0,09	0,74	11,93	4,03	13,72	-46,6252499	-23,7193323
L10868	9,00	160,00	4,00	4,00	496,00	912,00	31,00	18,00	47,00	241,00	1,00	29,00	214,00	77,00	265,00	FILIPPI	2107,00	3238	2508	730	0,43	0,19	0,19	23,54	43,28	1,47	0,85	2,23	0,05	1,38	10,16	3,65	12,58	-46,6254136	-23,7177843
L10869	12,00	105,00	16,00	8,00	486,00	809,00	21,00	13,00	72,00	155,00	2,00	10,00	254,00	56,00	124,00	FILIPPI	1883,00	2636	2143	493	0,64	0,85	0,42	25,81	42,96	1,12	0,69	3,82	0,11	0,53	13,49	2,97	6,59	-46,6138114	-23,7172607
L10870	35,00	263,00	25,00	10,00	591,00	1815,00	68,00	30,00	87,00	370,00	5,00	27,00	368,00	266,00	449,00	FILIPPI	3776,00	5858	4409	1449	0,93	0,66	0,26	15,65	48,07	1,80	0,79	2,30	0,13	0,72	9,75	7,04	11,89	-46,6076890	-23,7005143
L10871	26,00	207,00	8,00	13,00	781,00	1493,00	39,00	20,00	99,00	294,00	1,00	8,00	348,00	101,00	263,00	FILIPPI	3200,00	4834	3701	1133	0,81	0,25	0,41	24,41	46,66	1,22	0,62	3,09	0,03	0,25	10,88	3,16	8,22	-46,6128676	-23,7201844
L10872	35,00	299,00	13,00	27,00	1259,00	1940,00	80,00	28,00	123,00	386,00	3,00	19,00	638,00	170,00	389,00	FILIPPI	4724,00	7237	5409	1828	0,74	0,28	0,57	26,65	41,07	1,69	0,59	2,60	0,06	0,40	13,51	3,60	8,23	-46,6080567	-23,7123258
L10873	5,00	59,00	5,00	3,00	132,00	314,00	15,00	4,00	19,00	59,00	0,00	3,00	69,00	27,00	75,00	FILIPPI	671,00	1040	789	251	0,75	0,75	0,45	19,67	46,80	2,24	0,60	2,83	0,00	0,45	10,28	4,02	11,18	-46,6140233	-23,7040739
