cod_local	AILTON LIMA	ALEX ARRAIS	BRUNO DANIEL	Branco	JOÃO AVAMILENO	Nulo	PAULO SERRA	POLICIAL FEDERAL DENNIS FERRAO	PROFESSORA BETE SIRAQUE	SARGENTO LOBO	SIMONE CRISTINA SOUZA	vencedor	v_valid	e_apto	e_comp	e_abst	AILTON LIMA_%	ALEX ARRAIS_%	BRUNO DANIEL_%	JOÃO AVAMILENO_%	PAULO SERRA_%	POLICIAL FEDERAL DENNIS FERRAO_%	PROFESSORA BETE SIRAQUE_%	SARGENTO LOBO_%	SIMONE CRISTINA SOUZA_%	longitude	latitude
L03704	45,00	1,00	70,00	48,00	3,00	88,00	557,00	3,00	50,00	8,00	0,00	PAULO SERRA	737,00	1178	873	305	6,11	0,14	9,50	0,41	75,58	0,41	6,78	1,09	0,00	-46,5170856	-23,6916018
L03705	11,00	1,00	23,00	9,00	0,00	27,00	153,00	3,00	12,00	10,00	0,00	PAULO SERRA	213,00	326	249	77	5,16	0,47	10,80	0,00	71,83	1,41	5,63	4,69	0,00	-46,5141937	-23,6853234
L03706	52,00	2,00	176,00	116,00	2,00	266,00	1622,00	19,00	152,00	33,00	4,00	PAULO SERRA	2062,00	3161	2444	717	2,52	0,10	8,54	0,10	78,66	0,92	7,37	1,60	0,19	-46,5375262	-23,6826839
L03707	26,00	2,00	21,00	40,00	1,00	53,00	293,00	0,00	30,00	5,00	0,00	PAULO SERRA	378,00	589	471	118	6,88	0,53	5,56	0,26	77,51	0,00	7,94	1,32	0,00	-46,5272875	-23,6881245
L03708	93,00	6,00	112,00	86,00	0,00	152,00	824,00	18,00	87,00	18,00	0,00	PAULO SERRA	1158,00	1758	1396	362	8,03	0,52	9,67	0,00	71,16	1,55	7,51	1,55	0,00	-46,5241598	-23,6974643
L03709	31,00	1,00	120,00	45,00	2,00	120,00	748,00	22,00	37,00	16,00	0,00	PAULO SERRA	977,00	1490	1142	348	3,17	0,10	12,28	0,20	76,56	2,25	3,79	1,64	0,00	-46,5322814	-23,6683688
L03710	45,00	4,00	134,00	57,00	2,00	143,00	1030,00	12,00	57,00	18,00	0,00	PAULO SERRA	1302,00	2023	1502	521	3,46	0,31	10,29	0,15	79,11	0,92	4,38	1,38	0,00	-46,5193267	-23,6763585
L03711	88,00	4,00	103,00	93,00	1,00	222,00	724,00	19,00	175,00	22,00	1,00	PAULO SERRA	1137,00	1777	1452	325	7,74	0,35	9,06	0,09	63,68	1,67	15,39	1,93	0,09	-46,5308067	-23,6974851
L03712	61,00	4,00	195,00	60,00	4,00	157,00	1439,00	41,00	80,00	29,00	2,00	PAULO SERRA	1855,00	3401	2072	1329	3,29	0,22	10,51	0,22	77,57	2,21	4,31	1,56	0,11	-46,5305110	-23,6599040
L06086	111,00	2,00	278,00	113,00	6,00	303,00	2694,00	31,00	132,00	31,00	1,00	PAULO SERRA	3286,00	4848	3702	1146	3,38	0,06	8,46	0,18	81,98	0,94	4,02	0,94	0,03	-46,5156392	-23,6505006
L06087	69,00	3,00	123,00	90,00	1,00	164,00	875,00	15,00	141,00	40,00	0,00	PAULO SERRA	1267,00	1933	1521	412	5,45	0,24	9,71	0,08	69,06	1,18	11,13	3,16	0,00	-46,4945307	-23,6267546
L06088	52,00	2,00	69,00	129,00	20,00	226,00	1356,00	11,00	278,00	82,00	1,00	PAULO SERRA	1871,00	2822	2226	596	2,78	0,11	3,69	1,07	72,47	0,59	14,86	4,38	0,05	-46,4942573	-23,6473472
L06089	82,00	0,00	224,00	95,00	3,00	193,00	1638,00	10,00	104,00	34,00	1,00	PAULO SERRA	2096,00	3145	2384	761	3,91	0,00	10,69	0,14	78,15	0,48	4,96	1,62	0,05	-46,4987173	-23,6329472
L06090	71,00	0,00	100,00	69,00	1,00	148,00	903,00	7,00	100,00	31,00	0,00	PAULO SERRA	1213,00	1836	1430	406	5,85	0,00	8,24	0,08	74,44	0,58	8,24	2,56	0,00	-46,4918726	-23,6400932
L06091	69,00	3,00	67,00	69,00	3,00	118,00	863,00	13,00	64,00	13,00	1,00	PAULO SERRA	1096,00	1757	1283	474	6,30	0,27	6,11	0,27	78,74	1,19	5,84	1,19	0,09	-46,5080122	-23,6465096
L06092	67,00	2,00	92,00	66,00	3,00	176,00	1228,00	15,00	68,00	22,00	1,00	PAULO SERRA	1498,00	2360	1740	620	4,47	0,13	6,14	0,20	81,98	1,00	4,54	1,47	0,07	-46,5111599	-23,6266900
L06093	131,00	2,00	194,00	167,00	3,00	300,00	2152,00	16,00	222,00	45,00	1,00	PAULO SERRA	2766,00	4659	3233	1426	4,74	0,07	7,01	0,11	77,80	0,58	8,03	1,63	0,04	-46,4972330	-23,6346420
L06094	119,00	4,00	150,00	203,00	21,00	448,00	2813,00	15,00	385,00	112,00	2,00	PAULO SERRA	3621,00	5423	4272	1151	3,29	0,11	4,14	0,58	77,69	0,41	10,63	3,09	0,06	-46,4922158	-23,6441023
L06095	153,00	4,00	191,00	151,00	1,00	290,00	1996,00	20,00	188,00	44,00	4,00	PAULO SERRA	2601,00	4558	3042	1516	5,88	0,15	7,34	0,04	76,74	0,77	7,23	1,69	0,15	-46,5015367	-23,6309869
L06096	158,00	6,00	175,00	137,00	2,00	250,00	1746,00	23,00	149,00	30,00	2,00	PAULO SERRA	2291,00	4161	2678	1483	6,90	0,26	7,64	0,09	76,21	1,00	6,50	1,31	0,09	-46,5184840	-23,6394570
L06097	120,00	3,00	100,00	142,00	1,00	276,00	1435,00	11,00	301,00	45,00	0,00	PAULO SERRA	2016,00	3518	2434	1084	5,95	0,15	4,96	0,05	71,18	0,55	14,93	2,23	0,00	-46,4879000	-23,6256000
L06098	165,00	7,00	108,00	198,00	10,00	330,00	2651,00	22,00	389,00	49,00	0,00	PAULO SERRA	3401,00	5474	3929	1545	4,85	0,21	3,18	0,29	77,95	0,65	11,44	1,44	0,00	-46,4994551	-23,6488793
L06099	130,00	1,00	164,00	131,00	2,00	336,00	2458,00	25,00	220,00	48,00	0,00	PAULO SERRA	3048,00	5134	3515	1619	4,27	0,03	5,38	0,07	80,64	0,82	7,22	1,57	0,00	-46,5013000	-23,6437000
L06100	96,00	8,00	161,00	96,00	2,00	242,00	1686,00	22,00	128,00	37,00	2,00	PAULO SERRA	2142,00	3860	2480	1380	4,48	0,37	7,52	0,09	78,71	1,03	5,98	1,73	0,09	-46,5073552	-23,6341587
L06101	114,00	1,00	84,00	109,00	20,00	255,00	1969,00	17,00	212,00	24,00	0,00	PAULO SERRA	2441,00	4120	2805	1315	4,67	0,04	3,44	0,82	80,66	0,70	8,68	0,98	0,00	-46,5080459	-23,6460779
L06102	129,00	4,00	160,00	142,00	6,00	357,00	2345,00	13,00	317,00	80,00	1,00	PAULO SERRA	3055,00	5079	3554	1525	4,22	0,13	5,24	0,20	76,76	0,43	10,38	2,62	0,03	-46,4923889	-23,6391620
L06103	78,00	1,00	144,00	85,00	3,00	172,00	1523,00	30,00	80,00	33,00	2,00	PAULO SERRA	1894,00	3558	2151	1407	4,12	0,05	7,60	0,16	80,41	1,58	4,22	1,74	0,11	-46,5252059	-23,6451453
L06104	95,00	2,00	147,00	108,00	5,00	255,00	1954,00	19,00	181,00	32,00	1,00	PAULO SERRA	2436,00	3801	2799	1002	3,90	0,08	6,03	0,21	80,21	0,78	7,43	1,31	0,04	-46,5014410	-23,6424999
L06105	118,00	1,00	158,00	135,00	3,00	316,00	1764,00	21,00	248,00	47,00	1,00	PAULO SERRA	2361,00	4035	2812	1223	5,00	0,04	6,69	0,13	74,71	0,89	10,50	1,99	0,04	-46,4917749	-23,6345261
L06106	20,00	0,00	40,00	60,00	8,00	119,00	623,00	1,00	197,00	25,00	0,00	PAULO SERRA	914,00	1373	1093	280	2,19	0,00	4,38	0,88	68,16	0,11	21,55	2,74	0,00	-46,4968579	-23,6495890
L06107	53,00	3,00	113,00	103,00	6,00	221,00	1649,00	10,00	248,00	22,00	2,00	PAULO SERRA	2106,00	3096	2430	666	2,52	0,14	5,37	0,28	78,30	0,47	11,78	1,04	0,09	-46,5037973	-23,6515281
L06108	105,00	3,00	227,00	121,00	5,00	296,00	2306,00	27,00	164,00	48,00	2,00	PAULO SERRA	2887,00	4421	3304	1117	3,64	0,10	7,86	0,17	79,88	0,94	5,68	1,66	0,07	-46,5064691	-23,6341241
L06109	97,00	2,00	139,00	119,00	13,00	260,00	1669,00	24,00	200,00	52,00	1,00	PAULO SERRA	2197,00	3350	2576	774	4,42	0,09	6,33	0,59	75,97	1,09	9,10	2,37	0,05	-46,4972026	-23,6435472
L06110	98,00	1,00	112,00	114,00	16,00	217,00	1779,00	8,00	189,00	28,00	2,00	PAULO SERRA	2233,00	3427	2564	863	4,39	0,04	5,02	0,72	79,67	0,36	8,46	1,25	0,09	-46,5091100	-23,6477673
L06111	110,00	5,00	113,00	101,00	3,00	212,00	2100,00	27,00	139,00	48,00	0,00	PAULO SERRA	2545,00	4294	2858	1436	4,32	0,20	4,44	0,12	82,51	1,06	5,46	1,89	0,00	-46,5165549	-23,6443203
L06112	55,00	0,00	117,00	69,00	0,00	187,00	1218,00	6,00	143,00	33,00	0,00	PAULO SERRA	1572,00	2370	1828	542	3,50	0,00	7,44	0,00	77,48	0,38	9,10	2,10	0,00	-46,4919707	-23,6340482
L06113	101,00	0,00	272,00	97,00	11,00	259,00	2011,00	28,00	121,00	45,00	1,00	PAULO SERRA	2590,00	3916	2946	970	3,90	0,00	10,50	0,42	77,64	1,08	4,67	1,74	0,04	-46,5199072	-23,6443238
L06114	28,00	0,00	41,00	26,00	1,00	58,00	431,00	12,00	18,00	15,00	0,00	PAULO SERRA	546,00	854	630	224	5,13	0,00	7,51	0,18	78,94	2,20	3,30	2,75	0,00	-46,5206279	-23,6370260
L06115	111,00	1,00	214,00	103,00	6,00	226,00	2062,00	25,00	128,00	39,00	1,00	PAULO SERRA	2587,00	4038	2916	1122	4,29	0,04	8,27	0,23	79,71	0,97	4,95	1,51	0,04	-46,5227420	-23,6388599
L06116	77,00	2,00	144,00	61,00	1,00	163,00	1297,00	21,00	111,00	27,00	1,00	PAULO SERRA	1681,00	2714	1905	809	4,58	0,12	8,57	0,06	77,16	1,25	6,60	1,61	0,06	-46,5226930	-23,6386110
L06117	81,00	0,00	101,00	83,00	3,00	198,00	1113,00	8,00	109,00	38,00	1,00	PAULO SERRA	1454,00	2380	1735	645	5,57	0,00	6,95	0,21	76,55	0,55	7,50	2,61	0,07	-46,5148760	-23,6247890
L06118	40,00	2,00	97,00	49,00	5,00	125,00	1043,00	17,00	57,00	69,00	1,00	PAULO SERRA	1331,00	2598	1505	1093	3,01	0,15	7,29	0,38	78,36	1,28	4,28	5,18	0,08	-46,5366400	-23,6365360
L06119	70,00	1,00	117,00	75,00	3,00	212,00	1338,00	17,00	89,00	97,00	1,00	PAULO SERRA	1733,00	2860	2020	840	4,04	0,06	6,75	0,17	77,21	0,98	5,14	5,60	0,06	-46,5238040	-23,6164609
L06120	66,00	1,00	243,00	99,00	3,00	243,00	1780,00	25,00	148,00	53,00	2,00	PAULO SERRA	2321,00	3930	2663	1267	2,84	0,04	10,47	0,13	76,69	1,08	6,38	2,28	0,09	-46,5287000	-23,6418000
L06121	232,00	10,00	344,00	307,00	17,00	534,00	3739,00	36,00	296,00	235,00	3,00	PAULO SERRA	4912,00	8252	5753	2499	4,72	0,20	7,00	0,35	76,12	0,73	6,03	4,78	0,06	-46,5368700	-23,6241300
L06122	123,00	2,00	233,00	154,00	11,00	393,00	2693,00	22,00	171,00	218,00	1,00	PAULO SERRA	3474,00	5646	4021	1625	3,54	0,06	6,71	0,32	77,52	0,63	4,92	6,28	0,03	-46,5294649	-23,6215610
L06123	140,00	2,00	292,00	220,00	19,00	494,00	3255,00	28,00	240,00	238,00	7,00	PAULO SERRA	4221,00	7114	4935	2179	3,32	0,05	6,92	0,45	77,11	0,66	5,69	5,64	0,17	-46,5288114	-23,6203323
L06124	54,00	1,00	131,00	74,00	2,00	165,00	1097,00	17,00	78,00	79,00	0,00	PAULO SERRA	1459,00	2410	1698	712	3,70	0,07	8,98	0,14	75,19	1,17	5,35	5,41	0,00	-46,5339902	-23,6361724
L06125	4,00	0,00	15,00	9,00	1,00	18,00	160,00	2,00	16,00	7,00	1,00	PAULO SERRA	206,00	282	233	49	1,94	0,00	7,28	0,49	77,67	0,97	7,77	3,40	0,49	-46,5234738	-23,6251669
L06126	111,00	4,00	108,00	130,00	2,00	233,00	1619,00	14,00	152,00	100,00	0,00	PAULO SERRA	2110,00	3636	2473	1163	5,26	0,19	5,12	0,09	76,73	0,66	7,20	4,74	0,00	-46,5387763	-23,6237507
L06127	41,00	0,00	127,00	76,00	3,00	177,00	1266,00	15,00	137,00	98,00	0,00	PAULO SERRA	1687,00	2562	1940	622	2,43	0,00	7,53	0,18	75,04	0,89	8,12	5,81	0,00	-46,5285616	-23,6277749
L06128	57,00	2,00	104,00	62,00	6,00	157,00	1161,00	14,00	88,00	30,00	0,00	PAULO SERRA	1462,00	2386	1681	705	3,90	0,14	7,11	0,41	79,41	0,96	6,02	2,05	0,00	-46,5201280	-23,6293101
L06129	144,00	6,00	160,00	178,00	10,00	352,00	1889,00	16,00	260,00	119,00	2,00	PAULO SERRA	2606,00	4540	3136	1404	5,53	0,23	6,14	0,38	72,49	0,61	9,98	4,57	0,08	-46,5198409	-23,6221528
L06130	94,00	0,00	190,00	118,00	2,00	305,00	2069,00	21,00	158,00	75,00	2,00	PAULO SERRA	2611,00	4243	3034	1209	3,60	0,00	7,28	0,08	79,24	0,80	6,05	2,87	0,08	-46,5282091	-23,6339736
L06131	70,00	3,00	120,00	84,00	4,00	184,00	1327,00	10,00	114,00	38,00	1,00	PAULO SERRA	1687,00	2862	1955	907	4,15	0,18	7,11	0,24	78,66	0,59	6,76	2,25	0,06	-46,5160440	-23,6343094
L06132	95,00	1,00	138,00	116,00	1,00	264,00	1724,00	28,00	173,00	57,00	6,00	PAULO SERRA	2223,00	3899	2603	1296	4,27	0,04	6,21	0,04	77,55	1,26	7,78	2,56	0,27	-46,5148760	-23,6247890
L06133	177,00	3,00	144,00	145,00	15,00	367,00	2203,00	26,00	181,00	85,00	3,00	PAULO SERRA	2837,00	4819	3349	1470	6,24	0,11	5,08	0,53	77,65	0,92	6,38	3,00	0,11	-46,5212740	-23,6295550
L06134	57,00	0,00	162,00	90,00	4,00	227,00	1661,00	21,00	103,00	39,00	1,00	PAULO SERRA	2048,00	3248	2365	883	2,78	0,00	7,91	0,20	81,10	1,03	5,03	1,90	0,05	-46,5210260	-23,6332880
L06135	18,00	0,00	53,00	28,00	1,00	53,00	404,00	6,00	36,00	5,00	0,00	PAULO SERRA	523,00	770	604	166	3,44	0,00	10,13	0,19	77,25	1,15	6,88	0,96	0,00	-46,5168228	-23,6340800
L06136	140,00	3,00	134,00	148,00	7,00	358,00	1786,00	19,00	190,00	87,00	2,00	PAULO SERRA	2368,00	3803	2874	929	5,91	0,13	5,66	0,30	75,42	0,80	8,02	3,67	0,08	-46,5186613	-23,6230737
L07309	1,00	0,00	0,00	1,00	0,00	1,00	0,00	0,00	11,00	0,00	0,00	PROFESSORA BETE SIRAQUE	12,00	36	14	22	8,33	0,00	0,00	0,00	0,00	0,00	91,67	0,00	0,00	-46,5507003	-23,6541910
L07310	158,00	5,00	446,00	178,00	5,00	297,00	3812,00	67,00	145,00	80,00	3,00	PAULO SERRA	4721,00	7346	5196	2150	3,35	0,11	9,45	0,11	80,75	1,42	3,07	1,69	0,06	-46,5332450	-23,6511590
L07311	111,00	9,00	433,00	218,00	5,00	444,00	3666,00	72,00	168,00	84,00	3,00	PAULO SERRA	4551,00	7489	5213	2276	2,44	0,20	9,51	0,11	80,55	1,58	3,69	1,85	0,07	-46,5446951	-23,6406770
L07312	106,00	4,00	367,00	114,00	21,00	285,00	2814,00	48,00	102,00	55,00	4,00	PAULO SERRA	3521,00	5761	3920	1841	3,01	0,11	10,42	0,60	79,92	1,36	2,90	1,56	0,11	-46,5426561	-23,6522360
L07313	80,00	5,00	200,00	85,00	2,00	242,00	1611,00	34,00	100,00	53,00	2,00	PAULO SERRA	2087,00	3584	2414	1170	3,83	0,24	9,58	0,10	77,19	1,63	4,79	2,54	0,10	-46,5430762	-23,6811036
L07314	48,00	24,00	174,00	108,00	5,00	206,00	1453,00	25,00	120,00	35,00	0,00	PAULO SERRA	1884,00	3267	2198	1069	2,55	1,27	9,24	0,27	77,12	1,33	6,37	1,86	0,00	-46,5522500	-23,6783300
L07315	76,00	4,00	174,00	93,00	1,00	194,00	1384,00	29,00	96,00	25,00	2,00	PAULO SERRA	1791,00	3299	2078	1221	4,24	0,22	9,72	0,06	77,28	1,62	5,36	1,40	0,11	-46,5453296	-23,6559683
L07316	44,00	1,00	113,00	69,00	4,00	153,00	843,00	5,00	71,00	11,00	1,00	PAULO SERRA	1093,00	1707	1315	392	4,03	0,09	10,34	0,37	77,13	0,46	6,50	1,01	0,09	-46,5505332	-23,6617621
L07317	72,00	19,00	328,00	160,00	15,00	378,00	2572,00	57,00	173,00	80,00	2,00	PAULO SERRA	3318,00	5641	3856	1785	2,17	0,57	9,89	0,45	77,52	1,72	5,21	2,41	0,06	-46,5483876	-23,6767556
L07318	148,00	3,00	168,00	275,00	11,00	479,00	2369,00	22,00	253,00	66,00	7,00	PAULO SERRA	3047,00	5693	3801	1892	4,86	0,10	5,51	0,36	77,75	0,72	8,30	2,17	0,23	-46,5615766	-23,6519061
L07319	32,00	13,00	223,00	132,00	3,00	252,00	1606,00	39,00	119,00	29,00	1,00	PAULO SERRA	2065,00	3381	2449	932	1,55	0,63	10,80	0,15	77,77	1,89	5,76	1,40	0,05	-46,5497609	-23,6732736
L07320	95,00	3,00	288,00	133,00	5,00	306,00	2558,00	42,00	129,00	46,00	1,00	PAULO SERRA	3167,00	5172	3606	1566	3,00	0,09	9,09	0,16	80,77	1,33	4,07	1,45	0,03	-46,5477273	-23,6651315
L07321	88,00	7,00	370,00	150,00	6,00	341,00	2816,00	59,00	129,00	70,00	4,00	PAULO SERRA	3549,00	6048	4040	2008	2,48	0,20	10,43	0,17	79,35	1,66	3,63	1,97	0,11	-46,5462836	-23,6406202
L07322	50,00	4,00	157,00	110,00	9,00	272,00	1626,00	32,00	97,00	40,00	1,00	PAULO SERRA	2016,00	3490	2398	1092	2,48	0,20	7,79	0,45	80,65	1,59	4,81	1,98	0,05	-46,5530360	-23,6482590
L07323	65,00	1,00	123,00	155,00	7,00	313,00	1767,00	19,00	142,00	29,00	1,00	PAULO SERRA	2154,00	3610	2622	988	3,02	0,05	5,71	0,32	82,03	0,88	6,59	1,35	0,05	-46,5563889	-23,6524699
L07324	38,00	8,00	193,00	57,00	5,00	135,00	1143,00	13,00	62,00	32,00	1,00	PAULO SERRA	1495,00	2222	1687	535	2,54	0,54	12,91	0,33	76,45	0,87	4,15	2,14	0,07	-46,5484802	-23,6650650
L07325	41,00	6,00	180,00	89,00	5,00	219,00	1369,00	32,00	96,00	38,00	2,00	PAULO SERRA	1769,00	3020	2077	943	2,32	0,34	10,18	0,28	77,39	1,81	5,43	2,15	0,11	-46,5497200	-23,6764379
L07326	62,00	3,00	86,00	88,00	13,00	187,00	1394,00	11,00	155,00	19,00	1,00	PAULO SERRA	1744,00	2744	2019	725	3,56	0,17	4,93	0,75	79,93	0,63	8,89	1,09	0,06	-46,5576078	-23,6563468
L07327	118,00	5,00	80,00	150,00	11,00	244,00	1553,00	12,00	180,00	30,00	0,00	PAULO SERRA	1989,00	3346	2383	963	5,93	0,25	4,02	0,55	78,08	0,60	9,05	1,51	0,00	-46,5575920	-23,6489274
L07328	57,00	3,00	177,00	77,00	3,00	168,00	1323,00	30,00	98,00	33,00	1,00	PAULO SERRA	1725,00	3287	1970	1317	3,30	0,17	10,26	0,17	76,70	1,74	5,68	1,91	0,06	-46,5445125	-23,6543114
L07329	152,00	16,00	356,00	305,00	20,00	580,00	3831,00	35,00	430,00	62,00	2,00	PAULO SERRA	4904,00	8401	5789	2612	3,10	0,33	7,26	0,41	78,12	0,71	8,77	1,26	0,04	-46,5540119	-23,6613705
L07331	5,00	0,00	1,00	2,00	0,00	3,00	32,00	0,00	7,00	1,00	0,00	PAULO SERRA	46,00	73	51	22	10,87	0,00	2,17	0,00	69,57	0,00	15,22	2,17	0,00	-46,5072684	-23,7041731
L07332	102,00	4,00	241,00	117,00	7,00	271,00	2274,00	32,00	129,00	38,00	1,00	PAULO SERRA	2828,00	4329	3216	1113	3,61	0,14	8,52	0,25	80,41	1,13	4,56	1,34	0,04	-46,5109420	-23,6774380
L07333	196,00	6,00	292,00	176,00	13,00	374,00	2655,00	34,00	195,00	47,00	0,00	PAULO SERRA	3438,00	5862	3988	1874	5,70	0,17	8,49	0,38	77,23	0,99	5,67	1,37	0,00	-46,5077074	-23,6863873
L07334	314,00	1,00	353,00	257,00	15,00	471,00	3048,00	37,00	295,00	82,00	5,00	PAULO SERRA	4150,00	7082	4878	2204	7,57	0,02	8,51	0,36	73,45	0,89	7,11	1,98	0,12	-46,5059879	-23,6939677
L07335	221,00	1,00	215,00	152,00	7,00	338,00	1755,00	18,00	239,00	28,00	1,00	PAULO SERRA	2485,00	4072	2975	1097	8,89	0,04	8,65	0,28	70,62	0,72	9,62	1,13	0,04	-46,5109296	-23,6991859
L07336	192,00	3,00	202,00	147,00	9,00	346,00	2300,00	38,00	160,00	66,00	1,00	PAULO SERRA	2971,00	4997	3464	1533	6,46	0,10	6,80	0,30	77,42	1,28	5,39	2,22	0,03	-46,5043984	-23,6903378
L07337	404,00	4,00	155,00	247,00	4,00	418,00	2809,00	22,00	331,00	51,00	0,00	PAULO SERRA	3780,00	5839	4445	1394	10,69	0,11	4,10	0,11	74,31	0,58	8,76	1,35	0,00	-46,5097000	-23,7133000
L07338	117,00	0,00	61,00	64,00	9,00	136,00	957,00	9,00	100,00	14,00	1,00	PAULO SERRA	1268,00	2003	1468	535	9,23	0,00	4,81	0,71	75,47	0,71	7,89	1,10	0,08	-46,5020431	-23,7128793
L07339	176,00	2,00	97,00	106,00	4,00	227,00	1379,00	23,00	140,00	30,00	1,00	PAULO SERRA	1852,00	3119	2185	934	9,50	0,11	5,24	0,22	74,46	1,24	7,56	1,62	0,05	-46,5032712	-23,7132446
